




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: CEC2017_01
============================================================================
parameter;AGEO2;AGEO1var_5;AGEO2real2_AA3;
meanNFE;1,00E+5;1,00E+5;1,00E+5;
meanFX;5,11E+9;8,42E+9;3,39E+4;
melhorFX;1,18E+9;3,00E+9;3,29E+0;
piorFX;1,03E+10;2,81E+10;4,87E+5;
medianFX;5,02E+9;7,02E+9;3,59E+3;
sdFX;1,96E+9;5,36E+9;9,57E+4;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;AGEO1var_5;AGEO2real2_AA3;
5;231889263979,5246;231889263979,5246;218434439216,46133;
50;197705877105,88947;197705877105,88947;208081571575,88562;
100;196778359832,24814;196778359832,24814;208081571575,88562;
500;192248723978,7623;156511003657,01056;199190720790,7334;
1000;186455843824,15823;104634429554,04173;180059170499,083;
1500;173173222603,4204;74156649740,97838;151610507336,8638;
2000;156256726249,0997;54159014603,68349;120100049259,80844;
2500;141198232870,46686;36693965044,87515;99155294749,71428;
3000;122238588915,11794;27002118929,028263;71459680952,52122;
3500;104582840932,625;20462831641,9764;49109482880,3466;
4000;92049762695,49931;18229339619,701756;28350293730,13778;
4500;78942505213,30664;16625248974,488873;18409226551,70599;
5000;68551330763,16104;15655331480,980322;10763448658,511835;
6000;52165800816,93267;15147093678,771667;2440204283,624457;
7000;40188246857,1121;14477936437,845009;1071472420,1808375;
8000;31508386223,286316;14370893983,263887;252083956,90496188;
9000;25035718196,891747;14318414106,45243;59819190,249190755;
10000;20217636728,129074;13466135957,281288;21032636,923630115;
12000;14420801378,857746;12389107816,240168;1012332,1275056287;
14000;10736925047,839457;11072491190,932936;150340,14303350527;
16000;8802122710,734861;9962422377,799564;48330,54530069208;
18000;7605983963,440328;9873580133,539703;34291,85453693745;
20000;6859792546,27515;9367386578,546217;34029,48512987935;
25000;5825825008,965447;9120383445,250671;33992,65958040304;
30000;5438221165,152096;8926557567,570148;33989,3616982435;
35000;5287231809,277263;8926557567,570148;33985,23348469312;
40000;5210035648,317075;8838207172,292429;33981,12993656577;
45000;5176186110,471089;8776487553,619377;33977,61563807986;
50000;5159248352,550131;8740793407,094547;33972,36823432281;
55000;5151538254,44415;8740793407,094547;33969,12465102673;
60000;5147751100,283571;8695907008,605934;33965,04096098515;
65000;5145746542,675668;8695907008,605934;33960,83485933641;
70000;5143798536,619206;8695907008,605934;33955,79573103141;
75000;5143334319,063278;8668562366,821568;33950,48175180274;
80000;5143158691,335277;8668562366,821568;33945,59417446832;
85000;5143087537,258632;8668562366,821568;33941,6161543836;
90000;5143076309,430839;8668562366,821568;33938,010672854056;
95000;5118250022,363054;8668562366,821568;33934,602522084395;
100000;5113146587,685136;8422555845,806902;33930,93720001243;











============================================================================
Função: CEC2017_03
============================================================================
parameter;AGEO2;AGEO1var_5;AGEO2real2_AA3;
meanNFE;1,00E+5;1,00E+5;1,00E+5;
meanFX;2,26E+5;1,54E+5;1,91E+6;
melhorFX;1,21E+5;7,65E+4;1,95E+5;
piorFX;3,53E+5;2,04E+5;1,64E+7;
medianFX;2,29E+5;1,57E+5;7,19E+5;
sdFX;6,18E+4;2,56E+4;3,22E+6;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;AGEO1var_5;AGEO2real2_AA3;
5;485339046706964,4;485339046706964,4;402066576990743,7;
50;414581342099298,1;414581342099298,1;137349648942681,86;
100;133268779858312,6;133268779858312,6;137349648942681,86;
500;64745738209040,92;5292790119749,927;24215159335015,055;
1000;26152917523135,555;1339362019657,702;493318908677,5853;
1500;10517531772812,98;366188417550,78735;870945173,0121427;
2000;790398748685,095;74527307468,19571;621453205,9734606;
2500;513020745345,2359;16795650,10689758;449774100,08491695;
3000;287227906,42474514;14461282,260065027;10103917,160814252;
3500;1849902,714634933;326203,77322492935;2872332,9631413785;
4000;1827534,3224440245;300006,4494964195;2872332,9631413785;
4500;1826831,7284816678;298671,05355436384;2872332,9631413785;
5000;252003,11281899718;264232,15659564146;2872332,9631413785;
6000;250604,92567077308;238699,43992626993;1940229,0236188541;
7000;250071,31944989302;231691,88001018428;1940229,0236188541;
8000;249637,970603057;229601,22060420178;1914371,8379703735;
9000;249262,87998551814;226230,1464805623;1914371,8379703735;
10000;248854,37656091512;226213,65247564745;1914371,8379703735;
12000;248391,80449090505;222430,51723940254;1914371,8379703735;
14000;248099,94660221384;214065,60737735455;1914371,8379703735;
16000;247900,4812980446;211202,71480880957;1914371,8379703735;
18000;247742,1906190409;209192,63073715626;1914371,8379703735;
20000;247586,036231747;204107,48956962334;1914371,8379703735;
25000;247328,9710857299;193035,20083027647;1914371,8379703735;
30000;247201,49637918334;181765,31654728326;1914371,8379703735;
35000;247140,14651683008;177606,46011814155;1914371,8379703735;
40000;247092,74231993066;172234,01697834407;1914371,8379703735;
45000;247071,44723002365;170998,1060232382;1914371,8379703735;
50000;247056,8891011056;170833,48872650706;1914371,8379703735;
55000;247049,53345582235;170752,7782947264;1914371,8379703735;
60000;246917,2891754587;167477,36159434763;1914371,8379703735;
65000;243708,866741182;163821,18159545917;1914371,8379703735;
70000;241786,00978681035;163186,94424576324;1914371,8379703735;
75000;237638,56470418826;160227,6565603369;1914371,8379703735;
80000;234983,72667045202;158002,54114012295;1914371,8379703735;
85000;228921,9196264617;154874,40794414943;1914371,8379703735;
90000;227653,86949466934;154874,40794414943;1914371,8379703735;
95000;226907,28075679;153993,30453696745;1914371,8379703735;
100000;226316,62730462963;153993,30453696745;1914371,8379703735;











============================================================================
Função: CEC2017_04
============================================================================
parameter;AGEO2;AGEO1var_5;AGEO2real2_AA3;
meanNFE;1,00E+5;1,00E+5;1,00E+5;
meanFX;4,68E+2;1,61E+3;7,57E+1;
melhorFX;2,01E+2;4,00E+2;2,07E+0;
piorFX;1,56E+3;3,65E+3;1,33E+2;
medianFX;4,10E+2;1,57E+3;8,45E+1;
sdFX;2,73E+2;8,82E+2;2,81E+1;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;AGEO1var_5;AGEO2real2_AA3;
5;172903,2247036176;172903,2247036176;181684,68215797897;
50;164216,67568448087;164216,67568448087;154857,67682729178;
100;159238,7388330376;159238,7388330376;154742,20775220616;
500;119376,39877865788;94017,86615184459;144870,7383749772;
1000;113500,08874727908;53982,324865448056;134272,28504737868;
1500;98535,26783781339;30994,825663600623;107338,25614463673;
2000;84040,82545470004;18456,57686496032;86592,22456305918;
2500;64710,44203806392;12325,920210512393;77670,36882683075;
3000;48636,03628101226;7905,4302862881605;57136,67220446459;
3500;40211,98414226642;7080,264579398499;34467,70295331442;
4000;31916,14762097122;6669,192053164543;19615,451164467322;
4500;25202,295880996437;6029,534552239183;12691,195437779743;
5000;20128,34984263407;5827,146326248465;9773,596934876068;
6000;12865,483895097563;4877,768132248677;3459,6360131419556;
7000;8544,914932242738;4642,934753933134;1960,2605413843185;
8000;6025,129044183677;4317,449739791204;604,4581119415164;
9000;4371,395823826029;3169,621548534903;238,24338049288724;
10000;3310,982272863606;3166,7141107165726;186,80846132658655;
12000;1971,8403170155116;2901,6225307581094;158,52224521048527;
14000;1293,149417654115;2716,185205846393;143,9423807119284;
16000;967,6843337905123;2503,526135155075;132,79845425527597;
18000;778,208023887814;2333,429653975276;125,23668352605634;
20000;680,3910848679906;2167,7365323198737;119,99809087194302;
25000;561,1515967465657;2167,7365323198737;112,25452802206723;
30000;512,123606359942;2102,304779540914;107,40181291136825;
35000;492,4145244965568;2010,2730843509082;102,58312016365993;
40000;480,47124528438957;1985,701608296182;97,43298542224358;
45000;474,9435738770827;1985,701608296182;95,12723497665085;
50000;472,2723065626426;1985,701608296182;93,43430707201833;
55000;470,96787574698584;1812,145129777075;91,97388146376042;
60000;470,3024261304916;1772,7967349617059;89,75943190017625;
65000;469,9155075357039;1752,1944899711332;86,15400406956047;
70000;469,7275846936208;1640,56696193336;82,580056503695;
75000;468,41194250840255;1640,56696193336;80,64025068847697;
80000;468,34130557357156;1640,56696193336;79,22508972191854;
85000;468,31075243617164;1640,56696193336;77,98356144813685;
90000;468,2962260546381;1613,8309494714729;77,09922998675752;
95000;468,2820037847626;1613,8309494714729;76,31105638094142;
100000;468,0078833037507;1613,8309494714729;75,71273678977981;











============================================================================
Função: CEC2017_05
============================================================================
parameter;AGEO2;AGEO1var_5;AGEO2real2_AA3;
meanNFE;1,00E+5;1,00E+5;1,00E+5;
meanFX;1,94E+2;2,80E+2;1,73E+2;
melhorFX;1,11E+2;1,10E+2;9,55E+1;
piorFX;2,78E+2;3,63E+2;3,03E+2;
medianFX;2,02E+2;2,93E+2;1,71E+2;
sdFX;4,18E+1;5,70E+1;5,41E+1;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;AGEO1var_5;AGEO2real2_AA3;
5;1003,957588262317;1003,957588262317;998,6379680468455;
50;939,1532721450623;939,1532721450623;949,1838396417976;
100;905,9506164405332;905,9506164405332;949,1838396417976;
500;892,2275770804151;782,5303085687021;935,4119841194162;
1000;870,7734806801262;649,9554081878808;897,5604910211846;
1500;838,2384278040641;554,482531351617;865,4590228770888;
2000;789,8922523603113;476,3675181562734;799,09341036378;
2500;721,6300044894758;418,0593710594356;782,0616199757156;
3000;671,3257584048553;384,24998349321146;682,5150038240295;
3500;621,9507226723714;361,4491878143463;598,6738810253607;
4000;573,3397081029997;350,6614386970567;497,5342138898231;
4500;530,6113236363079;340,11660399649855;409,9777058005979;
5000;496,4571871148444;333,84125173142377;364,0484196583138;
6000;436,4226745320091;324,92805437692664;266,3909578739547;
7000;386,5340178809545;321,693339122122;229,35018792425237;
8000;351,00348240752766;319,6237547996598;207,7654159633745;
9000;318,64828666130745;317,0358015093528;199,86141799016164;
10000;293,8079903869137;315,1400631876488;194,86613951054565;
12000;263,7488825828852;309,8585315835798;189,5415672213754;
14000;244,97674955822043;308,0046876368027;185,44062361289244;
16000;234,9054557156265;306,03179548256594;183,7301790097102;
18000;227,55434557942192;304,7737304429748;181,2238674192218;
20000;222,29543148404548;301,94415925925546;180,74622120431565;
25000;215,1968681150782;298,10010819012666;180,40592618367808;
30000;211,54154901252852;293,5051751035253;177,7121140031795;
35000;210,43291977918872;291,73266463615624;176,39798271969005;
