


============================================================================
============================================================================
TUNING GEO REAL2 N DS
============================================================================
============================================================================



============================================================================
Função: Griewangk
============================================================================
P = 10;   s = 10;   std1 = 10,00;   tau =  4,00  -->  NFE:   95080  -->  fx: 3,041442167745010E-02  -->  sd:2,319885782820190E-02
P = 10;   s = 10;   std1 = 10,00;   tau =  5,00  -->  NFE:   95143  -->  fx: 3,188847796236120E-02  -->  sd:1,733747641394340E-02
P = 10;   s = 10;   std1 = 10,00;   tau =  4,50  -->  NFE:   97720  -->  fx: 3,303395254560110E-02  -->  sd:2,129461209152590E-02
P = 10;   s =  2;   std1 = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 2,468560990340270E-03  -->  sd:5,428442967777380E-03
P = 10;   s =  2;   std1 = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 2,479782490302740E-03  -->  sd:6,432594966478900E-03
P =  5;   s = 10;   std1 = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 3,576630252139450E-03  -->  sd:5,734543598200860E-03
P =  5;   s = 10;   std1 = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 4,940411789056290E-03  -->  sd:6,190103100387440E-03
P =  5;   s = 10;   std1 = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 5,486611298086530E-03  -->  sd:6,830549644016050E-03
P =  5;   s = 10;   std1 = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 6,263981645433480E-03  -->  sd:8,250121499266180E-03
P = 10;   s =  2;   std1 = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 6,320521713880160E-03  -->  sd:7,533531148938640E-03
P =  5;   s = 10;   std1 = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,205554656681950E-02  -->  sd:9,731378903481300E-03
P = 10;   s = 10;   std1 = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,315873042240100E-02  -->  sd:1,274051728538480E-02
P =  5;   s = 10;   std1 = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 1,370256928479250E-02  -->  sd:1,427942444394890E-02
P = 10;   s =  2;   std1 = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,581294663447340E-02  -->  sd:1,449752545892660E-02
P = 10;   s = 10;   std1 = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,735925091191950E-02  -->  sd:1,569837850086070E-02
P = 10;   s = 10;   std1 = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,787494359284960E-02  -->  sd:1,289311580828520E-02
P =  5;   s =  2;   std1 =  2,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,890056695907730E-02  -->  sd:1,166088517163750E-02
P = 10;   s =  2;   std1 = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 2,109445644889310E-02  -->  sd:2,609737554578750E-02
P = 10;   s =  2;   std1 = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,249102580732960E-02  -->  sd:2,180388031946390E-02
P = 10;   s = 10;   std1 = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 2,513566465155430E-02  -->  sd:2,617160428361520E-02
P = 10;   s =  2;   std1 = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 3,035394170791980E-02  -->  sd:1,589256956578670E-02
P = 10;   s =  2;   std1 = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 3,304843608415220E-02  -->  sd:2,678343520415300E-02
P =  5;   s =  2;   std1 =  2,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 3,434544746283290E-02  -->  sd:1,382419380459980E-02
P =  5;   s = 10;   std1 = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 4,272451571531400E-02  -->  sd:1,395342495396610E-02
P =  5;   s =  2;   std1 = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,347614435560920E-02  -->  sd:1,267082610049730E-02
P =  5;   s =  2;   std1 = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 4,419556898915410E-02  -->  sd:1,001979512440290E-02
P = 10;   s = 10;   std1 = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 4,699118446999650E-02  -->  sd:2,234629336657850E-02
P =  5;   s =  2;   std1 = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 4,947324012222260E-02  -->  sd:1,106516927065500E-02
P =  5;   s =  2;   std1 = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 4,969113779561500E-02  -->  sd:1,456433708085760E-02
P =  5;   s =  2;   std1 = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 5,862205845872390E-02  -->  sd:1,435833462675250E-02
P =  5;   s =  2;   std1 = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 8,071468774517300E-02  -->  sd:1,954694926787660E-02
