




============================================================================
Função: Griewangk
============================================================================
P =  4;   s = 10;   std1 =  5,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,705578046339410E-03  -->  sd:4,030012398344850E-03
P =  4;   s = 10;   std1 = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 2,229863194480600E-03  -->  sd:4,027934821508670E-03
P =  4;   s = 10;   std1 =  5,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 2,629085431607730E-03  -->  sd:4,245477674969590E-03
P =  8;   s =  2;   std1 = 10,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 3,279521003372720E-03  -->  sd:3,573848995038770E-03
P =  8;   s =  2;   std1 =  5,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 3,916810923579810E-03  -->  sd:5,771167715332860E-03
P =  4;   s = 10;   std1 = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,345071930344550E-03  -->  sd:6,474499487721090E-03
P =  8;   s =  2;   std1 = 10,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 4,583909200467800E-03  -->  sd:5,711724440090850E-03
P =  4;   s = 10;   std1 = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 5,229193895725520E-03  -->  sd:6,030038119624360E-03
P =  4;   s = 10;   std1 =  5,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 5,438852946298820E-03  -->  sd:6,010229392359120E-03
P =  8;   s =  2;   std1 = 10,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 5,552535714491810E-03  -->  sd:8,670345272257150E-03
P =  4;   s = 10;   std1 =  5,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 5,579217018985200E-03  -->  sd:6,803933938328010E-03
P =  4;   s = 10;   std1 = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 5,735896231482470E-03  -->  sd:8,305002923507150E-03
P =  8;   s =  2;   std1 =  5,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 5,781932405215970E-03  -->  sd:7,293558364203520E-03
P = 16;   s =  2;   std1 = 10,00;   tau =  2,00  -->  NFE:  100143  -->  fx: 8,049954452981940E-03  -->  sd:1,276850093572430E-02
P =  8;   s =  2;   std1 =  5,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 1,087718607495810E-02  -->  sd:1,964989616783160E-02
P =  4;   s = 10;   std1 = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,108468949957540E-02  -->  sd:9,146619438646000E-03
P =  8;   s =  2;   std1 = 10,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 1,138020926064800E-02  -->  sd:8,910155519575400E-03
P =  8;   s =  2;   std1 = 10,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 1,157833707842460E-02  -->  sd:1,148527222932070E-02
P =  8;   s = 10;   std1 = 10,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 1,195886944369080E-02  -->  sd:9,911249059972920E-03
P =  8;   s = 10;   std1 = 10,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 1,237178334685780E-02  -->  sd:1,219892997127430E-02
P =  4;   s = 10;   std1 =  5,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 1,409560354867790E-02  -->  sd:1,601722565483070E-02
P =  4;   s = 10;   std1 =  5,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,511845826021660E-02  -->  sd:8,480069810434490E-03
P = 16;   s =  2;   std1 = 10,00;   tau =  2,50  -->  NFE:  100143  -->  fx: 1,567176540599440E-02  -->  sd:1,355564255126920E-02
P =  8;   s = 10;   std1 = 10,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 1,715242236872680E-02  -->  sd:1,029806723683140E-02
P = 16;   s =  2;   std1 = 10,00;   tau =  3,00  -->  NFE:  100143  -->  fx: 1,756528400993310E-02  -->  sd:1,632067086411820E-02
