




============================================================================
Função: Griewangk
============================================================================
P =  4;   s =  1;   std1 =  1,00;   tau =  2,50  -->  NFE:    2197  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  1,00;   tau =  2,00  -->  NFE:    2371  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  1,00;   tau =  3,00  -->  NFE:    2399  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  1,00;   tau =  4,00  -->  NFE:    2418  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  2,00;   tau =  4,50  -->  NFE:    2420  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  1,00;   tau =  3,50  -->  NFE:    2433  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  2,00;   tau =  3,50  -->  NFE:    2437  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  2,00;   tau =  4,00  -->  NFE:    2465  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  2,00;   tau =  3,00  -->  NFE:    2538  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  2,00;   tau =  5,00  -->  NFE:    2548  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  1,00;   tau =  1,50  -->  NFE:    3099  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  1,00;   tau =  5,00  -->  NFE:    3108  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  2,00;   tau =  2,50  -->  NFE:    3152  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  2,00;   tau =  2,50  -->  NFE:    3594  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:    3606  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  1,00;   tau =  4,50  -->  NFE:    3632  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  2,00;   tau =  2,00  -->  NFE:    3739  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  1,00;   tau =  1,00  -->  NFE:    3781  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  2,00;   tau =  3,00  -->  NFE:    4079  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  2,00;   tau =  2,00  -->  NFE:    4120  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:    4215  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:    4218  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  4,00;   tau =  5,00  -->  NFE:    4235  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  4,00;   tau =  3,50  -->  NFE:    4509  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  4,00;   tau =  4,00  -->  NFE:    4532  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  4,00;   tau =  4,00  -->  NFE:    4623  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  2,00;   tau =  3,50  -->  NFE:    4638  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  4,00;   tau =  4,50  -->  NFE:    4717  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  2,00;   tau =  1,50  -->  NFE:    4729  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  4,00;   tau =  4,50  -->  NFE:    4896  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  2,00;   tau =  4,00  -->  NFE:    5010  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:    5082  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  4,00;   tau =  3,00  -->  NFE:    5168  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  2,00;   tau =  1,50  -->  NFE:    5256  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  1,00;   tau =  0,50  -->  NFE:    5700  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  4,00;   tau =  5,00  -->  NFE:    5745  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:    5831  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  4,00;   tau =  3,50  -->  NFE:    5881  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:    5899  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  4,00;   tau =  2,50  -->  NFE:    6366  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  8,00;   tau =  4,50  -->  NFE:    6511  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  8,00;   tau =  5,00  -->  NFE:    6556  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  4,00;   tau =  3,00  -->  NFE:    6927  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  2,00;   tau =  4,50  -->  NFE:    7274  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  2,00;   tau =  2,00  -->  NFE:    7727  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  8,00;   tau =  4,00  -->  NFE:    7771  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  2,00;   tau =  1,00  -->  NFE:    7934  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  2,00;   tau =  1,00  -->  NFE:    8016  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  1,00;   tau =  1,50  -->  NFE:    8103  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:    8158  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:    8247  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  2,00;   tau =  1,50  -->  NFE:    8422  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  1,00;   tau =  1,00  -->  NFE:    8636  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  1,00;   tau =  2,00  -->  NFE:    8922  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  2,00;   tau =  5,00  -->  NFE:    9532  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:    9780  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
