


=======================================================
Tuning: 3
=======================================================





============================================================================
Função: Griewangk
============================================================================
P =  4;   s = 10;   std1 = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,442752488173410E-03  -->  sd:2,475448808548390E-03
P =  4;   s = 10;   std1 = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 2,419187413170540E-03  -->  sd:3,934335075218920E-03
P =  4;   s = 10;   std1 = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,729474662691750E-03  -->  sd:4,559664910089020E-03
P =  4;   s = 10;   std1 =  5,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 4,032801439953130E-03  -->  sd:6,917155237288480E-03
P =  4;   s = 10;   std1 =  5,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 4,066206622758470E-03  -->  sd:6,342392152863510E-03
P =  4;   s = 10;   std1 = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 4,340774122567180E-03  -->  sd:8,658100627555390E-03
P =  4;   s = 10;   std1 =  5,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,685956850577580E-03  -->  sd:6,739068763961080E-03
P =  4;   s = 10;   std1 =  5,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 4,977787397706720E-03  -->  sd:6,602344008598850E-03
P = 12;   s =  2;   std1 = 10,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 6,089474093156370E-03  -->  sd:7,521569977917860E-03
P = 12;   s =  2;   std1 = 10,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 6,682782133719670E-03  -->  sd:7,770916630592490E-03
P =  4;   s = 10;   std1 = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,239325450546020E-02  -->  sd:9,261666582242790E-03
P = 12;   s =  2;   std1 = 10,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 1,266265976375460E-02  -->  sd:1,376531318117290E-02
P =  4;   s = 10;   std1 =  5,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,283766607150460E-02  -->  sd:8,355568179967200E-03
P = 12;   s =  2;   std1 =  5,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 1,401625847034810E-02  -->  sd:9,107009227002550E-03
P = 12;   s =  2;   std1 = 10,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 1,757065264744170E-02  -->  sd:1,258761747325470E-02
P = 12;   s = 10;   std1 = 10,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 1,954356782654300E-02  -->  sd:1,713918276743080E-02
P = 12;   s =  2;   std1 =  5,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 2,391472822969910E-02  -->  sd:3,612292267502740E-02
P = 12;   s = 10;   std1 = 10,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 2,489123922844600E-02  -->  sd:1,619404919599420E-02
P = 12;   s = 10;   std1 = 10,00;   tau =  3,00  -->  NFE:   96991  -->  fx: 2,662694352084820E-02  -->  sd:2,047289165460960E-02
P = 12;   s = 10;   std1 = 10,00;   tau =  3,50  -->  NFE:   94087  -->  fx: 3,048134935069890E-02  -->  sd:2,368501688218530E-02
P =  4;   s = 10;   std1 = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 3,098464010832830E-02  -->  sd:1,434557094557820E-02
P = 12;   s =  2;   std1 = 10,00;   tau =  4,00  -->  NFE:  100068  -->  fx: 3,241532988263890E-02  -->  sd:2,317396026452760E-02
P = 12;   s =  2;   std1 = 10,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 3,267004563526080E-02  -->  sd:3,159777570663220E-02
P = 12;   s =  2;   std1 = 10,00;   tau =  5,00  -->  NFE:  100068  -->  fx: 3,328266939645910E-02  -->  sd:2,450147075766400E-02
P = 12;   s = 10;   std1 = 10,00;   tau =  5,00  -->  NFE:   99017  -->  fx: 3,828534251530460E-02  -->  sd:2,195965089742530E-02
P =  4;   s =  2;   std1 =  5,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 3,945072762494180E-02  -->  sd:1,083669561849070E-02
P = 12;   s = 10;   std1 = 10,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 3,954428463397140E-02  -->  sd:2,524356820464250E-02
P = 12;   s = 10;   std1 = 10,00;   tau =  4,00  -->  NFE:  100068  -->  fx: 4,048796937716440E-02  -->  sd:2,486629095957950E-02
P =  4;   s =  2;   std1 =  5,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 4,050041500192160E-02  -->  sd:9,194135801550840E-03
P = 12;   s = 10;   std1 = 10,00;   tau =  4,50  -->  NFE:   96481  -->  fx: 4,136978219540250E-02  -->  sd:2,556637966540980E-02
P =  4;   s =  2;   std1 =  5,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 4,176663611826390E-02  -->  sd:8,513226559156830E-03
P = 12;   s =  2;   std1 = 10,00;   tau =  4,50  -->  NFE:  100068  -->  fx: 4,259855745145450E-02  -->  sd:2,780581477769360E-02
P =  4;   s = 10;   std1 =  5,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 4,272144486160240E-02  -->  sd:1,087750574974770E-01
P =  4;   s = 10;   std1 =  5,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 4,507295534538310E-02  -->  sd:2,453506970910590E-02
P =  4;   s =  2;   std1 =  5,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 4,633784937663840E-02  -->  sd:1,186256766171330E-02
P =  4;   s =  2;   std1 =  5,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 5,929328427121160E-02  -->  sd:1,843627457021000E-02
P =  4;   s = 10;   std1 = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 7,135135704948630E-02  -->  sd:2,575252285085650E-02
P =  4;   s =  2;   std1 =  5,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 7,790612149981540E-02  -->  sd:1,585987891819600E-02
