




============================================================================
Função: Griewangk
============================================================================
P =  4;   s =  2;   std1 =  2,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 9,049186613820330E-03  -->  sd:7,427357528028310E-03
P =  4;   s =  1;   std1 =  2,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,644416283334630E-02  -->  sd:7,698603951635960E-03
P =  4;   s =  1;   std1 =  2,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,776605084361740E-02  -->  sd:7,585750114034210E-03
P =  4;   s =  2;   std1 =  2,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,904638692837370E-02  -->  sd:8,423569396412510E-03
P =  4;   s =  1;   std1 =  2,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 2,248942379653650E-02  -->  sd:6,111676579816650E-03
P =  4;   s =  1;   std1 =  2,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 2,911145772293410E-02  -->  sd:8,142301218154420E-03
P =  4;   s =  2;   std1 =  2,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 3,031818510407260E-02  -->  sd:5,057440037445820E-02
P =  4;   s =  1;   std1 =  2,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 4,964063896916650E-02  -->  sd:1,145856612153810E-02
P =  4;   s =  2;   std1 =  2,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 5,402314074896100E-02  -->  sd:1,783496550785110E-02
P =  4;   s =  1;   std1 =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 9,329592752621830E-02  -->  sd:1,170313696122550E-01
P =  4;   s =  1;   std1 =  2,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,005418867060510E-01  -->  sd:2,319941223054630E-02
P =  4;   s =  2;   std1 =  2,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,868801548409580E-01  -->  sd:7,287602356341820E-02
P =  4;   s =  1;   std1 =  2,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,024294261418140E-01  -->  sd:3,104932016047790E-01
P =  4;   s =  1;   std1 =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 2,043250784580890E-01  -->  sd:1,759816685373680E-01
P =  4;   s =  1;   std1 =  2,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 2,213234559491060E-01  -->  sd:7,016597597000120E-02
P =  4;   s =  1;   std1 =  2,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 6,717383897920390E-01  -->  sd:2,550131388010720E-01
P =  4;   s =  1;   std1 =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 8,117697482482810E-01  -->  sd:8,185030194412050E-01
P =  4;   s =  2;   std1 =  2,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 8,798805165691480E-01  -->  sd:1,325532403846880E+00
