




============================================================================
Função: Griewangk
============================================================================
P = 12;   s =  2;   porc =  5,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 1,638310562813550E-03  -->  sd:4,503946947978910E-03
P =  4;   s = 10;   porc =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 2,219534366357090E-03  -->  sd:3,290303766634200E-03
P = 12;   s =  2;   porc =  5,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 2,411568639011870E-03  -->  sd:3,965090598801280E-03
P = 12;   s =  2;   porc =  1,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 2,626758815691510E-03  -->  sd:6,078973718195990E-03
P = 12;   s =  2;   porc = 10,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 2,922186583370710E-03  -->  sd:4,002677791995110E-03
P = 12;   s =  2;   porc = 10,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 3,719779869394710E-03  -->  sd:3,058030181623090E-03
P =  4;   s = 10;   porc =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 3,928821251664130E-03  -->  sd:3,764829462238830E-03
P = 12;   s =  2;   porc =  1,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 4,623142030467740E-03  -->  sd:6,263598365714680E-03
P =  4;   s = 10;   porc =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,963582578135880E-03  -->  sd:7,639745971281200E-03
P =  4;   s = 10;   porc =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 5,527434117306080E-03  -->  sd:8,457928647359460E-03
P = 12;   s =  2;   porc = 10,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 5,715174653742900E-03  -->  sd:8,403100964708550E-03
P = 12;   s =  2;   porc =  1,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 8,623208938668040E-03  -->  sd:1,495864394568580E-02
P = 12;   s = 10;   porc = 50,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 8,642126987236620E-03  -->  sd:8,510913588240820E-03
P = 12;   s = 10;   porc = 10,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 8,656718169503100E-03  -->  sd:1,038642887714830E-02
P =  4;   s = 10;   porc =  5,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 9,349572449663990E-03  -->  sd:5,263803745129510E-03
P =  4;   s = 10;   porc =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,040961048090160E-02  -->  sd:5,463398030311900E-03
P =  4;   s = 10;   porc =  5,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 1,072042441009030E-02  -->  sd:6,463511390411980E-03
P = 12;   s =  2;   porc =  5,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 1,144613965126870E-02  -->  sd:9,493238225894450E-03
P = 12;   s = 10;   porc =  5,00;   tau =  3,00  -->  NFE:   97462  -->  fx: 1,171573742259210E-02  -->  sd:1,647071032141750E-02
P = 12;   s = 10;   porc =  5,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 1,267323984398260E-02  -->  sd:8,650441292116840E-03
P = 12;   s = 10;   porc = 10,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 1,313200799298570E-02  -->  sd:1,496603394722680E-02
