




============================================================================
Função: Griewangk
============================================================================
P = 12;   s =  1;   porc = 10,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 3,014637804480240E-03  -->  sd:5,620191762291750E-03
P = 12;   s =  1;   porc =  1,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 3,991145845087210E-03  -->  sd:6,373170450907710E-03
P = 12;   s =  1;   porc = 50,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 4,620214268948580E-03  -->  sd:5,728231744030830E-03
P = 12;   s =  2;   porc = 50,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 5,288193214120440E-03  -->  sd:7,518269602897490E-03
P = 12;   s =  1;   porc = 10,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 7,091553634995910E-03  -->  sd:5,568206769686810E-03
P = 12;   s =  2;   porc =  1,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 7,982913500168170E-03  -->  sd:9,420529920756860E-03
P = 12;   s =  2;   porc = 50,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 8,353498125566390E-03  -->  sd:1,056685904679920E-02
P = 12;   s =  1;   porc =  1,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 8,445950713804210E-03  -->  sd:8,968136493736410E-03
P = 12;   s =  1;   porc =  1,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 9,159132219279130E-03  -->  sd:1,030289176087980E-02
P = 12;   s =  2;   porc = 10,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 9,441311463645620E-03  -->  sd:8,449223997254960E-03
P = 12;   s =  1;   porc = 50,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 9,838354206742980E-03  -->  sd:9,865108189038420E-03
P = 12;   s =  1;   porc = 10,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 1,033508314321380E-02  -->  sd:1,199027257696000E-02
P = 12;   s =  2;   porc = 10,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 1,058827507557180E-02  -->  sd:1,136120300359430E-02
P = 12;   s =  2;   porc = 50,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 1,060449814241690E-02  -->  sd:1,079635877503660E-02
P = 12;   s =  2;   porc =  1,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 1,213963228451320E-02  -->  sd:1,001646233995480E-02
P = 12;   s =  1;   porc = 50,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 1,254269448430090E-02  -->  sd:1,460385810266740E-02
P = 12;   s =  2;   porc = 10,00;   tau =  3,50  -->  NFE:   98343  -->  fx: 1,435376881412960E-02  -->  sd:1,305475925759340E-02
P = 12;   s =  1;   porc = 50,00;   tau =  4,00  -->  NFE:  100068  -->  fx: 1,499230302442620E-02  -->  sd:1,624076369993200E-02
P = 12;   s =  1;   porc = 10,00;   tau =  4,00  -->  NFE:  100068  -->  fx: 1,555512417369480E-02  -->  sd:1,654797198933540E-02
P = 12;   s =  2;   porc =  1,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 1,634791217745210E-02  -->  sd:1,845295393794510E-02
P = 12;   s =  2;   porc = 10,00;   tau =  4,00  -->  NFE:   84446  -->  fx: 2,049116870291100E-02  -->  sd:2,322300162491720E-02
P = 12;   s =  1;   porc =  1,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 2,152649574668490E-02  -->  sd:2,336322894583290E-02
