


============================================================================
============================================================================
TUNING GEO REAL2 N VO
============================================================================
============================================================================



============================================================================
Função: Griewangk
============================================================================
P = 10;   s =  4;   std1 = 10,00;   tau =  4,50  -->  NFE:   86986  -->  fx: 3,123638656491190E-02  -->  sd:2,420396275482280E-02
P = 10;   s =  4;   std1 = 10,00;   tau =  4,00  -->  NFE:   91456  -->  fx: 2,763236098206750E-02  -->  sd:2,107756812947070E-02
P = 10;   s =  4;   std1 = 10,00;   tau =  5,00  -->  NFE:   94806  -->  fx: 3,270570254306460E-02  -->  sd:2,014467954136320E-02
P = 10;   s =  4;   std1 = 10,00;   tau =  3,50  -->  NFE:   94876  -->  fx: 1,729847150537540E-02  -->  sd:1,667777395943990E-02
P = 10;   s =  1;   std1 = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,323904485500930E-03  -->  sd:4,022831922734380E-03
P =  5;   s =  4;   std1 = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,367811235557900E-03  -->  sd:3,071246845464380E-03
P =  5;   s =  4;   std1 = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,879094251595950E-03  -->  sd:3,597879304192040E-03
P =  5;   s =  2;   std1 = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,403549356611460E-03  -->  sd:5,049153671000090E-03
P =  5;   s =  2;   std1 = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 2,438296915492140E-03  -->  sd:2,203267175667970E-03
P = 10;   s =  1;   std1 = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 2,500362330928340E-03  -->  sd:5,067725456330640E-03
P =  5;   s =  4;   std1 = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 2,967652048347500E-03  -->  sd:4,533326169955130E-03
P =  5;   s =  2;   std1 = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 2,989822080226870E-03  -->  sd:4,902826876901250E-03
P =  5;   s =  2;   std1 = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 3,240825818690360E-03  -->  sd:4,676440091635180E-03
P =  5;   s =  4;   std1 = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,244472582836930E-03  -->  sd:6,351699325018010E-03
P = 10;   s =  2;   std1 = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 5,145630794830060E-03  -->  sd:6,216025466324090E-03
P = 10;   s =  4;   std1 = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 7,105341568651470E-03  -->  sd:9,179149372633180E-03
P =  5;   s =  4;   std1 = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 7,530663447882480E-03  -->  sd:8,740922880243790E-03
P = 10;   s =  1;   std1 = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 7,937688774309780E-03  -->  sd:9,089702409820530E-03
P = 10;   s =  2;   std1 = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 8,524385889820710E-03  -->  sd:1,058126725864500E-02
P =  5;   s =  1;   std1 =  2,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 8,738893566528300E-03  -->  sd:5,207530208246090E-03
P =  5;   s =  2;   std1 = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 8,971345591005030E-03  -->  sd:5,519146894960680E-03
P = 10;   s =  2;   std1 = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,000754873161720E-02  -->  sd:9,101928375287790E-03
P = 10;   s =  4;   std1 = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,014781968911840E-02  -->  sd:9,558701305293480E-03
P = 10;   s =  1;   std1 = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,020992079490250E-02  -->  sd:9,359852613380000E-03
P = 10;   s =  4;   std1 = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,115205567104490E-02  -->  sd:1,004739024463330E-02
P =  5;   s =  1;   std1 =  2,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,203088464442810E-02  -->  sd:2,296951741693100E-02
P = 10;   s =  2;   std1 = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,255041840725160E-02  -->  sd:1,422952136698280E-02
P = 10;   s =  1;   std1 = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,501089694695780E-02  -->  sd:1,482979861365690E-02
P =  5;   s =  4;   std1 = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,599577566835350E-02  -->  sd:1,052728484781980E-02
P =  5;   s =  1;   std1 =  2,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,850018528565520E-02  -->  sd:6,357390770612060E-03
P =  5;   s =  2;   std1 =  2,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 2,012861993857520E-02  -->  sd:1,648630880240760E-02
P = 10;   s =  2;   std1 = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 2,287367490052120E-02  -->  sd:2,138069990896170E-02
P =  5;   s =  2;   std1 = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 2,370859761246790E-02  -->  sd:1,255446966427150E-02
P = 10;   s =  1;   std1 = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 3,090494521270450E-02  -->  sd:3,127518374538960E-02
P =  5;   s =  2;   std1 =  2,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 3,524237805626730E-02  -->  sd:1,470021849651390E-02
P = 10;   s =  2;   std1 = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 3,632084528848800E-02  -->  sd:2,580253921992810E-02
P = 10;   s =  2;   std1 = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 3,648066703591690E-02  -->  sd:3,053524266322430E-02
P = 10;   s =  2;   std1 = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 4,067790829043580E-02  -->  sd:1,829289372735650E-02
P = 10;   s =  1;   std1 = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 4,385861326354240E-02  -->  sd:3,607558508972540E-02
P =  5;   s =  4;   std1 = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 4,525336088261690E-02  -->  sd:1,992421252434080E-02
P =  5;   s =  1;   std1 =  2,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 4,841594797818110E-02  -->  sd:1,552259695548060E-02
P =  5;   s =  1;   std1 = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,847796397399780E-02  -->  sd:1,174821112755800E-02
P =  5;   s =  1;   std1 = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 4,872188719774120E-02  -->  sd:8,627614165344290E-03
P = 10;   s =  4;   std1 = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 4,914523593369520E-02  -->  sd:2,064401714104480E-02
