


============================================================================
============================================================================
TUNING GEO REAL2 P DS
============================================================================
============================================================================



============================================================================
Função: Griewangk
============================================================================
P = 10;   s = 10;   porc =  1,00;   tau =  5,00  -->  NFE:   91283  -->  fx: 2,648393838256320E-02  -->  sd:1,991822429566740E-02
P = 10;   s = 10;   porc =  1,00;   tau =  4,50  -->  NFE:   94363  -->  fx: 3,689015277693920E-02  -->  sd:2,919528953364970E-02
P = 10;   s =  2;   porc =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 6,071140130835540E-04  -->  sd:1,337265827356520E-03
P =  5;   s = 10;   porc = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 2,746232603245740E-03  -->  sd:3,624038067447050E-03
P =  5;   s = 10;   porc = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,879604019328970E-03  -->  sd:5,506794934112140E-03
P =  5;   s = 10;   porc =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 3,298378281912010E-03  -->  sd:5,571846186342850E-03
P =  5;   s = 10;   porc =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 3,558960936569770E-03  -->  sd:5,264519324715570E-03
P = 10;   s =  2;   porc =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 3,725369757325080E-03  -->  sd:7,651721347045730E-03
P =  5;   s = 10;   porc = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 4,105881006891370E-03  -->  sd:6,006806817379130E-03
P = 10;   s =  2;   porc =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 5,317724506547550E-03  -->  sd:8,564774330918630E-03
P = 10;   s = 10;   porc = 50,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 5,590685395285950E-03  -->  sd:5,914129492721480E-03
P = 10;   s = 10;   porc = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 6,670966495881470E-03  -->  sd:9,289843545133040E-03
P =  5;   s = 10;   porc =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 7,139670493163690E-03  -->  sd:8,430789826702190E-03
P = 10;   s =  2;   porc =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 7,184063749574650E-03  -->  sd:7,464471677257760E-03
P =  5;   s = 10;   porc = 50,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 8,934689271794830E-03  -->  sd:5,192589274630320E-03
P =  5;   s = 10;   porc = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 9,336222423232650E-03  -->  sd:8,488475175351590E-03
P = 10;   s = 10;   porc =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 9,509235680317800E-03  -->  sd:1,190901098017430E-02
P =  5;   s = 10;   porc =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 9,796196383841570E-03  -->  sd:1,164862433523650E-02
P = 10;   s = 10;   porc = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 9,950318667203370E-03  -->  sd:9,710368666794970E-03
P = 10;   s =  2;   porc = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,071693777061340E-02  -->  sd:6,679829288966810E-03
P = 10;   s = 10;   porc = 50,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,183021049568960E-02  -->  sd:1,276625618789470E-02
P = 10;   s =  2;   porc = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,201093306816320E-02  -->  sd:4,582375381271900E-03
P = 10;   s = 10;   porc = 50,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,281033417511160E-02  -->  sd:1,126514906007500E-02
P =  5;   s = 10;   porc =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,328298413927350E-02  -->  sd:7,082715875751310E-03
P = 10;   s =  2;   porc = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,384725155995230E-02  -->  sd:5,421083585777920E-03
P =  5;   s = 10;   porc = 50,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 1,398215241204640E-02  -->  sd:7,524890039103340E-03
P = 10;   s = 10;   porc =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,483167525426480E-02  -->  sd:1,274470493457960E-02
P = 10;   s = 10;   porc = 50,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,517456392112900E-02  -->  sd:1,386699991808440E-02
P = 10;   s = 10;   porc = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,543996579381250E-02  -->  sd:1,506778283026560E-02
P =  5;   s = 10;   porc =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 1,605628696831730E-02  -->  sd:1,558933641636590E-02
P =  5;   s = 10;   porc = 50,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,703801343814230E-02  -->  sd:7,803647073721180E-03
P = 10;   s =  2;   porc = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 1,979046904909220E-02  -->  sd:1,313903290042580E-02
P =  5;   s = 10;   porc = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 2,222642890826710E-02  -->  sd:1,067870903381060E-02
P = 10;   s =  2;   porc =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 2,253899216476010E-02  -->  sd:2,326338881191520E-02
P = 10;   s = 10;   porc = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 2,271516786705420E-02  -->  sd:1,911561992561910E-02
P = 10;   s = 10;   porc = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,369934451007860E-02  -->  sd:1,918390736689400E-02
P = 10;   s =  2;   porc =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,438486685263670E-02  -->  sd:1,825081131400580E-02
P = 10;   s = 10;   porc =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 2,539107112407380E-02  -->  sd:1,496176084156980E-02
P = 10;   s = 10;   porc =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 2,566401554789770E-02  -->  sd:2,058157992743530E-02
P = 10;   s =  2;   porc = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 2,678681138095370E-02  -->  sd:1,127323117374680E-02
P = 10;   s = 10;   porc = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 2,795276299347230E-02  -->  sd:1,314126636543190E-02
P = 10;   s =  2;   porc = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 2,879121803338630E-02  -->  sd:2,122593349050310E-02
P = 10;   s =  2;   porc =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 3,074667813263660E-02  -->  sd:1,643232024312790E-02
P = 10;   s = 10;   porc = 50,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 3,210181022705750E-02  -->  sd:2,166543788566770E-02
P = 10;   s = 10;   porc = 50,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 3,230303275831330E-02  -->  sd:2,339834733243270E-02
P = 10;   s = 10;   porc =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 3,346045592034370E-02  -->  sd:1,634322145024120E-02
P = 10;   s = 10;   porc = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 3,463509980918300E-02  -->  sd:2,148751153880770E-02
P = 10;   s =  2;   porc =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 3,544110210177980E-02  -->  sd:2,465208754217090E-02
P =  5;   s = 10;   porc =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 3,687643773029170E-02  -->  sd:1,488582633287040E-02
P =  5;   s = 10;   porc = 50,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 3,934360116763410E-02  -->  sd:1,703241891520070E-02
P = 10;   s = 10;   porc =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 4,702874110871290E-02  -->  sd:2,219583861960260E-02
P =  5;   s =  2;   porc =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 5,618853553531140E-02  -->  sd:1,171755203276350E-02
P = 10;   s = 10;   porc = 50,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 5,784013985083550E-02  -->  sd:2,678502789683390E-02
P =  5;   s =  2;   porc =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 5,787059073212950E-02  -->  sd:1,560597956409200E-02
P =  5;   s =  2;   porc =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 6,051377228523160E-02  -->  sd:1,256641032863890E-02
P =  5;   s = 10;   porc = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 6,608595794636550E-02  -->  sd:2,444549312967820E-02
P =  5;   s =  2;   porc =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 7,052290776533420E-02  -->  sd:1,829368027312190E-02
P = 10;   s =  2;   porc = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 7,337296816420940E-02  -->  sd:2,366213186070070E-02
P =  5;   s =  2;   porc =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 7,747313744108320E-02  -->  sd:1,753652487927880E-02
P =  5;   s = 10;   porc = 50,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 9,705284522262960E-02  -->  sd:3,340641522034330E-02
P =  5;   s =  2;   porc =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,024628821792750E-01  -->  sd:2,620552911624980E-02
P = 10;   s =  2;   porc = 50,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 1,150414186374700E-01  -->  sd:2,416398999791890E-02
P = 10;   s =  2;   porc = 50,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 1,160986652106590E-01  -->  sd:2,829458748755990E-02
P = 10;   s =  2;   porc = 50,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,259209928755140E-01  -->  sd:2,588967037577420E-02
P = 10;   s =  2;   porc = 50,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,328492758526350E-01  -->  sd:2,872004262783930E-02
P =  5;   s = 10;   porc =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,419108180714050E-01  -->  sd:4,327698677032920E-02
