tau;GEO;GEOvar
0.25;20,8400861658888;16,7656756290753;
0.5;2,50717599000798;5,06830623549822;
0.75;0,579546634006888;1,47466051209847;
1;0,161641175910152;0,884364842970967;
1.25;0,111904480643602;0,407902219206322;
1.5;0,153982833449849;0,164177492413359;
1.75;0,213963151712561;0,0659527915086509;
2;0,281343139721317;0,027757394740622;
2.25;0,297342250490884;0,0144596903974062;
2.5;0,320657130754032;0,010036195933647;
2.75;0,308140515555267;0,007865135056754;
3;0,340891773807282;0,00847597813464615;
3.25;0,347785785563772;0,0229092067747805;
3.5;0,282345732786145;0,0213007229117185;
3.75;0,387950153646335;0,0423098636069255;
4;0,258827652574354;0,0601758821748677;
4.25;0,357158124630466;0,0966122683371754;
4.5;0,342854095932864;0,129854396151081;
4.75;0,440670022248048;0,121409293063844;
5;0,347212396306276;0,188684839862128;
5.25;0,318610233012345;0,176187323633467;
5.5;0,343609080910019;0,180505218025372;
5.75;0,336903279856584;0,124637928562655;
6;0,342889063259112;0,21208474093663;
6.25;0,359083565934754;0,161660172127303;
6.5;0,356966442159412;0,132134218319212;
6.75;0,321073867398509;0,152095042730085;
7;0,329955784361551;0,212271476113239;
