tau;GEO;GEOvar
0.25;1549,89472430318;1384,32177125033;
0.5;863,063837987965;879,895878169158;
0.75;489,511125389584;521,113018846524;
1;543,865762284789;331,597986215857;
1.25;647,254628607116;223,427011063553;
1.5;774,496197386619;168,1489701497;
1.75;866,511739213682;201,722005186581;
2;873,169952449852;189,977069465616;
2.25;931,070563234397;278,981779188822;
2.5;886,880174866936;415,235614142782;
2.75;963,03821990339;598,347967670651;
3;956,05310721421;656,406650509516;
3.25;885,222363368857;805,120928934147;
3.5;878,457875319068;845,791711721303;
3.75;928,388093397652;917,988913488413;
4;859,777186655866;963,842396271645;
4;967,727203350665;882,79336297402;
4.25;844,342325983692;872,321752162251;
4.5;866,143910156177;969,367116853541;
4.75;927,248101961127;910,234754323981;
5;857,474257734377;883,602698729288;
5.25;867,175143710665;947,983255969764;
5.5;873,495495833694;996,821685619655;
5.75;959,409712825159;813,647735533781;
6;883,792238694308;917,946190835859;
6.25;889,32356790069;923,037129641506;
6.5;916,665597508574;885,427506824609;
6.75;850,663400005243;898,361842856909;
7;866,298950321012;904,419061243231;
