===> Médias para cada NFOB:
NFOB;GEO;GEOvar;AGEO1;AGEO2;AGEO1var;AGEO2var
10000;0,009751971459869085;0,0062446506366941835;0,015085985697738915;0,13667984126397242;0,023748454713911488;0,006622764797764123
20000;0,003044084014149508;0,0011235332255318904;0,003641677997765681;0,08983277176377186;0,008561253615212734;0,0021778540141100242
30000;0,0010018972061210019;0,0005407627782362894;0,002390818055339637;0,02016741823989724;0,0042626752067945525;0,0010104285241452958
40000;0,000769516374263947;0,0003329628941799384;0,0018146125561885656;0,0010013651168409826;0,0022749281618394995;0,00062876211507841
50000;0,0005555205873952595;0,0002654787847518051;0,0015624704901944825;0,00046594707421194115;0,0018424749155445622;0,00024411871700454727
60000;0,00040282621918800055;0,00019923165420267282;0,0010808634534670448;0,0004131762519166618;0,0014402448873177484;0,00020860915751699888
70000;0,00038320245419228434;0,00018151550064399738;0,0008046068272769422;0,00017067932357290718;0,0012553379028538108;0,00015245630364719843
80000;0,0001765814701542624;0,0001645947821157429;0,000535383865675367;0,00017067932357290718;0,0009230685295072163;0,00012900018270076296
90000;0,00017114850991761907;0,0001479634270637694;0,00048774062931116846;6,991257612528107E-05;0,0008005275624586886;0,00011568105980548235
100000;8,15859150236876E-05;0,00014264533672245488;0,0004587795047035273;6,100337626939147E-05;0,0007652341742083882;0,0001021831537013057
110000;7,03744353353841E-05;0,00013446808646645867;0,0004150471183672718;5,876157410619429E-05;0,0007363950455702543;9,690537975116244E-05
120000;6,552204681252571E-05;0,00012181945330781092;0,0004064535875599006;5,7212902050277004E-05;0,0005628973002425741;9,307017214530653E-05
130000;5,452097500193177E-05;0,00011749551007485955;0,0004011789785664772;5,230966292523162E-05;0,0005619923494633521;8,440546933377776E-05
140000;5,212931882878006E-05;0,00010499792618925621;0,000396805325691304;5,020035676757933E-05;0,0004961487654736224;7,412448272150812E-05
150000;4,856658022585497E-05;0,00010453882239646448;0,00033951642249404045;4,914369975899325E-05;0,0004834442284954084;7,17024761114327E-05
160000;4,621935857931265E-05;0,0001022184508486903;0,000326057529155014;4,641118034140431E-05;0,00045089969600065473;6,996690815804266E-05
170000;4,145319382856748E-05;8,889068808975626E-05;0,000313664289930019;4,18280854472315E-05;0,00044446137732380154;6,652189624999664E-05
180000;4,046634756221874E-05;8,429978590832548E-05;0,0002486464168850669;4,167773458460044E-05;0,00044446137732380154;6,278331930170764E-05
190000;3,806972128215493E-05;7,689660178379163E-05;0,0002141839363876459;4,128736942591084E-05;0,00044428288303164314;6,159246791942874E-05
200000;3,481251757858199E-05;6,848183876192347E-05;0,00018835998751166747;3,8763560471891325E-05;0,00044333836723701206;5,546961625362104E-05
210000;3,107226043463847E-05;6,61991549263402E-05;0,00017298322956677415;2,7506165123636034E-05;0,00041924665825186314;5,290859047230412E-05
220000;2,9935354820498673E-05;6,528578109807992E-05;0,00016487794328762833;2,6793135339936092E-05;0,00040606897735728125;4,764056460594455E-05
230000;2,9001505048312585E-05;6,468420219773918E-05;0,00016463602028771513;2,642249454889146E-05;0,0004035867783871222;4,653376123940635E-05
240000;2,9001505048312585E-05;5,690136720173802E-05;0,00013218694631999354;2,5088745267787764E-05;0,0003638836346491143;4,530559958824875E-05
250000;2,8220051708711512E-05;5,687323841911764E-05;0,0001248337068530807;2,2902934733223324E-05;0,0003273436703752378;4,372730711340281E-05
260000;2,8220051708711512E-05;5,567691090534204E-05;0,00011236936958747459;2,246973809982523E-05;0,0003265347759395682;4,323034868760278E-05
270000;2,7518614963893414E-05;5,378135700718598E-05;0,00010755181532172935;2,221314637309155E-05;0,0003243275452468309;4,323034868760278E-05
280000;2,6478431450657986E-05;5,378135700718598E-05;0,00010628766492468696;2,0360999569332837E-05;0,0003142343972990149;3,918223216485094E-05
290000;2,3487939957397667E-05;5,040272240185995E-05;0,00010628766492468696;2,0360999569332837E-05;0,0003065631511938982;3,865232631888268E-05
300000;2,005220837336564E-05;4,978503424314761E-05;0,00010615588789920693;1,8361589079319804E-05;0,00030331735873739856;3,786208848911076E-05
310000;1,7819579683609382E-05;4,978503424314761E-05;0,00010405027715388412;1,7728699374809307E-05;0,00029784350054901044;3,5363772043453846E-05
