porcentagem;std;GEOreal1;AGEO1real1;AGEO2real1;
0,1;0,004096;4,849145345782977E-07;0,00025008690460592565;2,7603475322710143E-05;
0,2;0,008192;2,265079175564934E-06;4,870805794099786E-06;1,3787925168617088E-06;
0,5;0,02048;8,883901997783645E-06;1,7831612316241685E-05;7,945053191122106E-06;
1;0,04096;5,063838257926531E-05;0,00010291401326097339;4,401806385859271E-05;
2;0,08192;0,005729677839651602;0,0008356806885491953;0,0001234286031120761;
5;0,2048;0,15535124355181318;0,0013272960668089973;0,0012136583647297987;
10;0,4096;0,002286732650502875;0,003399080500617253;0,0025454036990542554;
20;0,8192;0,011625810636873402;0,03632460519266182;0,013029691856212557;
50;2,048;0,07286261754777336;0,42081792104920873;0,1272835094682389;
100;4,096;0,3880694412142982;0,7001590675543561;0,973914914296162;
