porcentagem;std;GEOreal1;AGEO1real1;AGEO2real1;
0,1;1;2283,7561442835254;2408,0349424606698;2470,7462185061263;
0,2;2;2371,620708919069;2397,652004106564;2369,8796664190663;
0,5;5;2552,0826858698288;2379,041833860066;2328,0123588021393;
1;10;2196,2627727553395;2218,0400800767643;2212,264597914206;
2;20;1805,9651031719795;1746,2723576982153;1741,4629686244807;
5;50;2117,7575161368877;2260,4496337769174;1793,2395359439668;
10;100;2510,785783628463;2620,9416432092694;2476,4937198112107;
20;200;3231,455742837261;3037,386169484178;2973,7014839286485;
50;500;3321,3033201961084;3170,8710039699777;3124,549221133762;
100;1000;2792,1444547809424;2362,2547712606547;2765,322437167418;
