tau;GEO;GEOvar
0,5;2,124348551553305;4,8554102920450255;
0,75;0,636083447456089;1,5770263972334475;
1;0,14582394576702057;0,8856142273536408;
1,25;0,12971592408085159;0,40008994324839353;
1,5;0,1537343827932077;0,1335424622970986;
1,75;0,22312099075788364;0,07009017133382325;
2;0,2658329050236761;0,0302603810023759;
2,25;0,34086283179850796;0,011697191391382266;
2,5;0,24589484337325596;0,008082927028360304;
2,75;0,3374505872345136;0,00624007006513696;
3;0,39619902103993254;0,008408088527856605;
3,25;0,2846483917527838;0,01552998149696444;
3,5;0,352076609719218;0,028602391194800826;
3,75;0,27957946805005374;0,047362551850533896;
4;0,34317182094576804;0,050641134165382407;
