std;porcentagem;GEOreal1;AGEO1real1;AGEO2real1;
0;0,1;100001;100001;100001;
0;0,2;100001;100001;100001;
0;0,3;100001;100001;100001;
0;0,4;100001;100001;100001;
0;0,5;100001;100001;100001;
0;0,6;100001;100001;100001;
0;0,7;100001;100001;100001;
0;0,8;100001;100001;100001;
0;0,9;100001;100001;100001;
0;1;100001;100001;100001;
0,2;0,1;75032;30225;87533;
0,2;0,2;76581;35106;94638;
0,2;0,3;70529;32632;94195;
0,2;0,4;69107;30768;83799;
0,2;0,5;70922;35016;88824;
0,2;0,6;73772;31752;95569;
0,2;0,7;78209;33790;92248;
0,2;0,8;71978;33495;88436;
0,2;0,9;69626;31598;92220;
0,2;1;72050;34183;91026;
0,4;0,1;8114;9903;9035;
0,4;0,2;8353;10335;9554;
0,4;0,3;8318;10193;10901;
0,4;0,4;8207;10055;10736;
0,4;0,5;8703;10116;10260;
0,4;0,6;8359;10127;10548;
0,4;0,7;8391;10552;9891;
0,4;0,8;8619;9980;10562;
0,4;0,9;9384;9819;9118;
0,4;1;8593;10124;11517;
0,6;0,1;4496;5952;4621;
0,6;0,2;4453;6109;4775;
0,6;0,3;4415;6154;4730;
0,6;0,4;4434;6111;4456;
0,6;0,5;4520;6124;4953;
0,6;0,6;4709;5869;4802;
0,6;0,7;4457;6006;4623;
0,6;0,8;4189;5942;5164;
0,6;0,9;4616;6055;4894;
0,6;1;4606;6342;4497;
0,8;0,1;3630;5353;3937;
0,8;0,2;3683;5189;3816;
0,8;0,3;3909;5251;4094;
0,8;0,4;4034;5153;3800;
0,8;0,5;3748;5393;3632;
0,8;0,6;4077;5398;3695;
0,8;0,7;3747;5091;3466;
0,8;0,8;3913;5349;4150;
0,8;0,9;3956;5259;3607;
0,8;1;3965;5275;3723;
1;0,1;3720;5614;3656;
1;0,2;3887;5638;3328;
1;0,3;4116;5555;4164;
1;0,4;3894;5476;3580;
1;0,5;3799;5651;3923;
1;0,6;3839;5480;3736;
1;0,7;3841;5723;3901;
1;0,8;3911;5767;3812;
1;0,9;3922;5437;3489;
1;1;3915;5592;3453;
1,2;0,1;4195;6386;3663;
1,2;0,2;4092;6276;3641;
1,2;0,3;4024;6107;3793;
1,2;0,4;4112;6322;3927;
1,2;0,5;4031;6821;3763;
1,2;0,6;3975;6683;3627;
1,2;0,7;4060;6337;3828;
1,2;0,8;3987;6487;3682;
1,2;0,9;3998;6295;3859;
1,2;1;4116;5980;3501;
1,4;0,1;4210;7960;3637;
1,4;0,2;4483;8173;3684;
1,4;0,3;4672;8012;3778;
1,4;0,4;4354;8439;3973;
1,4;0,5;4447;8327;3863;
1,4;0,6;4384;8342;3790;
1,4;0,7;4497;8197;4152;
1,4;0,8;4448;7762;3874;
1,4;0,9;4438;7676;3959;
1,4;1;4482;8150;3987;
1,6;0,1;4708;10730;3898;
1,6;0,2;5003;10276;3892;
1,6;0,3;4677;11192;4045;
1,6;0,4;5062;10380;4241;
1,6;0,5;5071;10866;4407;
1,6;0,6;5183;10743;4304;
1,6;0,7;5146;10931;4193;
1,6;0,8;5030;10789;3889;
1,6;0,9;4851;10907;4096;
1,6;1;4813;10660;4000;
1,8;0,1;5591;17929;4379;
1,8;0,2;5572;18043;4335;
1,8;0,3;5702;17901;4117;
1,8;0,4;5737;17500;4310;
1,8;0,5;5541;17417;4497;
1,8;0,6;5796;16905;4303;
1,8;0,7;5271;16995;4579;
1,8;0,8;5441;18599;4214;
1,8;0,9;5680;16926;4339;
1,8;1;5573;19337;4553;
2;0,1;6429;50724;4416;
2;0,2;6189;57530;4675;
2;0,3;6158;49377;4982;
2;0,4;6356;48464;4521;
2;0,5;6179;41111;4649;
2;0,6;6715;49403;4774;
2;0,7;6199;36440;4741;
2;0,8;6474;43153;4527;
2;0,9;6162;40670;4529;
2;1;5961;45522;4604;
