std;porcentagem;GEOreal1;AGEO1real1;AGEO2real1;
0;0,1;100001;100001;100001;
0;0,2;100001;100001;100001;
0;0,3;100001;100001;100001;
0;0,4;100001;100001;100001;
0;0,5;100001;100001;100001;
0;0,6;100001;100001;100001;
0;0,7;100001;100001;100001;
0;0,8;100001;100001;100001;
0;0,9;100001;100001;100001;
0;1;100001;100001;100001;
0,2;0,1;100001;100001;100001;
0,2;0,2;100001;100001;100001;
0,2;0,3;100001;100001;100001;
0,2;0,4;99763;96930;100001;
0,2;0,5;99639;94252;99559;
0,2;0,6;97002;89134;99915;
0,2;0,7;90876;74509;96215;
0,2;0,8;93217;57710;97745;
0,2;0,9;89152;42227;94629;
0,2;1;75438;32909;93950;
0,4;0,1;100001;100001;100001;
0,4;0,2;99803;97607;100001;
0,4;0,3;94791;88487;99124;
0,4;0,4;94982;55737;97548;
0,4;0,5;79344;33713;91013;
0,4;0,6;40434;23506;61602;
0,4;0,7;23591;16906;38766;
0,4;0,8;13695;14381;22914;
0,4;0,9;10887;12081;12676;
0,4;1;8394;10209;9576;
0,6;0,1;100001;99908;100001;
0,6;0,2;95276;86402;99418;
0,6;0,3;93134;40064;96095;
0,6;0,4;42885;22539;67246;
0,6;0,5;18830;15903;27374;
0,6;0,6;11005;12029;14442;
0,6;0,7;7740;9373;8805;
0,6;0,8;6018;7806;6423;
0,6;0,9;5091;6599;5023;
0,6;1;4626;6013;4614;
0,8;0,1;100001;97792;100001;
0,8;0,2;90340;54852;97666;
0,8;0,3;40278;22546;69081;
0,8;0,4;14452;14378;23841;
0,8;0,5;8414;9885;10049;
0,8;0,6;6161;7663;6973;
0,8;0,7;5065;6353;5068;
0,8;0,8;4466;5816;4435;
0,8;0,9;4122;5500;3929;
0,8;1;3795;5237;3734
1;0,1;99551;90863;99556;
1;0,2;74610;32021;88202;
1;0,3;17601;16015;28925;
1;0,4;8475;10188;10724;
1;0,5;5547;7349;6101;
1;0,6;4560;5994;4946;
1;0,7;4121;5565;4039;
1;0,8;3866;5299;3525;
1;0,9;3771;5443;3964;
1;1;3983;5577;3795;
1,2;0,1;96332;91079;99966;
1,2;0,2;39392;22551;67186;
1,2;0,3;10421;11653;11905;
1,2;0,4;6078;7596;6191;
1,2;0,5;4556;6057;4639;
1,2;0,6;4075;5401;3990;
1,2;0,7;3977;5254;3657;
1,2;0,8;3901;5558;3686;
1,2;0,9;3965;5992;3770;
1,2;1;4101;6284;3456;
1,4;0,1;94150;74843;97309;
1,4;0,2;21233;18101;37467;
1,4;0,3;7563;9367;9021;
1,4;0,4;4837;6409;5007;
1,4;0,5;4151;5416;3920;
1,4;0,6;3830;5363;3661;
1,4;0,7;3867;5462;3772;
1,4;0,8;3976;6165;3814;
1,4;0,9;4158;6640;3936;
1,4;1;4462;8233;3713;
1,6;0,1;94461;56864;97584;
1,6;0,2;14193;14406;20416;
1,6;0,3;6179;7718;6612;
1,6;0,4;4242;5709;4258;
1,6;0,5;3932;5350;4211;
1,6;0,6;3800;5506;3681;
1,6;0,7;3976;6005;3947;
1,6;0,8;4054;7206;3757;
1,6;0,9;4428;8532;4020;
1,6;1;5019;11358;3991;
1,8;0,1;86863;40324;90995;
1,8;0,2;10319;11766;14438;
1,8;0,3;5111;6519;5180;
1,8;0,4;4005;5392;4047;
1,8;0,5;3983;5374;3664;
1,8;0,6;3856;5974;3712;
1,8;0,7;4199;6710;3955;
1,8;0,8;4596;8377;3793;
1,8;0,9;4749;11483;3998;
1,8;1;5602;17915;4772;
2;0,1;76505;32080;89926;
2;0,2;8320;10001;9215;
2;0,3;4651;6113;4573;
2;0,4;3905;5348;3784;
2;0,5;3728;5540;3750;
2;0,6;4108;6601;3730;
2;0,7;4368;8065;4142;
2;0,8;4827;11120;4237;
2;0,9;5694;18325;4427;
2;1;6419;50739;4786;
