std;porcentagem;GEOreal1;AGEO1real1;AGEO2real1;
0;0,1;100001;100001;100001;
0;0,2;100001;100001;100001;
0;0,3;100001;100001;100001;
0;0,4;100001;100001;100001;
0;0,5;100001;100001;100001;
0;0,6;100001;100001;100001;
0;0,7;100001;100001;100001;
0;0,8;100001;100001;100001;
0;0,9;100001;100001;100001;
0;1;100001;100001;100001;
0,2;0,1;100001;100001;100001;
0,2;0,2;100001;100001;100001;
0,2;0,3;100001;100001;100001;
0,2;0,4;100001;100001;100001;
0,2;0,5;100001;100001;100001;
0,2;0,6;100001;100001;100001;
0,2;0,7;100001;100001;100001;
0,2;0,8;100001;100001;100001;
0,2;0,9;100001;100001;100001;
0,2;1;100001;100001;100001;
0,4;0,1;23674;32781;19004;
0,4;0,2;24114;33034;19190;
0,4;0,3;24494;32845;18815;
0,4;0,4;24234;32789;19246;
0,4;0,5;24673;33109;18742;
0,4;0,6;24839;32854;18315;
0,4;0,7;23961;33571;18956;
0,4;0,8;24539;32055;18397;
0,4;0,9;23851;31736;18758;
0,4;1;23833;32086;18183;
0,6;0,1;13514;18601;11263;
0,6;0,2;13724;18959;10058;
0,6;0,3;13767;18715;10544;
0,6;0,4;13591;18343;10769;
0,6;0,5;13623;18414;11157;
0,6;0,6;13555;18835;9791;
0,6;0,7;13653;18836;11063;
0,6;0,8;13844;18339;9904;
0,6;0,9;13565;18520;10863;
0,6;1;13516;18040;10969;
0,8;0,1;11618;16250;8905;
0,8;0,2;11796;16527;8951;
0,8;0,3;11893;16122;9112;
0,8;0,4;12200;15845;8977;
0,8;0,5;12037;15605;9044;
0,8;0,6;11714;15931;8531;
0,8;0,7;11603;16299;9537;
0,8;0,8;11997;16481;9311;
0,8;0,9;11977;16298;8968;
0,8;1;11927;15940;8814;
1;0,1;11773;16116;8384;
1;0,2;11481;16276;8595;
1;0,3;11753;16457;8987;
1;0,4;11507;16957;8649;
1;0,5;11643;16331;8795;
1;0,6;11930;16401;8742;
1;0,7;11593;16964;9480;
1;0,8;11791;16899;9026;
1;0,9;11608;16765;8526;
1;1;11885;16312;9218;
1,2;0,1;12106;18654;8891;
1,2;0,2;12247;18671;8991;
1,2;0,3;12341;18268;8603;
1,2;0,4;12318;18542;8843;
1,2;0,5;12254;17954;9521;
1,2;0,6;12218;18896;8255;
1,2;0,7;12072;18141;8454;
1,2;0,8;12157;18752;9172;
1,2;0,9;12269;18737;8857;
1,2;1;12183;18941;8995;
1,4;0,1;13253;22440;9509;
1,4;0,2;13512;22298;8879;
1,4;0,3;13305;21569;9009;
1,4;0,4;13062;21422;8717;
1,4;0,5;12912;22098;8940;
1,4;0,6;12950;22413;8831;
1,4;0,7;13150;22074;9508;
1,4;0,8;13432;21913;9142;
1,4;0,9;13546;21729;9194;
1,4;1;13408;22100;9148;
1,6;0,1;14530;27844;8749;
1,6;0,2;14765;27438;8867;
1,6;0,3;14418;27207;8934;
1,6;0,4;14484;28142;9223;
1,6;0,5;14758;27519;9579;
1,6;0,6;14473;27911;9376;
1,6;0,7;14746;28287;9119;
1,6;0,8;14405;26663;8840;
1,6;0,9;14969;27863;9848;
1,6;1;14509;27606;8915;
1,8;0,1;16357;36961;9742;
1,8;0,2;15803;38320;9729;
1,8;0,3;16267;35459;9220;
1,8;0,4;16055;36079;9580;
1,8;0,5;16231;36656;9667;
1,8;0,6;16370;36619;9818;
1,8;0,7;16220;36733;9800;
1,8;0,8;15809;37261;9652;
1,8;0,9;16375;35662;9815;
1,8;1;16436;37188;9485;
2;0,1;18353;58916;10029;
2;0,2;18070;55107;9713;
2;0,3;18585;56448;9591;
2;0,4;17795;59264;9815;
2;0,5;18300;55005;9899;
2;0,6;17983;56025;9839;
2;0,7;18227;58945;10008;
2;0,8;18138;53301;9933;
2;0,9;18149;56487;9610;
2;1;18064;56063;103
