===> Médias para cada NFOB:
NFOB;GEO;GEOvar;AGEO1;AGEO2;AGEO1var;AGEO2var
10000;-24,955;-25;-24,995;-25;-24,92;-25
20000;-24,955;-25;-25;-25;-24,96;-25
30000;-24,955;-25;-25;-25;-24,965;-25
40000;-24,965;-25;-25;-25;-24,975;-25
50000;-24,965;-25;-25;-25;-24,985;-25
60000;-24,97;-25;-25;-25;-24,99;-25
70000;-24,975;-25;-25;-25;-24,99;-25
80000;-24,98;-25;-25;-25;-24,995;-25
90000;-24,98;-25;-25;-25;-25;-25
100000;-24,985;-25;-25;-25;-25;-25
110000;-24,985;-25;-25;-25;-25;-25
120000;-24,985;-25;-25;-25;-25;-25
130000;-24,985;-25;-25;-25;-25;-25
140000;-24,985;-25;-25;-25;-25;-25
150000;-24,995;-25;-25;-25;-25;-25
160000;-24,995;-25;-25;-25;-25;-25
170000;-24,995;-25;-25;-25;-25;-25
180000;-25;-25;-25;-25;-25;-25
190000;-25;-25;-25;-25;-25;-25
200000;-25;-25;-25;-25;-25;-25
210000;-25;-25;-25;-25;-25;-25
220000;-25;-25;-25;-25;-25;-25
230000;-25;-25;-25;-25;-25;-25
240000;-25;-25;-25;-25;-25;-25
250000;-25;-25;-25;-25;-25;-25
260000;-25;-25;-25;-25;-25;-25
270000;-25;-25;-25;-25;-25;-25
280000;-25;-25;-25;-25;-25;-25
290000;-25;-25;-25;-25;-25;-25
300000;-25;-25;-25;-25;-25;-25
310000;-25;-25;-25;-25;-25;-25
320000;-25;-25;-25;-25;-25;-25
330000;-25;-25;-25;-25;-25;-25
340000;-25;-25;-25;-25;-25;-25
350000;-25;-25;-25;-25;-25;-25
360000;-25;-25;-25;-25;-25;-25
370000;-25;-25;-25;-25;-25;-25
380000;-25;-25;-25;-25;-25;-25
390000;-25;-25;-25;-25;-25;-25
400000;-25;-25;-25;-25;-25;-25
410000;-25;-25;-25;-25;-25;-25
420000;-25;-25;-25;-25;-25;-25
430000;-25;-25;-25;-25;-25;-25
440000;-25;-25;-25;-25;-25;-25
450000;-25;-25;-25;-25;-25;-25
460000;-25;-25;-25;-25;-25;-25
470000;-25;-25;-25;-25;-25;-25
480000;-25;-25;-25;-25;-25;-25
490000;-25;-25;-25;-25;-25;-25
500000;-25;-25;-25;-25;-25;-25
510000;-25;-25;-25;-25;-25;-25
520000;-25;-25;-25;-25;-25;-25
530000;-25;-25;-25;-25;-25;-25
540000;-25;-25;-25;-25;-25;-25
550000;-25;-25;-25;-25;-25;-25
560000;-25;-25;-25;-25;-25;-25
570000;-25;-25;-25;-25;-25;-25
580000;-25;-25;-25;-25;-25;-25
590000;-25;-25;-25;-25;-25;-25
600000;-25;-25;-25;-25;-25;-25
610000;-25;-25;-25;-25;-25;-25
620000;-25;-25;-25;-25;-25;-25
630000;-25;-25;-25;-25;-25;-25
640000;-25;-25;-25;-25;-25;-25
650000;-25;-25;-25;-25;-25;-25
660000;-25;-25;-25;-25;-25;-25
670000;-25;-25;-25;-25;-25;-25
680000;-25;-25;-25;-25;-25;-25
690000;-25;-25;-25;-25;-25;-25
700000;-25;-25;-25;-25;-25;-25
710000;-25;-25;-25;-25;-25;-25
720000;-25;-25;-25;-25;-25;-25
730000;-25;-25;-25;-25;-25;-25
740000;-25;-25;-25;-25;-25;-25
750000;-25;-25;-25;-25;-25;-25
760000;-25;-25;-25;-25;-25;-25
770000;-25;-25;-25;-25;-25;-25
780000;-25;-25;-25;-25;-25;-25
790000;-25;-25;-25;-25;-25;-25
800000;-25;-25;-25;-25;-25;-25
810000;-25;-25;-25;-25;-25;-25
820000;-25;-25;-25;-25;-25;-25
830000;-25;-25;-25;-25;-25;-25
840000;-25;-25;-25;-25;-25;-25
850000;-25;-25;-25;-25;-25;-25
860000;-25;-25;-25;-25;-25;-25
870000;-25;-25;-25;-25;-25;-25
880000;-25;-25;-25;-25;-25;-25
890000;-25;-25;-25;-25;-25;-25
900000;-25;-25;-25;-25;-25;-25
910000;-25;-25;-25;-25;-25;-25
920000;-25;-25;-25;-25;-25;-25
930000;-25;-25;-25;-25;-25;-25
940000;-25;-25;-25;-25;-25;-25
950000;-25;-25;-25;-25;-25;-25
960000;-25;-25;-25;-25;-25;-25
970000;-25;-25;-25;-25;-25;-25
980000;-25;-25;-25;-25;-25;-25
990000;-25;-25;-25;-25;-25;-25
1000000;-25;-25;-25;-25;-25;-25
