===> Médias para cada NFOB:
NFOB;GEO;GEOvar;AGEO1;AGEO2;AGEO1var;AGEO2var
250;-18,38;-25;-11,54;-10,88;-19,14;-18,76
500;-23,18;-25;-20,36;-20,72;-23,42;-24,48
750;-24,92;-25;-24,6;-24,04;-24,64;-25
1000;-24,94;-25;-24,92;-24,84;-24,76;-25
1250;-24,94;-25;-24,92;-24,96;-24,9;-25
1500;-24,94;-25;-24,92;-24,96;-24,9;-25
1750;-24,94;-25;-24,92;-24,96;-24,9;-25
2000;-24,94;-25;-24,92;-24,96;-24,9;-25
2250;-24,94;-25;-24,92;-24,96;-24,9;-25
2500;-24,94;-25;-24,92;-24,98;-24,9;-25
2750;-24,94;-25;-24,92;-24,98;-24,9;-25
3000;-24,94;-25;-24,92;-24,98;-24,9;-25
3250;-24,94;-25;-24,92;-24,98;-24,9;-25
3500;-24,94;-25;-24,92;-24,98;-24,92;-25
3750;-24,94;-25;-24,92;-24,98;-24,92;-25
4000;-24,94;-25;-24,96;-24,98;-24,92;-25
4250;-24,94;-25;-24,96;-24,98;-24,92;-25
4500;-24,94;-25;-24,96;-24,98;-24,92;-25
4750;-24,94;-25;-24,96;-25;-24,92;-25
5000;-24,94;-25;-24,96;-25;-24,92;-25
5250;-24,94;-25;-24,96;-25;-24,92;-25
5500;-24,94;-25;-24,96;-25;-24,92;-25
5750;-24,94;-25;-24,96;-25;-24,92;-25
6000;-24,96;-25;-24,96;-25;-24,92;-25
6250;-24,96;-25;-24,96;-25;-24,92;-25
6500;-24,96;-25;-24,96;-25;-24,92;-25
6750;-24,96;-25;-24,96;-25;-24,94;-25
7000;-24,96;-25;-24,96;-25;-24,94;-25
7250;-24,96;-25;-24,98;-25;-24,94;-25
7500;-24,96;-25;-24,98;-25;-24,94;-25
7750;-24,96;-25;-24,98;-25;-24,94;-25
8000;-24,96;-25;-24,98;-25;-24,94;-25
8250;-24,96;-25;-24,98;-25;-24,94;-25
8500;-24,96;-25;-24,98;-25;-24,94;-25
8750;-24,96;-25;-24,98;-25;-24,94;-25
9000;-24,96;-25;-24,98;-25;-24,94;-25
9250;-24,96;-25;-24,98;-25;-24,94;-25
9500;-24,96;-25;-24,98;-25;-24,94;-25
9750;-24,96;-25;-24,98;-25;-24,94;-25
10000;-24,96;-25;-24,98;-25;-24,94;-25
10250;-24,96;-25;-24,98;-25;-24,94;-25
10500;-24,96;-25;-24,98;-25;-24,94;-25
10750;-24,96;-25;-24,98;-25;-24,94;-25
11000;-24,96;-25;-24,98;-25;-24,94;-25
11250;-24,96;-25;-24,98;-25;-24,94;-25
11500;-24,96;-25;-24,98;-25;-24,94;-25
11750;-24,96;-25;-24,98;-25;-24,94;-25
12000;-24,96;-25;-24,98;-25;-24,94;-25
12250;-24,96;-25;-24,98;-25;-24,94;-25
12500;-24,96;-25;-24,98;-25;-24,94;-25
12750;-24,96;-25;-24,98;-25;-24,94;-25
13000;-24,96;-25;-24,98;-25;-24,94;-25
13250;-24,96;-25;-24,98;-25;-24,94;-25
13500;-24,96;-25;-24,98;-25;-24,94;-25
13750;-24,96;-25;-24,98;-25;-24,94;-25
14000;-24,96;-25;-24,98;-25;-24,94;-25
14250;-24,96;-25;-25;-25;-24,94;-25
14500;-24,96;-25;-25;-25;-24,94;-25
14750;-24,96;-25;-25;-25;-24,94;-25
15000;-24,96;-25;-25;-25;-24,94;-25
15250;-24,96;-25;-25;-25;-24,94;-25
15500;-24,96;-25;-25;-25;-24,94;-25
15750;-24,96;-25;-25;-25;-24,94;-25
16000;-24,96;-25;-25;-25;-24,94;-25
16250;-24,96;-25;-25;-25;-24,94;-25
16500;-24,96;-25;-25;-25;-24,94;-25
16750;-24,96;-25;-25;-25;-24,94;-25
17000;-24,96;-25;-25;-25;-24,94;-25
17250;-24,96;-25;-25;-25;-24,94;-25
17500;-24,96;-25;-25;-25;-24,94;-25
17750;-24,96;-25;-25;-25;-24,94;-25
18000;-24,96;-25;-25;-25;-24,94;-25
18250;-24,96;-25;-25;-25;-24,94;-25
18500;-24,96;-25;-25;-25;-24,94;-25
18750;-24,96;-25;-25;-25;-24,94;-25
19000;-24,96;-25;-25;-25;-24,94;-25
19250;-24,96;-25;-25;-25;-24,94;-25
19500;-24,96;-25;-25;-25;-24,94;-25
19750;-24,96;-25;-25;-25;-24,94;-25
20000;-24,96;-25;-25;-25;-24,94;-25
20250;-24,96;-25;-25;-25;-24,94;-25
20500;-24,96;-25;-25;-25;-24,94;-25
20750;-24,96;-25;-25;-25;-24,96;-25
21000;-24,96;-25;-25;-25;-24,96;-25
21250;-24,96;-25;-25;-25;-24,96;-25
21500;-24,96;-25;-25;-25;-24,96;-25
21750;-24,96;-25;-25;-25;-24,96;-25
22000;-24,96;-25;-25;-25;-24,96;-25
22250;-24,96;-25;-25;-25;-24,96;-25
22500;-24,96;-25;-25;-25;-24,96;-25
