Schwefel
===> Médias para cada NFOB:
NFOB;GEO;GEOvar;AGEO1;AGEO2;AGEO1var;AGEO2var
1000;2788,3310818939412;1028,1769636728066;2363,907333589961;2737,4612369456595;1296,7122523010212;1167,2682004021253
2000;2176,544606100998;932,0747048750983;1498,9073717139056;1769,5014348724974;1056,9169716101992;884,4163627684568
3000;1835,175384360751;877,0138579421837;1206,2741665210199;1293,4117066130063;1014,4637399745636;827,6010922466154
4000;1599,5186117401274;838,6362427349175;1065,7464413332561;1085,0784122204798;999,709097413659;779,3062465764729
5000;1361,8702677822457;799,0530798253249;1008,974521889987;978,9790039626305;998,9146483910107;739,3994881689958
6000;1231,453750144334;777,1616091259921;986,5597638478374;937,2538871447853;992,0156150935244;690,9315732024011
7000;1138,515904448582;753,4752681612512;967,4269438026962;922,1142195624376;986,9965063786013;664,5950153016853
8000;1079,6789396786664;727,7994943049629;939,3973031616038;918,1426424359254;983,0106661654801;631,8767659800247
9000;1044,6151576918417;699,7066197658257;929,7179277241214;914,7580017041613;981,1424935130054;617,5790663452458
10000;1003,1541611215571;673,7454277874339;927,8898238917129;911,4982309738701;954,3621339544774;574,4441509945858
11000;967,6561890114931;651,5170335313378;925,3989464864687;908,4621221670537;929,0578821852799;555,9857551899169
12000;940,5074473037726;635,8182140020077;919,6046059171483;906,0812679170205;915,4177309331225;545,6723564457828
13000;919,2211751438346;614,2437249246624;903,0815771562411;902,9928762187209;910,697282736629;524,5944250771703
14000;909,995360859877;604,9512139217502;894,9587159902004;894,2238458100437;895,1577971398124;509,07991070685233
15000;893,6488643745447;594,2839896774992;893,0968826552428;890,148408447053;893,9902082695336;500,2081786222913
16000;884,1652367051263;576,8947468304583;893,0438349583955;887,7158399250915;893,9901981320313;494,4369693008459
17000;875,7108663696365;568,1075906971646;886,4662907215392;877,5745138081813;893,9901981320313;484,6226530434283
18000;861,1615114940307;545,6153948099565;882,5490860057113;876,2848942414129;892,2767280587256;472,8798935280566
19000;845,2144937664584;529,8983052271408;879,3725892430808;871,5150622853342;892,2767280587256;464,73249705109134
20000;837,8094970689942;510,47213517701863;879,0545788948159;869,0393605039502;885,0359469421651;455,6278395521232
21000;828,7908659481001;494,5854711835648;875,5486934333056;868,5021776108023;877,9783465128321;449,281660795737
22000;817,216658738012;483,0545374833139;875,349409588904;861,2555759700896;876,117548063692;446,68785118207666
23000;813,8372819562917;470,3306494365142;875,3064816422624;858,2460566608821;876,117548063692;440,05236142063256
24000;801,845765835627;461,5950894812416;875,2949298498861;854,6763844409479;876,117548063692;427,8271655583004
25000;795,6151933708294;451,1994186361761;875,2944689047042;854,1418573211879;874,4224552040106;424,1097393434295
26000;793,2509548831324;445,64576135752316;875,294425576415;853,2320565650577;863,5262502681803;416,3844847577842
