




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: griewangk
============================================================================
parameter;AGEO1;AGEO2;AGEO3;AGEO4;
meanNFE;100100;100100;100100;100100;
meanFX;2,9992103719947694;0,09122851076169443;4,4021526643916085;0,13032085315829264;
melhorFX;1,150216897878324;0,0019659232418319794;0,0019659232418319794;0,0019659232418319794;
piorFX;8,609720874743328;0,38882229506380017;76,6844316270986;0,33889968088406897;
medianFX;2,5343766884788783;0,09101312423717878;0,14711898170386928;0,12393074041271746;
sdFX;1,769245269150085;0,07159362079043065;16,900347188962485;0,08816396303603016;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO1;AGEO2;AGEO3;AGEO4;
5;267,4325134520939;267,4325134520939;267,4325134520939;267,4325134520939;
50;229,5030987396015;229,5030987396015;229,5030987396015;229,5030987396015;
100;220,78735258509784;220,78735258509784;220,78735258509784;220,78735258509784;
500;187,7327393806928;166,9719681053496;200,2238104046365;113,64426805917948;
1000;150,70033639243667;56,56964018411932;141,92913611040603;35,76147754028125;
1500;130,1235104678952;19,932315931809917;68,47156932709404;13,936004222959031;
2000;117,28897999129498;7,678313356908472;23,60310375528016;5,257925156410421;
2500;96,4075784945636;3,6213526528934143;9,720368684488413;2,8049088769812967;
3000;83,36912444171887;1,8073265340575535;4,028645815033586;1,6700307457291261;
3500;71,92117163046107;1,3074988612819767;2,225124064985167;1,2337590584193383;
4000;70,42859546942456;1,077721051350649;1,4792758636773637;1,0641076056082162;
4500;59,193280512039124;0,9493718262950804;1,1816408682272612;0,9555004835088485;
5000;52,11917029903559;0,7892178254813014;1,0662987558464616;0,7297029943793109;
6000;41,487838282022764;0,5234287118328881;0,8796701186984847;0,5007719505680133;
7000;33,565635603379036;0,3984458203715684;0,5966884848838792;0,42051699870526305;
8000;25,70746323427182;0,3983261449129971;0,5070380690275047;0,400103289128681;
9000;25,21688203777788;0,39502619689016955;0,47390611555391815;0,3902232414573764;
10000;20,265292028490528;0,39170427702698624;0,4569125883692683;0,3840943418331682;
12000;19,340769370600903;0,37302813230399984;0,41063095835189833;0,36270747015559185;
14000;13,058752556883157;0,32485863152840944;0,41063095835189833;0,3519135754061252;
16000;12,693430322901982;0,24769088230946917;0,4099461179699602;0,34071421177742706;
18000;9,942602458412685;0,24370977798952742;0,38723578160853556;0,30854237793934886;
20000;9,408678796721931;0,23696114592549938;0,38723578160853556;0,2991443980393151;
25000;8,457780098572819;0,19021169340978494;0,3652906112074769;0,2777913685029779;
30000;6,887921406254508;0,18037030186490727;0,34482855093580916;0,24198123717896342;
35000;5,52279531609059;0,1654592857614176;0,339113457469035;0,23072017042337262;
40000;4,8543689809732715;0,15771642845536826;0,25579891754383804;0,19436654119278146;
45000;4,642804915464941;0,15771642845536826;0,22937826691292568;0,17288711116730848;
50000;4,468653593712604;0,1495553511820657;0,2140560015780849;0,1674706602868054;
55000;4,442082515448454;0,12073298182620368;0,2030855534268865;0,15912470342860846;
60000;4,232545761135137;0,11267151525520303;0,18634422253778526;0,15409564103745182;
65000;4,1700242701144905;0,11049134828525686;0,18634422253778526;0,15409564103745182;
70000;4,045760175122369;0,11049134828525686;0,1742928408730861;0,14424649780451265;
75000;3,3874917728967073;0,10057549349338546;0,17040396443157696;0,1398668370726051;
80000;3,3874917728967073;0,10057549349338546;0,17040396443157696;0,13702622893003247;
85000;3,0169356404778522;0,09948633463211648;0,15738470336614524;0,1321708615811122;
90000;2,6868585797094404;0,09487118948248685;0,15738470336614524;0,1321708615811122;
95000;2,6868585797094404;0,09307681325129957;0,14478283083752352;0,12066458220482662;
