




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEO1var_1;AGEO1var_3;AGEO1var_5;AGEO1var_7;AGEO1var_9;AGEO1var_11;AGEO2var_1;AGEO2var_3;AGEO2var_5;AGEO2var_7;AGEO2var_9;AGEO2var_11;
meanNFE;100100;100100;100100;100100;100100;100100;100100;100100;100100;100100;100100;100100;
meanFX;13,385296009244197;1,731877560395607;0,5159540635752136;0,75569832241726;1,6921834058671101;1,6174214923452903;1,25828226765056;0,04366058239317002;0,007144731381022939;0,0042802566813655496;0,00707001987419202;0,00984392962952788;
FXatual;13,385296009244197;1,731877560395607;0,5159540635752136;0,75569832241726;1,6921834058671101;1,6174214923452903;1,25828226765056;0,04366058239317002;0,007144731381022939;0,0042802566813655496;0,00707001987419202;0,00984392962952788;
medianFX;12,468798280858984;1,1648199117366989;0,4916750300273174;0,5276758697777725;0,6503814224922627;0,8442981909762237;1,1830971225519658;0,04459480469863497;0,0058758748858219745;0,004638664140895754;0,004854474913819851;0,0072100140118877;
sdFX;6,701451348939512;2,7084722608670537;0,3674106559195502;1,4119128795174;3,7986176741703908;3,480249304296688;0,3296950901555402;0,02249643931880717;0,0044551521744931235;0,0016009265088252147;0,007280046555035002;0,008150056879546563;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO1var_1;AGEO1var_3;AGEO1var_5;AGEO1var_7;AGEO1var_9;AGEO1var_11;AGEO2var_1;AGEO2var_3;AGEO2var_5;AGEO2var_7;AGEO2var_9;AGEO2var_11;
5;271,6412984175502;271,6412984175502;271,6412984175502;271,6412984175502;271,6412984175502;271,6412984175502;271,6412984175502;271,6412984175502;271,6412984175502;271,6412984175502;271,6412984175502;271,6412984175502;
50;242,2373558088633;242,2373558088633;242,2373558088633;242,2373558088633;242,2373558088633;242,2373558088633;242,2373558088633;242,2373558088633;242,2373558088633;242,2373558088633;242,2373558088633;242,2373558088633;
100;238,02932919219057;238,02932919219057;238,02932919219057;238,02932919219057;238,02932919219057;238,02932919219057;238,02932919219057;238,02932919219057;238,02932919219057;238,02932919219057;238,02932919219057;238,02932919219057;
500;90,42015762940628;14,119075642471142;19,798288396962903;13,096657445284485;14,006122714461835;21,808946073412336;96,8802539273564;48,286314955853044;48,536484958031295;52,065983103826376;55,98281076638451;41,496976853143686;
1000;65,91322166894116;2,249317172740675;8,498295908663566;0,8845981360990632;1,9442066028815623;9,402461998956129;37,43937835331374;1,221647271556482;0,8823227225042706;1,8510108873157518;1,5870250818851908;1,4172754480669487;
1500;54,231194427945624;2,249317172740675;3,59720133481774;0,756042708532873;1,7250848286560627;8,033026327993584;20,9531247792183;0,7930043399329001;0,38569481711921283;0,4245609299558497;0,4092831876469859;0,4411489032658585;
2000;47,17933777093039;2,249317172740675;3,5837551096664715;0,75569832241726;1,6923778578589086;6,713467741774398;13,665055846446988;0,7159784989165402;0,25624191242358535;0,24072184989977313;0,287823023602531;0,2865170077518553;
2500;44,337365097075846;2,249317172740675;3,5837551096664715;0,75569832241726;1,6921834058671101;6,713467741774398;11,98678310078097;0,6229497740286979;0,25624191242358535;0,2324284637695082;0,2813850010032052;0,2812717755954093;
3000;41,858850644769845;2,249317172740675;3,5837551096664715;0,75569832241726;1,6921834058671101;5,0638100882821755;10,683330698515613;0,5206841174063654;0,2484199791926199;0,2324284637695082;0,2813850010032052;0,24983584619883933;
3500;41,11862964979727;2,249317172740675;3,5837551096664715;0,75569832241726;1,6921834058671101;4,903878976930488;9,500313016725844;0,4895798156272757;0,23059001983052171;0,2324284637695082;0,2659954329920059;0,24772293201921317;
4000;39,695395314168955;2,249317172740675;3,5837551096664715;0,75569832241726;1,6921834058671101;4,230696771683606;8,673396142006082;0,42488782328630575;0,193300173565867;0,22203905435459956;0,2658673623883685;0,24772293201921317;
4500;39,06586946848259;2,249317172740675;3,5837551096664715;0,75569832241726;1,6921834058671101;4,230696771683606;8,212201018047885;0,39523362014183616;0,1664344481846502;0,1600495710709607;0,26311000247511307;0,24772293201921317;
5000;39,04308986422848;2,249317172740675;3,5837551096664715;0,75569832241726;1,6921834058671101;4,230696771683606;7,215769619298996;0,3579873765769977;0,1664344481846502;0,13793209098798948;0,26133673379458117;0,2470331898797172;
6000;30,420029221107484;2,249317172740675;2,644653938800412;0,75569832241726;1,6921834058671101;4,230696771683606;5,971016556670734;0,31562231451334866;0,12840933532411763;0,13441041903281378;0,1980150201918077;0,2155753347014101;
7000;28,81309140701022;2,1150936543698866;2,644653938800412;0,75569832241726;1,6921834058671101;2,7767896126924816;4,792659363010916;0,2916475334468204;0,09937360933824392;0,13223035230401498;0,12965090752565628;0,17787816719057392;
8000;27,615319855610878;2,1150936543698866;2,644653938800412;0,75569832241726;1,6921834058671101;2,7767896126924816;4,41192811383324;0,28232979740538533;0,08343179318435669;0,10569070468661372;0,12906843799815107;0,17327990218408265;
9000;25,511514438994787;2,1150936543698866;2,644653938800412;0,75569832241726;1,6921834058671101;2,67791782518275;4,147001092085547;0,2602836645560827;0,06667065142176697;0,09442107773531584;0,12234644705229371;0,17327990218408265;
10000;24,601387998902737;2,1150936543698866;2,644653938800412;0,75569832241726;1,6921834058671101;2,67791782518275;3,781234219350816;0,2433019866910401;0,0664601988844377;0,08896830930162788;0,0990659539395565;0,17327990218408265;
12000;23,89300872712831;1,8138879618222177;2,644653938800412;0,75569832241726;1,6921834058671101;2,67791782518275;3,3024350455899714;0,17919214560342103;0,06089201770192347;0,05716717680253856;0,08727925059069801;0,12738849533432656;
14000;23,299395883086202;1,7496612173420272;2,3137072864955224;0,75569832241726;1,6921834058671101;2,67791782518275;3,189839120798391;0,161033332590573;0,053144339025375215;0,05308850738072512;0,08696685881297138;0,1104012522518123;
16000;23,042094075961177;1,7496612173420272;2,3137072864955224;0,75569832241726;1,6921834058671101;2,67791782518275;2,67951969695103;0,1575666394554846;0,03916347101521631;0,04301164866139741;0,06552722308884482;0,11029178710191904;
18000;22,532225614419012;1,731877560395607;2,3137072864955224;0,75569832241726;1,6921834058671101;2,67791782518275;2,267284088064556;0,1393917248269884;0,03916347101521631;0,03688778934311472;0,06236833300923794;0,09567534784235474;
20000;21,265286759653282;1,731877560395607;2,3137072864955224;0,75569832241726;1,6921834058671101;2,67791782518275;2,1546875379592896;0,1222569427244658;0,037468851527798906;0,03624715715701104;0,04696481216676881;0,09193211640841731;
25000;20,745701260582376;1,731877560395607;0,5159540635752136;0,75569832241726;1,6921834058671101;2,378525637297953;1,9469227523034192;0,11737352270336458;0,03680013771469541;0,026941832906788823;0,02987343059632353;0,06644313509955335;
30000;18,878900100471693;1,731877560395607;0,5159540635752136;0,75569832241726;1,6921834058671101;2,378525637297953;1,7801515837292436;0,10080759713881303;0,0269863759698763;0,020881033196707408;0,029464505860100895;0,06099857995674688;
35000;18,51758975699848;1,731877560395607;0,5159540635752136;0,75569832241726;1,6921834058671101;2,378525637297953;1,5942096968719446;0,08470685149388632;0,022159107782227353;0,019877172975496033;0,027092648932011302;0,04611155334410924;
40000;18,14028101685869;1,731877560395607;0,5159540635752136;0,75569832241726;1,6921834058671101;2,378525637297953;1,5635810189997936;0,08222638216491453;0,01873625946658558;0,01712458074522579;0,017243590015069324;0,03044564802895183;
45000;17,119223637124367;1,731877560395607;0,5159540635752136;0,75569832241726;1,6921834058671101;2,378525637297953;1,4716490656018986;0,07813408059035802;0,01864454909208415;0,016302186270282;0,016250434171517874;0,022536662992439775;
50000;17,062845937761946;1,731877560395607;0,5159540635752136;0,75569832241726;1,6921834058671101;2,378525637297953;1,4069912658854478;0,07739307470100615;0,016535245777493893;0,010496113000363945;0,015112011115023997;0,02248523925160453;
55000;16,99757146119526;1,731877560395607;0,5159540635752136;0,75569832241726;1,6921834058671101;2,378525637297953;1,3599332939269544;0,0653445053507891;0,015029270183990055;0,008417885201337731;0,012816144085268514;0,020472083845338614;
60000;16,98178023664942;1,731877560395607;0,5159540635752136;0,75569832241726;1,6921834058671101;2,378525637297953;1,3599332939269544;0,0653445053507891;0,015029270183990055;0,006422879152650196;0,012747459394760541;0,0160581388702906;
65000;15,752154394140822;1,731877560395607;0,5159540635752136;0,75569832241726;1,6921834058671101;2,378525637297953;1,355222962084404;0,06402551247618055;0,013773535882281493;0,006167424675048905;0,011834697229718586;0,015952304863696823;
70000;15,520649738700099;1,731877560395607;0,5159540635752136;0,75569832241726;1,6921834058671101;1,6174214923452903;1,3431189337297222;0,05822492317596411;0,011863102258259336;0,00531689266824014;0,00823154551841551;0,015952304863696823;
75000;15,116818512902823;1,731877560395607;0,5159540635752136;0,75569832241726;1,6921834058671101;1,6174214923452903;1,326713901389642;0,04951169564614544;0,011248857258228535;0,005181883146287565;0,008085529088499395;0,01580610118901723;
80000;14,854278120155;1,731877560395607;0,5159540635752136;0,75569832241726;1,6921834058671101;1,6174214923452903;1,3134803847463479;0,04951169564614544;0,01090620395300143;0,005105786135311822;0,008085529088499395;0,011818684152813208;
85000;14,530321685816736;1,731877560395607;0,5159540635752136;0,75569832241726;1,6921834058671101;1,6174214923452903;1,309696727527693;0,04862868684702596;0,009289195150964765;0,005105786135311822;0,007238920588397494;0,011818684152813208;
90000;13,386549375264527;1,731877560395607;0,5159540635752136;0,75569832241726;1,6921834058671101;1,6174214923452903;1,309696727527693;0,04707425967523705;0,007748249909618406;0,004728037776697455;0,00707001987419202;0,011759872079883849;
95000;13,385296009244197;1,731877560395607;0,5159540635752136;0,75569832241726;1,6921834058671101;1,6174214923452903;1,2648710559107064;0,046752662238787414;0,007666568449042388;0,004355382955395045;0,00707001987419202;0,011503004295125208;
100000;13,385296009244197;1,731877560395607;0,5159540635752136;0,75569832241726;1,6921834058671101;1,6174214923452903;1,25828226765056;0,04366058239317002;0,007144731381022939;0,0042802566813655496;0,00707001987419202;0,00984392962952788;











============================================================================
Função: Rastringin
============================================================================
parameter;AGEO1var_1;AGEO1var_3;AGEO1var_5;AGEO1var_7;AGEO1var_9;AGEO1var_11;AGEO2var_1;AGEO2var_3;AGEO2var_5;AGEO2var_7;AGEO2var_9;AGEO2var_11;
meanNFE;100160;100160;100160;100160;100160;100160;100160;100160;100160;100160;100160;100160;
meanFX;53,665167717359736;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;26,941413901316295;10,290381342058572;11,639928475961533;11,466065810321632;12,912041206259431;13,195933468431441;
FXatual;53,665167717359736;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;26,941413901316295;10,290381342058572;11,639928475961533;11,466065810321632;12,912041206259431;13,195933468431441;
medianFX;54,52369702688257;23,387563992521578;23,12676604520268;23,04431529781838;23,94089048781577;21,949716733246888;26,87292973810058;11,046125960795266;11,965032796881417;11,999190502977676;12,980736673533421;13,951353511774442;
sdFX;13,397618943816978;7,514898388318201;6,833596250668611;7,57356601890491;10,605949296309433;7,6759210912874005;4,412818442995815;2,686183924604624;3,1114264248203045;2,380115801723243;3,5300996448068696;3,536351886614015;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO1var_1;AGEO1var_3;AGEO1var_5;AGEO1var_7;AGEO1var_9;AGEO1var_11;AGEO2var_1;AGEO2var_3;AGEO2var_5;AGEO2var_7;AGEO2var_9;AGEO2var_11;
5;216,81550533976417;216,81550533976417;216,81550533976417;216,81550533976417;216,81550533976417;216,81550533976417;216,81550533976417;216,81550533976417;216,81550533976417;216,81550533976417;216,81550533976417;216,81550533976417;
50;208,2996950727637;208,2996950727637;208,2996950727637;208,2996950727637;208,2996950727637;208,2996950727637;208,2996950727637;208,2996950727637;208,2996950727637;208,2996950727637;208,2996950727637;208,2996950727637;
100;206,30535478911597;206,30535478911597;206,30535478911597;206,30535478911597;206,30535478911597;206,30535478911597;206,30535478911597;206,30535478911597;206,30535478911597;206,30535478911597;206,30535478911597;206,30535478911597;
500;137,90017023882467;136,96183637019033;133,45909545359947;132,87677263254176;134,62361450861079;132,80687580379845;171,83420305930215;175,63796552109935;174,45180634228603;172,1864205066925;173,7239922962406;167,2554800907546;
1000;124,84228718142566;43,66145679968427;42,496631886330796;48,40680583757798;45,854862244338115;49,210853072380665;113,17445970931418;84,05769343970387;83,63247894831096;87,34816566751176;81,24769418755758;88,61002724491236;
1500;105,18474508538337;28,95097050774527;28,021842114927555;29,296247148126316;28,965226868905223;30,53364483673797;95,11071446328533;49,923050682164224;44,088620663296346;49,54541862257215;44,75935908050236;46,65448924501628;
2000;99,44964040067592;24,487692323959532;24,42252536499284;23,72409002150747;24,5560621541132;23,03706667035144;79,78647305307553;27,576126664107978;25,200432737178254;27,26454450823006;26,33738767505635;26,329753605064354;
2500;92,18000495471618;24,487692323959532;24,26539166595753;23,397924177055195;24,29615840693343;22,64168826935541;69,29399953834032;25,769549570339368;23,589299190521366;24,445500821005847;24,919764266918;23,773053372242746;
3000;85,33380017341041;24,487692323959532;24,250119665085474;23,348338961924654;24,271895388242104;22,61270814439353;61,53951056035892;25,404144187497884;23,178865840633573;22,86217951593183;24,737226508994084;23,14818977554695;
3500;82,62423127568927;24,487692323959532;24,24988789741693;23,344116873730783;24,271081771165495;22,611700484920444;60,32377396325929;25,404144187497884;23,16330989251348;22,782241399432696;24,59517355271895;23,02982711946304;
4000;79,91048277990758;24,487692323959532;24,24980243927885;23,34402080022266;24,271063207373665;22,611518063378597;56,58689697788599;25,283906789927286;23,162542706680775;22,774337083461077;24,59333429793754;23,01839923566426;
4500;79,44167335877324;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;53,466899646274406;23,30168824095161;23,162533764887954;22,773731345809765;24,593104603420375;23,018073111405272;
5000;79,31230903085655;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;51,654389067427545;22,20694324204786;23,162533764887954;22,773650585797593;24,59306695443357;23,01804927105001;
6000;79,31230903085655;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;48,87836932041997;20,372081040847707;23,021500899709377;22,773581092009817;24,593064952796855;23,018033593001906;
7000;78,6548338190017;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;46,24663150199702;19,698466888564873;21,223146445154555;22,70906749739538;24,593063977817526;23,018031474727547;
8000;76,56785166238082;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;44,24471907500055;19,05029475815957;19,912545102943433;21,301910410447736;24,593063977817526;23,018031474727547;
9000;76,00765181283138;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;42,755526545275785;18,247435776839122;19,83112342101778;19,942785798072425;24,236238390174957;23,018031474727547;
10000;74,7680271674961;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;40,96640578801969;17,979032535570934;19,830849105126575;18,906942102257304;23,996063803913362;22,922910060093457;
12000;72,15908633609655;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;37,91543881719277;17,099196578334507;18,39699155653241;18,85081936296094;21,87537438108752;22,858145592188;
14000;70,26674505702745;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;36,565112811795984;16,226128465858256;17,38885231998403;18,769618354121235;21,722943212765596;20,464404859617286;
16000;69,93805918983439;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;35,21553655574815;15,81417847852962;17,208365230655602;18,20707335284811;21,676655682532733;19,022131536128086;
18000;68,99901650699671;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;34,119987593838474;15,432544696015503;16,600950433079102;17,22338036653756;21,6084840621077;19,021283281354304;
20000;66,79575992999756;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;32,670730596029365;14,944144791754441;16,586544511689567;17,124727860176815;21,201171088086536;19,021283281354304;
25000;61,58274963833282;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;31,507615858287654;14,04455562345365;16,190037562949463;16,517721298481117;18,63508833811501;18,490733078822664;
30000;61,343188040419754;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;30,907052671094412;13,441780945352981;15,686753993476797;15,837375651580752;17,990482678277317;17,871281402355706;
35000;59,34923685859723;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;30,657028795792666;12,931651465068216;14,837403669951884;15,531969771444317;17,153011149199315;17,74655106618724;
40000;59,09095462856306;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;30,657028795792666;12,786384179802505;14,409975834330487;14,752300382772676;15,976881372878804;16,337561127941488;
45000;57,4633004519753;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;29,564862675293394;12,454903462479816;14,372290772129311;14,16017343559062;15,450305372611389;16,337101219637045;
50000;57,4633004519753;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;28,98106487330639;12,098744008694657;14,079273749561981;13,694166578764433;15,073395742042504;15,806434899355487;
55000;57,4633004519753;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;28,893635632130273;12,049164669313306;13,870079385570488;13,023251491393342;15,042631967467191;15,09090848280277;
60000;57,4633004519753;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;28,672107975454637;12,024056349676338;13,870079385570488;12,9363479119268;14,976991277844167;14,946175480402934;
65000;57,4633004519753;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;28,619702348497913;11,262896133190157;13,801759222366302;12,86629012436313;14,940604860242473;14,537076826925743;
70000;57,4633004519753;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;28,237009588607787;11,08740295416081;13,059083384274045;12,643605170961257;14,844253651214887;14,403035095303872;
75000;57,23412152360277;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;28,09410924565699;11,016746068219467;13,008753373972233;12,457826232443484;14,001737659913596;14,348113950572447;
80000;56,98769053758875;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;27,76253874718884;10,619508567285212;12,44912915043861;12,201059256163717;13,546059751083485;14,292033740757677;
85000;56,464164305503644;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;27,610619722175457;10,483924096310137;12,276367172574085;12,167684395557387;13,3472346682529;13,849151683839795;
90000;55,19738928005774;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;27,353973834063883;10,36090375188832;12,27508149561337;11,697148804054533;13,243228747429777;13,564548900430156;
95000;55,19738928005774;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;27,353973834063883;10,295835504013864;11,79037451035104;11,593557958382712;13,243228747429777;13,564548165352697;
100000;53,665167717359736;24,487692323959532;24,24980243927885;23,34399558100747;24,271050891944856;22,611490522676615;26,941413901316295;10,290381342058572;11,640198044788118;11,466065810321632;12,912041206259431;13,196283674044546;











============================================================================
Função: Rosenbrock
============================================================================
parameter;AGEO1var_1;AGEO1var_3;AGEO1var_5;AGEO1var_7;AGEO1var_9;AGEO1var_11;AGEO2var_1;AGEO2var_3;AGEO2var_5;AGEO2var_7;AGEO2var_9;AGEO2var_11;
meanNFE;100022;100022;100022;100022;100022;100022;100022;100022;100022;100022;100022;100022;
meanFX;0,0003330168099999854;0,0003348060377083277;0,0003865176733333289;0,0004400755085416723;0,0003371180652083309;0,00039373937208334026;7,144446875001273E-05;4,283519291667303E-05;3,495259999999478E-05;5,297207312500683E-05;5,4134642291670717E-05;5,51426999999994E-05;
FXatual;0,0003330168099999854;0,0003348060377083277;0,0003865176733333289;0,0004400755085416723;0,0003371180652083309;0,00039373937208334026;7,144446875001273E-05;4,283519291667303E-05;3,495259999999478E-05;5,297207312500683E-05;5,4134642291670717E-05;5,51426999999994E-05;
medianFX;0,00024094000625016456;0,00026069550625001784;0,0003309561000000154;0,0002719296000001336;0,000185473600000026;0,0003056561000000696;3,942560000001465E-05;3,6040006250021395E-05;2,747550624997047E-05;4,262560000001891E-05;3,3108100000013474E-05;4,326600625001228E-05;
sdFX;0,00033440402673601136;0,0003940268687330441;0,00031750842018850263;0,0005285552462605509;0,0003932145243030193;0,00039109300997823093;7,538845642866349E-05;3,884952253134934E-05;3,832693792144411E-05;4,06407598122074E-05;5,9589074681730765E-05;5,121606630495538E-05;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO1var_1;AGEO1var_3;AGEO1var_5;AGEO1var_7;AGEO1var_9;AGEO1var_11;AGEO2var_1;AGEO2var_3;AGEO2var_5;AGEO2var_7;AGEO2var_9;AGEO2var_11;
5;66,51855470708709;66,51855470708709;66,51855470708709;66,51855470708709;66,51855470708709;66,51855470708709;66,51855470708709;66,51855470708709;66,51855470708709;66,51855470708709;66,51855470708709;66,51855470708709;
50;15,490564291053746;15,887317758987292;16,216150645473334;8,92025313321708;6,908560893527085;7,829107151666875;11,339507749943753;11,05696356348;14,806247535236873;6,600827535037291;15,002573930270207;13,17411448394396;
100;6,980261587230418;10,381764745277085;1,6185463960566684;1,45640675747;2,9529528013604174;2,246587356063541;2,6980927447306255;2,8511603224664586;3,1351125906866684;2,011588305830624;2,586356837620207;2,036091135200207;
500;0,6570974307504168;0,48020231999666657;0,6040985160393754;0,5289503306977085;1,3227058434604175;0,5907550143210423;0,5026465430204164;0,7829396364808335;0,9516830372110416;0,9619938356083336;0,909661863568125;1,3440254488320824;
1000;0,21730533554020826;0,26814405439395805;0,26907221722291663;0,23697835774687478;0,2619608452829166;0,27825596513395834;0,22115476114958346;0,46736113316687494;0,6216614060604168;0,5561792167266669;0,6948867684279167;0,5606108805445831;
1500;0,14346330142333322;0,16223961125729175;0,12216181699916631;0,16491448622687505;0,2403402350460417;0,10993313403979194;0,1626812712695835;0,17848361346375025;0,3939543286333335;0,28736909474000016;0,5457261017906252;0,18673963161416676;
2000;0,08076643770291683;0,05383574234645858;0,06544598577333334;0,04622689693395833;0,12676016874604165;0,06433356465645866;0,11734180785666673;0,07994461983416688;0,164404653913125;0,22381108930666682;0,40935780745000006;0,1778810383110418;
2500;0,0671328521725001;0,041185785593125274;0,0438076075166666;0,032119936464583346;0,045273288629166526;0,049528846492708375;0,09102285670958328;0,050444314107083596;0,0944366660533334;0,19543535743979173;0,28700477383937517;0,12990952668437514;
3000;0,05686513106937516;0,03921709320666691;0,027058364666458244;0,02592484051104162;0,041609062065624765;0,03034182517625006;0,05227056397291671;0,04696227103645848;0,08518484202666675;0,10803231387604166;0,13647981852604177;0,10406513044708347;
3500;0,03402255557979185;0,025600657442916685;0,02290652384666658;0,02502890258416661;0,04146935193562477;0,023932949909583414;0,05139202233625004;0,0234450312331251;0,08412834631312505;0,07449748597916662;0,10241971776291678;0,09985923539708352;
4000;0,027566051266458495;0,024411357159375043;0,02035892409687504;0,023807323930833256;0,030571822212499922;0,022047095356250157;0,03974519418312495;0,01480977105312506;0,08068283236000001;0,049190731776041635;0,06304032638270841;0,09904368713041686;
4500;0,026734527069791833;0,01721933882895836;0,018589546096875083;0,023560461430833256;0,02772775469583323;0,021305758592708487;0,02518705429958334;0,012182008636666708;0,06075157365708337;0,0465422942387499;0,05583119242937504;0,09186162968333349;
5000;0,0178582885964584;0,011150033559374994;0,016250174540416745;0,017027732311041544;0,021964724769999975;0,0164957425289584;0,022737694785833342;0,010107415943749936;0,05856911906333338;0,03030386334916661;0,05181090784604169;0,08977544158020846;
6000;0,01450028569979172;0,010036961149166659;0,009323002697916718;0,015303566257708219;0,016204591799375025;0,015279711309166758;0,01054796375916663;0,006384278616875013;0,012364349182708328;0,03019266389895828;0,017972999762083282;0,07286471070729172;
7000;0,012364219943333466;0,007929047555625006;0,008553515534375052;0,013779374497708184;0,015818610116041652;0,014904339575833375;0,007898892832708325;0,006185357703333355;0,011199055116250018;0,02744970166541661;0,010657320489166688;0,03554214515979171;
8000;0,011988812236458446;0,007484065769166632;0,008472947214375056;0,01106373463124984;0,014152096226250018;0,011821837025625104;0,005324925742291645;0,004428372136666681;0,007261701599583351;0,026357140491875073;0,006747192682708366;0,012421962846249983;
9000;0,009549988959791702;0,006792966966249967;0,008289048414375045;0,009288033044374826;0,01246076051291668;0,011566882978750073;0,004984791395416666;0,0027520247035416733;0,00715545597958335;0,024872059085625058;0,00590837389291667;0,012288076459583326;
10000;0,009549988959791702;0,005063631379791647;0,00745942076104173;0,009031066900833174;0,01111172759937501;0,011237586282083396;0,0040314230756249795;0,0023068181900000027;0,0031606310291666826;0,024620402768958414;0,005734845339791691;0,008594158546041657;
12000;0,003992725076458383;0,004947740366458315;0,005662733963958353;0,005894045173749849;0,007402722225416591;0,007815244643125049;0,0025231833824999952;0,0011379968733333306;0,0007753097195833562;0,005749380722500055;0,005734845339791691;0,005477502259583328;
14000;0,003151158796250045;0,004177679026875012;0,0047464256470833585;0,0043585209070832204;0,0049418374022916324;0,006769767812916668;0,001276557642500016;0,0010282332670833374;0,0004238196820833393;0,003497772799375096;0,0023555166933333363;0,004619559922708342;
16000;0,002777736929583377;0,0038051509700000336;0,0038865756735416827;0,0037977162464582007;0,00393180385874996;0,0061163335558333245;0,0011493225491666828;0,0010104837470833433;0,00032798043520833716;0,00255772988270838;0,0018283341495833373;0,0019328487458333534;
18000;0,002429446862708373;0,0028583562635416926;0,0034626357935416616;0,003414770093124906;0,0038918194054166303;0,0039341015454166855;0,0009525246325000134;0,0009899217104166861;0,0003222638318750039;0,0022083447666667202;0,001312632880000015;0,0018810516664583483;
20000;0,002429446862708373;0,002599589466666693;0,0029033669768749977;0,0026070363429166136;0,0023333707083333546;0,003422674531874988;0,0008694016991666796;0,0009867068770833545;0,00031130218562500344;0,0015575436435417223;0,001246340902916692;0,0012543958727083218;
25000;0,0014095007927083163;0,0025042192533333693;0,002438938477291688;0,0016960231893749936;0,0016954096814583459;0,0026661612852083333;0,0007678474293750167;0,0001460490137500101;0,00016684577520833507;0,0005054629733333827;0,0007195015693750111;0,0004585052333333318;
30000;0,0011191330262500104;0,0022031136733333513;0,0014464075500000503;0,0013053132797916465;0,0013829845614583267;0,0019504454991666669;0,0006156254895833412;0,00012107587979167348;0,0001642224285416707;0,0002367755264583607;0,0005977840391666897;0,0004456525364583296;
