




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: griewangk
============================================================================
parameter;AGEO1;AGEO2;AGEO1var;AGEO2var;AGEO1var_5;AGEO2var_5;
meanNFE;100100;100100;100110;100110;100110;100110;
meanFX;2,9713097316924393;0,09596817333955761;5,1683970876093035;0,23338249491190474;5,175303710035065;0,007750814305035903;
melhorFX;0,9969678984436345;0,0019659232418319794;2,3601845829333863;0,0030394187422043695;1,5761020388550007;0,0019659232418319794;
piorFX;7,75583797986682;0,3593428109798795;11,656268615729042;0,691344276456481;10,175799886964729;0,05514936496889811;
medianFX;2,456228215261938;0,08463299454257478;4,775133111883113;0,18949635042687452;5,271251010255866;0,005013669357658901;
sdFX;1,7346130620165956;0,07415131279299383;2,145539514829087;0,19396021146268305;2,141927690265835;0,009296939139231977;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO1;AGEO2;AGEO1var;AGEO2var;AGEO1var_5;AGEO2var_5;
5;280,6282502937959;280,6282502937959;280,6282502937959;280,6282502937959;280,6282502937959;280,6282502937959;
50;238,52912241007678;238,52912241007678;238,52912241007678;238,52912241007678;238,52912241007678;238,52912241007678;
100;234,97183133823722;234,97183133823722;234,97183133823722;234,97183133823722;234,97183133823722;234,97183133823722;
500;190,34815529689618;162,0485150865578;107,59304851733626;39,538001648330074;105,70137667741196;43,177656015157595;
1000;160,9080767436793;53,306107677583114;67,00650051913237;1,075692300917174;67,53605802994;1,113021477900294;
1500;117,94540103020395;16,496974018102733;42,85402731219574;0,4790823602523394;49,570723139455204;0,42221409044237546;
2000;107,89736228911866;6,716837455361738;34,48033883852203;0,3107199369793466;39,58312745972481;0,18956418009080317;
2500;89,4972213012399;3,2775449168549597;28,014872144036165;0,19853908405667192;31,47948413543928;0,1696577692885366;
3000;85,10510952074979;1,7870912517484352;23,22886555869954;0,17605816650541867;22,558307998446324;0,1696577692885366;
3500;65,66698552415825;1,3539941952974845;21,47900691755021;0,17605816650541867;21,752670004103358;0,1696577692885366;
4000;55,34666814473381;1,1215015851566905;17,70928565090619;0,17605816650541867;18,076223494341782;0,144753782746476;
4500;49,029993364793334;1,0029303759837025;17,56936442229408;0,17605816650541867;16,951886739734114;0,13181458254416895;
5000;46,78007470462538;0,7606752099335106;17,158986867452718;0,17605816650541867;16,359416742141207;0,1242242446295797;
6000;40,97304143362078;0,5056497271158562;14,644876252070645;0,17605816650541867;14,758247872815666;0,12271887574728746;
7000;31,411374574408402;0,39923841842476426;13,584815594967129;0,17605816650541867;14,371640437497014;0,11796351819905077;
8000;28,87873583414437;0,38008725979049846;13,372616335449175;0,17605816650541867;13,825819141432493;0,09394394320632171;
9000;28,393575174390442;0,34667746859928694;13,214415075568073;0,17605816650541867;12,465691300708972;0,08414390380212583;
10000;24,85634081498844;0,3384526017779285;12,870686313067072;0,17605816650541867;10,430855216808624;0,0789309120073301;
12000;17,13867643212108;0,33123029478904076;12,553211418395447;0,17605816650541867;10,196750418632291;0,05852543748787181;
14000;14,02664330887291;0,28912859567090643;12,19912112504089;0,17605816650541867;9,066371547783056;0,05536799524444985;
16000;11,363564752948843;0,26917147805506914;12,112791867461816;0,17605816650541867;8,053318886175475;0,04749008125212545;
18000;9,917973074529748;0,23495395624201426;11,415189989180636;0,17605816650541867;8,053318886175475;0,04493236941453688;
20000;8,628587037729092;0,19947066510189992;10,429766227633394;0,17605816650541867;7,402034581600017;0,038920185494868975;
25000;6,128957591799528;0,16645655047406244;9,243880175165433;0,17605816650541867;6,457397960306631;0,030637277187182232;
30000;5,489788459488227;0,15181098284489086;9,073096126841262;0,17605816650541867;6,3042213874824675;0,02211867541798307;
35000;4,523763120398295;0,1433645794384849;8,169966160806938;0,17605816650541867;5,950813204980223;0,01728130472145656;
40000;4,373648995605773;0,1433645794384849;7,671810190999445;0,17605816650541867;5,627385448582583;0,008196882210029677;
45000;3,9933819484215958;0,1433645794384849;7,381014918141862;0,17605816650541867;5,574971550102214;0,008196882210029677;
50000;3,4691718404397163;0,1256535918522173;7,210062522822563;0,17605816650541867;5,574971550102214;0,006039010461865613;
55000;3,4542407915963462;0,12386461235910368;7,210062522822563;0,17605816650541867;5,465791491315142;0,005756599274918561;
60000;3,3701550133771057;0,12386461235910368;6,482748465372764;0,17605816650541867;5,465791491315142;0,005288179146921257;
65000;2,799297295972595;0,11775983653323507;5,975170135628792;0,17605816650541867;5,465791491315142;0,00523698983202453;
70000;2,747746721513942;0,09988879476651469;5,685592611126639;0,17605816650541867;5,465791491315142;0,005142862508968726;
75000;2,604124252815291;0,09772332042266935;5,454224613657199;0,17605816650541867;5,465791491315142;0,005142862508968726;
80000;2,604124252815291;0,09772332042266935;5,262249172509019;0,17605816650541867;5,354439362327746;0,005142862508968726;
85000;2,604124252815291;0,08789797177655256;5,013590281189902;0,17605816650541867;5,288768959309383;0,005142862508968726;
90000;2,4598731082911005;0,08501696262793673;4,801563972135087;0,17605816650541867;5,269053187506184;0,005046551876207506;
95000;2,4598731082911005;0,08501696262793673;4,801563972135087;0,17605816650541867;5,269053187506184;0,005046551876207506;
100000;2,421725482299486;0,08332633990981209;4,7643257743111835;0,17605816650541867;5,269053187506184;0,004976577217964018;

==========================================================
===> Melhores f(x) para cada execução:
execucao;AGEO1;AGEO2;AGEO1var;AGEO2var;AGEO1var_5;AGEO2var_5;
1;2,0243148886640245;0,20220716723106502;4,827994832387061;0,04136544667150921;4,409526745990964;0,004669983822538359;
2;1,5012199160110962;0,15136556762989084;7,225461804221087;0,10203185182614005;2,6081138417062117;0,0035769572256557636;
3;1,8762241398772943;0,05000335750136253;2,773940487471999;0,2919549232178107;8,401148974222851;0,01333754677482879;
4;1,7294318390219543;0,04357932168026146;3,704938141003752;0,20649922909859197;5,271251010255866;0,003330638052115087;
5;2,920940164436078;0,16604392405249402;4,3355845863964255;0,5323836035220476;2,4283130981336702;0,0025040361985627646;
6;2,339769779084643;0,06799319482538291;2,826851229156056;0,18949635042687452;3,5127371181156413;0,023155640351468;
7;1,885765581975468;0,09921596050468273;2,8001162926679593;0,2722731336942642;7,2539248840812975;0,005111281336194429;
