tau;GEO;GEOvar
0.25;91,1917471333434;80,0983082905544;
0.5;42,6853975148895;50,2792036517586;
0.75;21,8598862806388;29,373890262951;
1;19,101810186246;16,2493288560162;
1.25;20,5147968354542;10,4259087521149;
1.5;21,8960699495001;8,56299041819025;
1.75;21,9647849272731;8,41571586208945;
2;20,5831276880679;10,5056379931836;
2.25;19,2823095037139;11,6812427423599;
2.5;19,6035271103698;14,0655251944767;
2.75;20,7094050917809;17,8976787728123;
3;19,1434505048015;17,8110230779518;
3.25;20,283108062388;16,3889349762864;
3.5;20,6479558931306;20,4749993847789;
3.75;20,7441424619285;19,151836459483;
4;19,7562651506943;19,1776087109575;
4.25;22,2068662916066;20,7370935943611;
4.5;20,4052765166178;19,4715048390576;
4.75;19,9149421117759;19,6715307729865;
5;20,5525949235932;19,4760039488242;
5.25;20,2582678304957;19,4326704603409;
5.5;19,2013108689395;19,6922210768866;
5.75;18,7408957456719;19,9524216015367;
6;20,8626983469126;19,8025369007116;
6.25;18,6581084278537;18,5209003941365;
6.5;19,284829162238;19,7317282358825;
6.75;18,4605141568082;19,4475104056142;
7;18,5552680853416;20,7070129439257;
