tau;GEO;GEOvar
0.25;91,1917471333434;80,0983082905544;
0.5;42,6853975148895;50,2792036517586;
0.75;21,8598862806388;29,373890262951;
1;19,101810186246;16,2493288560162;
1.25;20,5147968354542;10,4259087521149;
1.5;21,8960699495001;8,56299041819025;
1.75;21,9647849272731;8,41571586208945;
2;20,5831276880679;10,5056379931836;
2.25;19,2823095037139;11,6812427423599;
2.5;19,6035271103698;14,0655251944767;
2.75;20,7094050917809;17,8976787728123;
3;19,1434505048015;17,8110230779518;
3.25;20,283108062388;16,3889349762864;
3.5;20,6479558931306;20,4749993847789;
3.75;20,7441424619285;19,151836459483;
4;19,7562651506943;19,1776087109575;
