1...2...3...4...5...6...7...8...9...10...11...12...13...14...15...16...17...18...19...20...21...22...23...24...25...26...27...28...29...30...============================================================================
Função: Griewangk
============================================================================
==========================================================
parameter;AGEO2real2_igor;AGEO2_REAL2_igor;
meanNFE;100036;100068;
meanFX;0;0,004502079627272989;
sdFX;0;0,009361444614224867;

==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2real2_igor;AGEO2_REAL2_igor;
500;4827,283143317764;275,50543114566386;
1000;0,8349662809406816;2997,948006462358;
1500;0,20323165865548712;22077,37582045943;
2000;0,06185363047350938;89500,82898986636;
2500;0,04791266882002055;65,82922688420238;
3000;0,03797577235870476;194530,4321687889;
3500;0,03125887572959765;16,097898321306456;
4000;0,02701850037687982;13,489138456315578;
4500;0,024300387662494333;0,4352442653190562;
5000;0,014733775745995204;0,28590515329483485;
6000;0,00993008785165935;0,10911676897435976;
7000;0,0029314187019547503;0,06815897695318748;
8000;0,0012174966465006746;0,060774662385767834;
9000;0,0012172492869620966;0,06024443637609393;
10000;0,0012172492869620966;0,058929809053043014;
12000;0;0,05529197290843736;
14000;0;0,04871915582215971;
16000;0;0,04560426231635302;
18000;0;0,0428184441415385;
20000;0;0,041993258857240354;
25000;0;0,03885831382435336;
30000;0;0,03439486274885616;
35000;0;0,03065984994109184;
40000;0;0,02476835541098397;
45000;0;0,018683601260686397;
50000;0;0,015649678016750705;
55000;0;0,015080109965329469;
60000;0;0,012656021915797152;
65000;0;0,010056429590777531;
70000;0;0,009798433395008577;
75000;0;0,009552505493227855;
80000;0;0,008402807239165906;
85000;0;0,00567956776868633;
90000;0;0,005076843363564798;
95000;0;0,004502131627216129;
100000;0;0,004502079627272989;

==========================================================
===> Melhores f(x) para cada execução:
execucao;AGEO2real2_igor;AGEO2_REAL2_igor;
1;0;0;
2;0;0;
3;0;0;
4;0;0;
5;0;0;
6;0;0;
7;0;0,0098576238919722;
8;0;0,03892165543080772;
9;0;0,007396056696661102;
10;0;0;
11;0;0;
12;0;6,5503158452884236E-15;
13;0;0;
14;0;0;
15;0;0,012316246691304156;
16;0;0;
17;0;0;
18;0;0,02712560019716226;
19;0;1,2756743851594088E-05;
20;0;0;
21;0;1,1102230246251565E-16;
22;0;0;
23;0;0;
24;0;0;
25;0;3,3306690738754696E-16;
26;0;0;
27;0;0,012316253737254756;
28;0;0,01971976397140629;
29;0;0,007396431457762587;
30;0;0;

1...2...3...4...5...6...7...8...9...10...11...12...13...14...15...16...17...18...19...20...21...22...23...24...25...26...27...28...29...30...============================================================================
Função: Rastringin
============================================================================
==========================================================
parameter;AGEO2real2_igor;AGEO2_REAL2_igor;
meanNFE;100143;100016;
meanFX;0;8,289665250534503E-15;
sdFX;0;4,966209570342856E-15;

==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2real2_igor;AGEO2_REAL2_igor;
500;143,22993343061887;219,65107491943567;
1000;42,68293162838156;216,9519824677109;
1500;7,897374855924701;213,64351662987;
2000;2,845454195738052;196,961333965348;
2500;1,2166873953539967;204,3605026102961;
3000;0,42578316795943205;154,88183235672116;
3500;0,1548181505489495;139,9835097423314;
4000;0,1019070780750378;110,6182929927987;
4500;0,02481016970866534;86,41538895736112;
5000;1,7824107753009837E-05;62,47941039666684;
6000;8,478596669192483E-09;39,883670258084116;
7000;3,2448118266377907E-14;21,693170722845274;
8000;0;19,5333424579514;
9000;0;6,925768563342253;
10000;0;3,184445408531528;
12000;0;1,7832333040367774;
14000;0;1,2129097176073882;
16000;0;0,6413224738226203;
18000;0;0,5132541623784078;
20000;0;0,43526946227606444;
25000;0;0,20255171481830203;
30000;0;0,09834031734342924;
35000;0;0,042587412237472456;
40000;0;0,03277933238508553;
45000;0;0,0005301484754383524;
50000;0;1,7763568394002505E-14;
55000;0;1,3263464400855204E-14;
60000;0;1,2316074086508404E-14;
65000;0;1,1842378929335004E-14;
70000;0;1,0894988614988204E-14;
75000;0;9,473903143468002E-15;
80000;0;9,000207986294602E-15;
85000;0;8,763360407707903E-15;
90000;0;8,763360407707903E-15;
95000;0;8,526512829121202E-15;
100000;0;8,289665250534503E-15;

==========================================================
===> Melhores f(x) para cada execução:
execucao;AGEO2real2_igor;AGEO2_REAL2_igor;
1;0;1,4210854715202004E-14;
2;0;7,105427357601002E-15;
3;0;1,4210854715202004E-14;
4;0;1,4210854715202004E-14;
5;0;0;
6;0;0;
7;0;7,105427357601002E-15;
8;0;0;
9;0;7,105427357601002E-15;
10;0;1,4210854715202004E-14;
11;0;7,105427357601002E-15;
12;0;1,4210854715202004E-14;
13;0;7,105427357601002E-15;
14;0;7,105427357601002E-15;
15;0;7,105427357601002E-15;
16;0;7,105427357601002E-15;
17;0;1,4210854715202004E-14;
18;0;0;
19;0;1,4210854715202004E-14;
20;0;7,105427357601002E-15;
21;0;0;
22;0;7,105427357601002E-15;
23;0;7,105427357601002E-15;
24;0;1,4210854715202004E-14;
25;0;7,105427357601002E-15;
26;0;1,4210854715202004E-14;
27;0;7,105427357601002E-15;
28;0;1,4210854715202004E-14;
29;0;7,105427357601002E-15;
30;0;7,105427357601002E-15;



Execution Time: 10104 ms
