




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Beale
============================================================================
parameter;AGEO1;AGEO2;AGEO3;AGEO4;
meanNFE;100022;100022;100022;100022;
meanFX;0,0002492388882316549;0,03376345555444747;0,0011341022857494934;0,03692947743119679;
FXatual;0,0002492388882316549;0,03376345555444747;0,0011341022857494934;0,03692947743119679;
medianFX;0,00018646651367325949;0,00013357738715037595;0,0007948441297897668;8,919404970794512E-05;
sdFX;0,00027233504509538485;0,14531854218534748;0,0011972824273961287;0,1451630647336403;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO1;AGEO2;AGEO3;AGEO4;
5;499,99963408167804;499,99963408167804;499,99963408167804;499,99963408167804;
50;8,721990590349815;10,378711878143601;10,363770418354799;8,418499728021203;
100;5,414030170033147;2,4804779811006132;5,906971085583215;4,249765527497552;
500;1,0180612375649625;0,8021647368777198;1,0591611903524016;0,8072021823363134;
1000;0,4292829959648037;0,6517016170207522;0,5019198246905008;0,7380519047373212;
1500;0,2765705417879773;0,4194072977711838;0,40085623760348943;0,6728107973018616;
2000;0,20369007554961344;0,3172897108070527;0,2893259573588957;0,5490231916882535;
2500;0,17931700369724057;0,2989832033568608;0,20271111555911497;0,521419474756786;
3000;0,16844494946502359;0,26870072574801285;0,15142020577530815;0,404527032051063;
3500;0,15189205799479072;0,21736899588637337;0,113674536484124;0,3742173275637601;
4000;0,12226431764349761;0,2087747674035069;0,10526427330088657;0,35677574395748596;
4500;0,08545891946959097;0,1616903064896447;0,08574708702107428;0,3213682135468233;
5000;0,07337652835263714;0,14531073241985729;0,07172779251338084;0,27163919109563006;
6000;0,05053232938975395;0,12024276425444055;0,0389071801268053;0,20660949209501656;
7000;0,038636348472468884;0,1045202944940267;0,033186226028088656;0,18824168022553497;
8000;0,025623462940449447;0,10451540131705986;0,031955984865238284;0,18463532279064132;
9000;0,022925103786426034;0,08383386357851566;0,030574030299817895;0,16589402859085364;
10000;0,020036969787405344;0,067128889522437;0,026565476235866442;0,1317398955186222;
12000;0,008397408047511799;0,059033924839815476;0,019546404085209874;0,09377823846199337;
14000;0,00639722504565206;0,05572589318920814;0,010771676941020792;0,08986344804956617;
16000;0,004988059200153801;0,04978440226761384;0,010517777379300852;0,07388928906864492;
18000;0,003966893341560457;0,04855883395163226;0,007242661613032171;0,04111031906453365;
20000;0,0037223067830357446;0,04256431699894009;0,007054865093976441;0,040991216468189914;
25000;0,0030733006791010347;0,035994550980577425;0,005456032062940236;0,04042956953768698;
30000;0,002814711641522381;0,035108134801367444;0,00460583587469377;0,03943699399899445;
35000;0,002019092455336284;0,03454019551947162;0,004129147791898822;0,0391136021145885;
40000;0,001293644044905304;0,03429839104463568;0,0038315336735833226;0,03894652397718231;
45000;0,0012634995981110285;0,03427432807330473;0,003271616980222445;0,03855406131144746;
50000;0,0010752303143628653;0,03418291109229706;0,0030776028940677764;0,03776761206608284;
55000;0,0009436309956288207;0,03402932313476054;0,002420163766669218;0,037566933931917464;
60000;0,0009359911266638707;0,03402932313476054;0,002420163766669218;0,03756211437923205;
65000;0,0007617788303503896;0,03384575932404449;0,0020134009309302537;0,037562091908708184;
70000;0,0004868258243126046;0,03384371511962711;0,0014647553871686815;0,037133906915466156;
75000;0,0004631490202553116;0,033838213497179574;0,0013004967033064419;0,037133906915466156;
80000;0,00034366682615096357;0,033838213497179574;0,0012644772656350179;0,03710628148488844;
85000;0,0003344835737689364;0,033829827902704265;0,0012556975563029736;0,03710213371272515;
90000;0,0003129140631094925;0,033769898110759464;0,0011341022857494934;0,03710213371272515;
95000;0,0002945829843792662;0,033769898110759464;0,0011341022857494934;0,03708803770457517;
100000;0,0002492388882316549;0,03376345555444747;0,0011341022857494934;0,03692947743119679;



Execution Time: 37090 ms
