




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: griewangk
============================================================================
parameter;GEOreal2_P_DS;GEOreal2_P_DS_UNI;
meanNFE;100091;100091;
meanFX;0,03774501068805002;0,027083868262983132;
melhorFX;2,220446049250313E-16;2,120525977034049E-14;
piorFX;0,0884897969139401;0,08115014693314015;
medianFX;0,03445750980648099;0,02215124201483154;
sdFX;0,023471829249502935;0,021568392069099464;
==========================================================
===> Melhores f(x) para cada execução:
execucao;GEOreal2_P_DS;GEOreal2_P_DS_UNI;
1;0,029481123964807288;0,031942367499028346;
2;0,019677734558037674;0,05162009388966604;
3;0,027051681251646698;0,06151407816956522;
4;0,007396040334115117;0,014772407722841052;
5;0,08113543868075812;0,01722629385972918;
6;0,022126733432877632;0,014772415723403376;
7;0,027017420107750434;0,031942367495417345;
8;0,03445750980648099;5,400636604591114E-10;
9;0,017226293859713526;0,012320988875126226;
10;0,06144540763365669;0,044287789984805315;
11;0,03200606949871376;0,011990997594367059;
12;0,03685748823757873;0,027017420107776857;
13;0,029481123964807066;0,02459043745179912;
14;0,07865707168899305;1,0623565360745602E-09;
15;0,04421180818532755;0,012320988875132555;
16;1,7763568394002505E-15;0,07622522327565384;
17;0,03938245756335512;0,014772407722845604;
18;0,012316072519261811;0,02215124201483154;
19;0,012320988875106909;0,08115014693314015;
20;0,04428778998478344;0,03935306837557384;
21;0,05164453073111952;0,009857284607849626;
22;0,0417676839463732;2,4980018054066022E-14;
23;0,022141438644517786;0,012316072519272137;
24;0,04916865530791703;0,07378110048576603;
25;0,05165190077846171;0,051644530731159266;
26;2,220446049250313E-16;2,120525977034049E-14;
27;0,019697356010341505;0,014772407722862702;
28;0,03440115436784008;0,03936284251654554;
29;0,05652787651429014;0,03194236749534096;
30;0,0466583663338882;0,06882182494431566;
31;0,08113548338953303;0,007396040334134213;
32;0,027017420107750656;0,01477977675483877;
33;0,029498241701363392;0,014779776938832367;
34;0,07129541923087745;0,02214143864703655;
35;0,02709339608730632;0,029498241701388928;
36;0,08360645694997793;0,03693101741189775;
37;0,02951780451814079;0,044263287169612586;
38;0,046741674868395755;0,014772407722849712;
39;8,881784197001252E-16;0,032013427657100246;
40;0,03936284251653566;0,051634756056631925;
41;0,0884897969139401;0,054154862231025724;
42;0,06390911106478592;0,012320988875146766;
43;0,06879979060362229;0,012316072519331867;
44;0,045541396386094;4,118927421359331E-14;
45;7,771561172376096E-16;0,03199872245316526;
46;0,036913844293555376;0,027017420107765977;
47;0,01722629385971297;0,014772407722842607;
48;0,06642430329781857;2,6756374893466273E-14;
49;0,017241020915283345;2,919886554764162E-14;
50;0,017241020915283345;0,04093360064917684;











============================================================================
Função: rastringin
============================================================================
parameter;GEOreal2_P_DS;GEOreal2_P_DS_UNI;
meanNFE;100098;100098;
meanFX;1,5631940186722204E-15;2,029310053330846E-13;
melhorFX;0;8,526512829121202E-14;
piorFX;7,105427357601002E-15;3,410605131648481E-13;
medianFX;0;1,9895196601282805E-13;
sdFX;2,973279987347726E-15;6,014029000632299E-14;
==========================================================
===> Melhores f(x) para cada execução:
execucao;GEOreal2_P_DS;GEOreal2_P_DS_UNI;
1;0;2,5579538487363607E-13;
2;0;2,1316282072803006E-13;
3;0;2,1316282072803006E-13;
4;0;2,0605739337042905E-13;
5;0;2,2026824808563106E-13;
6;7,105427357601002E-15;1,1368683772161603E-13;
7;7,105427357601002E-15;1,8474111129762605E-13;
8;7,105427357601002E-15;1,9895196601282805E-13;
9;0;1,8474111129762605E-13;
10;0;3,410605131648481E-13;
11;0;2,2737367544323206E-13;
12;0;3,197442310920451E-13;
13;0;1,1368683772161603E-13;
14;0;2,2737367544323206E-13;
15;7,105427357601002E-15;8,526512829121202E-14;
16;0;2,1316282072803006E-13;
17;0;2,2737367544323206E-13;
18;0;3,410605131648481E-13;
19;0;3,197442310920451E-13;
20;0;2,7711166694643907E-13;
21;0;1,2079226507921703E-13;
22;7,105427357601002E-15;1,9184653865522705E-13;
23;0;1,9895196601282805E-13;
24;0;1,9895196601282805E-13;
25;0;2,8421709430404007E-13;
26;0;1,5631940186722204E-13;
27;7,105427357601002E-15;2,2026824808563106E-13;
28;0;1,9184653865522705E-13;
29;0;2,6290081223123707E-13;
30;0;1,5631940186722204E-13;
31;7,105427357601002E-15;2,7000623958883807E-13;
32;0;1,9184653865522705E-13;
33;0;1,8474111129762605E-13;
34;0;1,5631940186722204E-13;
35;7,105427357601002E-15;1,3500311979441904E-13;
36;0;2,2026824808563106E-13;
37;0;2,4158453015843406E-13;
38;0;1,7763568394002505E-13;
39;0;2,3447910280083306E-13;
40;0;1,6342482922482304E-13;
41;7,105427357601002E-15;1,4921397450962104E-13;
42;0;1,0658141036401503E-13;
43;0;2,2737367544323206E-13;
44;0;1,9895196601282805E-13;
45;0;2,4158453015843406E-13;
46;7,105427357601002E-15;1,9184653865522705E-13;
47;0;1,9895196601282805E-13;
48;0;1,0658141036401503E-13;
49;0;1,2079226507921703E-13;
50;7,105427357601002E-15;1,6342482922482304E-13;











============================================================================
Função: rosenbrock
============================================================================
parameter;GEOreal2_P_DS;GEOreal2_P_DS_UNI;
meanNFE;100001;100001;
meanFX;3,4927571835897256E-07;0,00028639915338985535;
melhorFX;2,2721906984670407E-11;4,4165061506473496E-09;
piorFX;1,5527098016722043E-05;0,00260650065768121;
medianFX;2,488559162330904E-09;5,956329605582187E-05;
sdFX;2,196277775811721E-06;0,0004745140456975944;
==========================================================
===> Melhores f(x) para cada execução:
execucao;GEOreal2_P_DS;GEOreal2_P_DS_UNI;
1;2,488559162330904E-09;4,4165061506473496E-09;
2;1,5527098016722043E-05;0,00039897005180569944;
3;3,764835473423287E-09;8,260592345711192E-07;
4;3,6333655738524915E-08;3,717871781777697E-05;
5;6,583810550340086E-10;4,69379078026482E-05;
6;4,344737977331883E-10;0,00025035197126658024;
7;2,974144831747103E-09;0,0003069632854457708;
8;3,2818989859718786E-10;2,2182918318786384E-06;
9;6,13931397813993E-07;0,00012374122525280886;
10;2,6696470023052317E-09;7,564402551278027E-08;
11;1,592409941189406E-09;0,0003283507756781242;
12;1,5141078854035002E-09;0,0007419071255114817;
13;2,2721906984670407E-11;1,4811331116682048E-07;
14;9,156642226800737E-10;3,004801480408801E-06;
15;7,996040622948605E-10;0,00040661074726988026;
16;2,9795527834958245E-10;7,23277155807792E-09;
17;5,2261266468480835E-09;0,00260650065768121;
18;1,4917178885230382E-09;3,0510411898221095E-05;
19;4,339725316447124E-09;2,6985711580263746E-06;
20;1,7086526802717593E-08;0,0005050523278147006;
21;9,074276435419176E-10;0,00015954862774924188;
22;2,794817525236063E-09;8,056916571179384E-09;
23;1,2327202014893638E-09;7,49463837350307E-08;
24;2,324888815045182E-10;0,0010525066766186946;
25;4,064361334776222E-09;6,321058372075021E-08;
26;3,692039068810245E-09;0,0002119748759558735;
27;1,2092247715810533E-08;0,0001886081369498261;
28;1,4081703176997882E-09;0,0003234725361533288;
29;3,0306612051455832E-09;0,0010647649891569527;
30;7,020376547485322E-09;5,956329605582187E-05;
31;2,8062466255819386E-09;1,9046550326536815E-06;
32;2,7458969611226296E-09;0,000744999514575399;
33;2,9081276610519155E-09;3,0019551521074837E-05;
34;5,065236983983192E-09;0,0004976453654545232;
35;9,802574740746304E-07;4,604522975772615E-05;
36;1,632917892419485E-07;0,0006123437303842921;
37;8,004330744938579E-11;0,0005964066132335564;
38;5,32885966392227E-10;1,840758352346447E-05;
39;6,826119384804013E-10;4,1648629116450766E-05;
40;1,6513895659857053E-09;5,5884930574568545E-06;
41;1,8186111523644054E-09;5,067997119293713E-09;
42;2,1484323721148215E-09;8,370945021555056E-09;
43;8,009598240318456E-10;0,0015890138002020136;
44;2,588229112365718E-09;2,819613960050615E-08;
45;1,1381620786532911E-09;5,014778856146962E-05;
46;2,331527203776539E-09;0,0001898627900618504;
47;2,2746834386937947E-08;0,00034358480642665844;
48;2,4009983761849277E-09;0,00040177183716789245;
49;1,0196129417221092E-09;4,862298317090731E-08;
50;6,32767628518437E-09;0,00029783333526342835;











============================================================================
Função: schwefel
============================================================================
parameter;GEOreal2_P_DS;GEOreal2_P_DS_UNI;
meanNFE;100091;100091;
meanFX;0,00012727566263492918;0,00012727568475384032;
melhorFX;0,00012727566263492918;0,0001272756717298762;
piorFX;0,00012727566263492918;0,00012727570629067486;
medianFX;0,00012727566263492918;0,00012727568264381262;
sdFX;0;6,876214006487193E-12;
==========================================================
===> Melhores f(x) para cada execução:
execucao;GEOreal2_P_DS;GEOreal2_P_DS_UNI;
1;0,00012727566263492918;0,00012727569537673844;
2;0,00012727566263492918;0,0001272756780963391;
3;0,00012727566263492918;0,0001272756799153285;
4;0,00012727566263492918;0,00012727568719128612;
5;0,00012727566263492918;0,00012727568719128612;
6;0,00012727566263492918;0,00012727568810078083;
7;0,00012727566263492918;0,00012727568991977023;
8;0,00012727566263492918;0,000127275675367855;
9;0,00012727566263492918;0,00012727568264381262;
10;0,00012727566263492918;0,0001272756771868444;
11;0,00012727566263492918;0,0001272756790058338;
12;0,00012727566263492918;0,00012727568719128612;
13;0,00012727566263492918;0,00012727568264381262;
14;0,00012727566263492918;0,00012727568264381262;
15;0,00012727566263492918;0,00012727569264825433;
16;0,00012727566263492918;0,00012727570174320135;
17;0,00012727566263492918;0,00012727568537229672;
18;0,00012727566263492918;0,00012727568173431791;
19;0,00012727566263492918;0,00012727568991977023;
20;0,00012727566263492918;0,0001272756717298762;
21;0,00012727566263492918;0,0001272756799153285;
22;0,00012727566263492918;0,00012727568173431791;
23;0,00012727566263492918;0,0001272756790058338;
24;0,00012727566263492918;0,00012727568991977023;
25;0,00012727566263492918;0,00012727569082926493;
26;0,00012727566263492918;0,0001272756744583603;
27;0,00012727566263492918;0,00012727568264381262;
28;0,00012727566263492918;0,00012727570629067486;
29;0,00012727566263492918;0,00012727569628623314;
30;0,00012727566263492918;0,00012727568173431791;
31;0,00012727566263492918;0,00012727568173431791;
32;0,00012727566263492918;0,00012727568628179142;
33;0,00012727566263492918;0,0001272756808248232;
34;0,00012727566263492918;0,0001272756799153285;
35;0,00012727566263492918;0,0001272756790058338;
36;0,00012727566263492918;0,00012727568537229672;
37;0,00012727566263492918;0,00012727569446724374;
38;0,00012727566263492918;0,00012727568264381262;
39;0,00012727566263492918;0,00012727568901027553;
40;0,00012727566263492918;0,00012727568173431791;
41;0,00012727566263492918;0,00012727568355330732;
42;0,00012727566263492918;0,0001272756780963391;
43;0,00012727566263492918;0,0001272756799153285;
44;0,00012727566263492918;0,0001272756780963391;
45;0,00012727566263492918;0,00012727568446280202;
46;0,00012727566263492918;0,00012727568719128612;
47;0,00012727566263492918;0,00012727569264825433;
48;0,00012727566263492918;0,00012727569264825433;
49;0,00012727566263492918;0,00012727568173431791;
50;0,00012727566263492918;0,0001272756799153285;











============================================================================
Função: ackley
============================================================================
parameter;GEOreal2_P_DS;GEOreal2_P_DS_UNI;
meanNFE;100233;100233;
meanFX;5,30085227978816E-08;5,146111936227271E-07;
melhorFX;3,427934203159566E-08;3,889773800835883E-07;
piorFX;7,885609676350214E-08;7,541057698290388E-07;
medianFX;5,383726531249522E-08;5,325857195259687E-07;
sdFX;9,54553672348703E-09;7,289516532843264E-08;
==========================================================
===> Melhores f(x) para cada execução:
execucao;GEOreal2_P_DS;GEOreal2_P_DS_UNI;
1;5,515335388395215E-08;4,5114817837088594E-07;
2;3,474375276368846E-08;5,378900809205334E-07;
3;5,9179118494512295E-08;4,7324931173875484E-07;
4;5,3818052236920266E-08;5,394967992344846E-07;
5;4,199802461357649E-08;5,013504100759292E-07;
6;4,567815281575349E-08;5,609547564233708E-07;
7;7,885609676350214E-08;5,419565809461346E-07;
8;6,594343915367062E-08;5,432007128547411E-07;
9;5,852572471098938E-08;4,814657401652767E-07;
10;5,383726531249522E-08;4,940649738216507E-07;
11;4,81806949892416E-08;5,076696609762621E-07;
12;5,836371386180872E-08;4,842298366725117E-07;
13;5,691007487484967E-08;4,2705724467850814E-07;
14;6,613171876779234E-08;5,763448456264086E-07;
15;4,809862730326131E-08;5,556106401627403E-07;
16;4,835115774426413E-08;4,639556188124061E-07;
17;5,5898830453315895E-08;4,3143397121525595E-07;
18;5,571818206817625E-08;6,523715931905372E-07;
19;5,767247301946554E-08;5,325857195259687E-07;
20;5,0564008091669166E-08;6,55124498649684E-07;
21;6,193328161430145E-08;5,920039214402095E-07;
22;3,8174494676468385E-08;5,388907595715864E-07;
23;5,088648080686653E-08;5,42948463078119E-07;
24;5,389848567460831E-08;5,463148333717527E-07;
25;5,0808921514544636E-08;4,694875741506621E-07;
26;3,992187558310434E-08;5,369195363869039E-07;
27;6,380698636121451E-08;4,05272849945959E-07;
28;4,1155342245247084E-08;5,736778483367289E-07;
29;4,968676847738607E-08;5,798921343114216E-07;
30;4,155964106189458E-08;4,929994119606818E-07;
31;4,9106880339877534E-08;4,5712202378922484E-07;
32;4,7089660171195646E-08;3,889773800835883E-07;
33;5,85135708774942E-08;7,541057698290388E-07;
34;5,144294235037705E-08;5,938548106598773E-07;
35;5,0959862107902154E-08;4,5142417093302356E-07;
36;6,252028228459494E-08;6,246294432799004E-07;
37;4,938980424640249E-08;4,3440223507218434E-07;
38;7,793234502173618E-08;4,7457558949304257E-07;
39;5,814956693939166E-08;4,142083440683564E-07;
40;4,304120793108268E-08;5,613727758202458E-07;
41;4,3519211345710573E-08;5,488750076665383E-07;
42;5,380722356562728E-08;5,378093135277595E-07;
43;5,9091984638826034E-08;4,4597776849286674E-07;
44;3,427934203159566E-08;4,450533133137924E-07;
45;6,596111035150898E-08;4,5891941979903095E-07;
46;3,808325388376943E-08;4,424218289500459E-07;
47;5,464752561579189E-08;3,970166346789483E-07;
48;5,538680980521349E-08;5,387815598112411E-07;
49;5,7448968249218524E-08;5,233709785557039E-07;
50;5,459984819822239E-08;5,480928066958768E-07;











============================================================================
Função: beale
============================================================================
parameter;GEOreal2_P_DS;GEOreal2_P_DS_UNI;
meanNFE;100001;100001;
meanFX;8,024256130585743E-09;4,2464295381619935E-07;
melhorFX;3,194628972535072E-11;9,819605772946714E-10;
piorFX;4,9901245425674634E-08;1,6963273157551179E-06;
medianFX;4,0025733329462985E-09;3,203861037833572E-07;
sdFX;1,0827225192361421E-08;4,0921477696735277E-07;
==========================================================
===> Melhores f(x) para cada execução:
execucao;GEOreal2_P_DS;GEOreal2_P_DS_UNI;
1;1,9238263535905756E-09;1,0479266173682861E-08;
2;4,0025733329462985E-09;1,6010328952803447E-07;
3;4,047602599298758E-09;2,3296382977497541E-07;
4;1,629240208494642E-09;5,432591218428582E-07;
5;3,635241024745006E-08;1,2844239556183755E-07;
6;8,627056931715319E-09;1,1360291800833182E-06;
7;6,724078711724899E-10;1,4906118160139915E-07;
8;3,426617796682534E-09;1,2490406510372601E-06;
9;7,950265210855166E-09;3,524026652305632E-07;
10;1,1664436756596657E-09;2,7822585183381303E-09;
11;1,997377595944901E-09;1,4152268601013865E-06;
12;7,407297662271041E-09;1,8319886997978723E-07;
13;1,0944543041032561E-09;8,776890975359646E-07;
14;1,178903021817052E-09;5,69537098096753E-07;
15;2,089823669914932E-08;3,491106751960296E-07;
16;2,0720049519894995E-09;9,819605772946714E-10;
17;5,422143301279183E-10;9,503091347049281E-07;
18;1,277950469946331E-08;9,534834819895902E-07;
19;2,2586139913321613E-09;3,326950732154384E-07;
20;3,1038092665842997E-10;2,6321203336935295E-07;
21;1,5813501168850628E-09;8,712138104505463E-07;
22;6,301488864938335E-09;3,506156146604725E-07;
23;4,881303352905461E-09;1,3361350548708902E-06;
24;2,4145414057004737E-08;3,1626100733629384E-07;
25;4,64410267238152E-11;1,0375377483255024E-08;
26;1,787047879479559E-09;4,825770889201793E-07;
27;2,4927657005090095E-09;3,3818910552219753E-07;
28;3,2721472112507284E-10;3,0144745854227005E-07;
29;1,0988862629318257E-09;4,487087741404879E-07;
30;3,2368399447480055E-08;4,620374031035587E-07;
31;6,88012863916472E-09;1,2591983155727693E-07;
32;5,2935330717751915E-09;1,0034305087772181E-07;
33;2,547989969390887E-10;3,203861037833572E-07;
34;8,770943590895719E-09;1,6963273157551179E-06;
35;4,9901245425674634E-08;1,3686896956136688E-07;
36;9,178472795983639E-09;5,866810031758803E-07;
37;1,5753979063475287E-09;4,905994583846697E-07;
38;5,360357645378761E-09;8,510075012364799E-07;
39;2,368153414322245E-08;2,0965474543374345E-07;
40;2,004254371248162E-09;4,2712827491049465E-08;
41;4,047728135259686E-09;3,6945513772931974E-07;
42;2,6812500588152634E-10;1,3910724361366471E-07;
43;9,329067667755334E-09;5,314890371739186E-07;
44;1,6704527310026305E-08;2,787993573425155E-07;
45;3,194628972535072E-11;1,8173570765637756E-07;
46;2,964916125443685E-08;4,776418520263149E-08;
47;1,2311082797307332E-09;3,818733720276683E-08;
48;2,9750288593304454E-09;7,016569654846906E-08;
49;2,0125820273470725E-08;1,472849741479093E-07;
50;8,581883026335038E-09;9,008938778678987E-08;



Execution Time: 135.095 s
