




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Schwefel
============================================================================
parameter;GEOreal1_O;GEOreal1_P;GEOreal1_N;
meanNFE;100000;100000;100000;
meanFX;114,18832296462821;104,15653102929723;1943,0222292800947;
melhorFX;35,791079914630245;7,445662919019924;1368,9976108676974;
piorFX;197,9827250774415;386,3045445765665;2633,8695150112653;
medianFX;114,38314824843746;103,938747005207;1928,6705712282487;
sdFX;42,567767064466345;96,18094926084784;290,7447201247211;
==========================================================
===> f(x) médio para cada NFE:
NFE;GEOreal1_O;GEOreal1_P;GEOreal1_N;
5;3932,686176438486;3950,1513134490206;4197,243150944456;
50;2944,1523534400667;2824,637933237827;4174,5009485644605;
100;2267,4976895493464;2207,0519512659034;4146,081298409872;
500;940,8076580023178;1033,7199953587528;3945,476700381052;
1000;676,9747709842565;761,9381592618499;3683,885593561177;
1500;542,6014866075789;685,4825889070729;3432,393936111086;
2000;470,0054084884688;647,8423576854539;3191,17909533879;
2500;400,79934943074096;630,8181282100774;2963,9842429250257;
3000;360,7020844749971;619,1249834970116;2758,5967094784905;
3500;346,49886232359114;609,7533667559399;2571,3069267192977;
4000;330,8135304458021;605,0826477658211;2419,4591366079176;
4500;317,30376778133177;594,2739786222337;2293,180044746315;
5000;313,20353882065575;582,295584432312;2184,805642266246;
6000;302,2117546715175;563,1298483967009;2034,4592985881234;
7000;290,2744592880364;537,877194404334;1963,9266537147655;
8000;269,7459600439365;524,3985645341929;1944,7266151840781;
9000;251,9534508602087;510,93702699210087;1943,0501909164782;
10000;241,98655208522578;496,8744298182078;1943,0355029988336;
12000;224,62939478236848;477,0888950088961;1943,0321628794077;
14000;219,20115714196882;464,5715009676339;1943,0292549698188;
16000;209,3444416558822;433,1274661548888;1943,0289151718334;
18000;202,4193023566266;416,37587226283057;1943,0281687991283;
20000;195,03350143939176;397,62654189052944;1943,0278451040856;
25000;182,92495112436757;372,1183032748351;1943,0266061963048;
30000;169,87456774274904;341,7862131578728;1943,0256035028626;
35000;164,22358363820567;299,6338755456826;1943,0244322604326;
40000;144,2198943338074;273,70404077243427;1943,024287987332;
45000;142,21633009809455;245,53242911382003;1943,024036665946;
50000;135,21211850793165;226,91889950949866;1943,0237178693758;
55000;133,22752013323512;208,13360662015947;1943,0236018402707;
60000;130,36567416905245;194,69214445437183;1943,0235093791312;
65000;127,34502631557757;168,58884692610962;1943,0231431946333;
70000;125,53441803380068;154,04184561706106;1943,0230974708738;
75000;122,72927276241974;148,19608839866746;1943,0229354804444;
80000;118,78810088348139;145,67062557950652;1943,022845576936;
85000;115,67656527343759;135,73003463678373;1943,0228248910148;
90000;115,64629690756885;128,9366716815915;1943,0223207805807;
95000;115,64629690756885;111,30490924983401;1943,022293941724;
100000;114,18832296462821;104,15653102929723;1943,0222292800947;











============================================================================
Função: Beale
============================================================================
parameter;GEOreal1_O;GEOreal1_P;GEOreal1_N;
meanNFE;100000;100000;100000;
meanFX;0,0004535764050687852;7,716783449351626E-06;8,708356380766303E-06;
melhorFX;6,201393088620308E-06;3,9456095841514566E-07;2,541518515171054E-07;
piorFX;0,003726915504713247;3,099434281501932E-05;3,829851121605783E-05;
medianFX;0,0002861018637277982;5,0654304326414895E-06;4,8397188117317214E-06;
sdFX;0,0006577813960979035;8,002380171096739E-06;9,142485067439742E-06;
==========================================================
===> f(x) médio para cada NFE:
NFE;GEOreal1_O;GEOreal1_P;GEOreal1_N;
5;3403,1336894122664;6106,750298712628;6795,576952542391;
50;73,61102183838724;1222,5447041276143;686,6459305007577;
100;11,578360669479745;300,29741504310243;32,07730205931559;
500;0,14282893296872706;1,8866163938337563;0,4141297734334558;
1000;0,06963756206586923;0,9239537654463689;0,34896160867958925;
1500;0,043728137410793635;0,9020713665751178;0,33081505101508984;
2000;0,028287826551985733;0,8775863798166552;0,31610646127040243;
2500;0,02146001407423854;0,8179531847652834;0,31286631123975384;
3000;0,01942785282211502;0,5697319538091481;0,3128359835359804;
3500;0,016335218644883246;0,5617261605802278;0,3122961268666655;
4000;0,014232062086832812;0,5557980456575995;0,3081442722744325;
4500;0,011501347806620599;0,5489491344502359;0,30735034025561697;
5000;0,010226203266071428;0,3851989291942538;0,3065981421215138;
6000;0,008976956097301298;0,2804353291218618;0,2874163779741037;
7000;0,008724223149202508;0,25698443660971665;0,2870746372296359;
8000;0,007845648535809987;0,25348121753267694;0,28705332521912635;
9000;0,006947326501010473;0,23195566327766332;0,286929851287446;
10000;0,006226504278665174;0,21189883355873276;0,2865781697549478;
12000;0,004692172019076783;0,19148868236231656;0,2291569726831717;
14000;0,0033688548099640005;0,17177063093576164;0,20994745134569465;
16000;0,002927896042044141;0,17173889222260505;0,20989346261229674;
18000;0,0027670992468277478;0,1717275135256073;0,19097492269708302;
20000;0,002704178491427956;0,15271506247870165;0,19081540500436048;
25000;0,0021116983718279534;0,1525538287615152;0,19069138592456888;
30000;0,00169879485401912;0,1525231661904806;0,15252184300409866;
35000;0,0015909679562157168;0,11437412219763139;0,13342524873997388;
40000;0,0013043283538505133;0,11430489289257753;0,11452483084784922;
45000;0,0011157396808809598;0,05719358832420829;0,11428756065732219;
50000;0,0007750979515786266;0,05716544623582638;0,09528465055931432;
55000;0,0006620253812185071;0,057153038309931584;0,07623234654934777;
60000;0,0006469119512338426;0,0571470903076009;0,057154192011756824;
65000;0,0005749846298419086;0,05714623780882726;0,01907097256269607;
70000;0,0005634386605347455;0,040560399353374105;0,019060617979056584;
75000;0,000561896717880844;0,019068554407539455;0,01905774679382579;
80000;0,0005475992747231369;3,517290243517265E-05;0,019054129288828603;
85000;0,0005475992747231369;1,0345509347197727E-05;2,2046196660902527E-05;
90000;0,0004565919791175882;8,61333097938001E-06;1,0541893534106136E-05;
95000;0,0004565919791175882;8,059656683915703E-06;8,888621974561412E-06;
100000;0,0004535764050687852;7,716783449351626E-06;8,708356380766303E-06;



Execution Time: 28430 ms
