




============================================================================
Função: Griewangk
============================================================================
parameter;AGEO1;AGEO2;AGEO3;AGEO4;AGEO9;AGEO1var;AGEO2var;AGEO3var;AGEO4var;AGEO9var;
meanNFE;100100;100100;100100;100100;100100;100100;100100;100100;100100;100100;
meanFX;0,27393196097039013;0,07642425357362875;2,636091659744513;0,08717095977598668;0,09657272089256866;75,15830287407758;28,144800904659416;28,335811939193075;27,64060833195682;24,401548197866177;
medianFX;0,22659898331604822;0,06579944646484492;0,1609456561721856;0,0787670848076264;0,08709578815963037;76,36434602028052;29,14101096203151;29,698575299289395;28,816036579641683;23,502439644076905;
sdFX;0,2227324216918616;0,064774366217496;15,519619931422184;0,06592197064509356;0,05418687285515619;16,989140952407563;4,736627299634719;4,612009209976765;4,5768940350126535;4,518125534788733;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO1;AGEO2;AGEO3;AGEO4;AGEO9;AGEO1var;AGEO2var;AGEO3var;AGEO4var;AGEO9var;
5;274,4130647114946;274,4130647114946;274,4130647114946;274,4130647114946;274,4130647114946;274,4130647114946;274,4130647114946;274,4130647114946;274,4130647114946;274,4130647114946;
50;247,43255430958703;247,43255430958703;247,43255430958703;247,43255430958703;247,43255430958703;247,43255430958703;247,43255430958703;247,43255430958703;247,43255430958703;247,43255430958703;
100;234,51569758671536;234,51569758671536;234,51569758671536;234,51569758671536;234,51569758671536;234,51569758671536;234,51569758671536;234,51569758671536;234,51569758671536;234,51569758671536;
500;130,64737355903304;161,48406493554796;213,77718612741918;124,78077128778384;175,55065597260042;142,81426104691167;171,6842115778686;198,11532977093566;142,0378550344913;163,93399907373495;
1000;54,465539460133655;54,0187393052524;177,07146101710407;36,11455692833373;66,18635402795408;107,98291444171795;116,34380518785315;149,16088456034745;92,05410463506155;110,54990971261138;
1500;24,239616124991112;17,398036888305548;128,94714849133538;12,556550449353484;20,548389828948096;98,12172317657321;73,83142186441299;116,12043904109791;63,63993256362386;74,4064395677273;
