




============================================================================
Função: Griewangk
============================================================================
parameter;GEOreal2_P_VO;GEOreal2_N_VO;GEOreal2_P_DS;GEOreal2_N_DS;GEOreal2_P_VO_UNI;GEOreal2_N_VO_UNI;GEOreal2_P_DS_UNI;GEOreal2_N_DS_UNI;
meanNFE;100068;100000;100068;100000;100068;100000;100068;100000;
meanFX;0,00487429687147326;0,0840275633388316;0,0030766524421601037;0,0039836583686504575;0,006402283792782666;0,038655258351816234;0,0021697280233128045;0,005505911367992195;
sdFX;0,008130640267194848;0,23523274402036304;0,005701402791113122;0,004904463481230566;0,009694837777067727;0,07019742479930999;0,00412126116999518;0,005853022959595703;
==========================================================
===> f(x) médio para cada NFE:
NFE;GEOreal2_P_VO;GEOreal2_N_VO;GEOreal2_P_DS;GEOreal2_N_DS;GEOreal2_P_VO_UNI;GEOreal2_N_VO_UNI;GEOreal2_P_DS_UNI;GEOreal2_N_DS_UNI;
500;264,70471201992774;296,0187362858277;84,98873880769122;281,44381302518303;265,36150427735697;295,31791297267915;88,47661678148422;280,8443789877081;
1000;224,86965936836216;279,89329789766833;14,372706108371101;252,3861473327879;224,64856217708902;279,3036091419376;14,884316621935318;252,48603150266771;
1500;186,886653748957;265,26411772075363;2,557261523429899;225,83411200641612;188,91429724567686;264,1948347122763;1,9405363275909024;226,25253873276378;
2000;154,61771860540472;250,98192725576303;0,7466437764879494;201,3306007618334;156,1437944824146;249,89468815559619;0,5555185017497599;201,06843436826964;
2500;127,278400521401;237,03234479003814;0,2570405739886075;177,9207003272743;128,3716467821064;236,47963830035417;0,23314182693789198;178,41637014725364;
3000;103,39965392477733;223,06431297978625;0,11155368548128396;156,4887267971036;103,03006631387647;222,55244719639302;0,13244150970308766;157,25807034050356;
3500;82,44940028285394;210,31545195142346;0,08077284666772482;136,64425502341396;81,99907841663176;210,0819252454376;0,08929647723053918;138,14375479245157;
4000;61,63441878282316;198,1250402626004;0,07054058486098247;119,54244731178883;62,086591021123915;197,69451505134458;0,07136503302605163;120,63492249167128;
4500;46,77226656063506;186,06137545745955;0,05825084995845797;103,40335662094884;47,60760708711816;186,09537725051987;0,06710986260908135;105,03843313919572;
5000;34,15193854122859;174,8355478885591;0,052132747808450654;88,78658956096119;35,46645730793699;174,607674845654;0,050676934961375465;90,35705264775169;
6000;17,365443252268363;152,9117127247619;0,047109092218581214;64,61920028179087;18,557893570509865;152,72274581298313;0,04575038339255686;64,22670417495448;
7000;7,631432771301749;133,51928545165936;0,043109777167948726;46,017566523547295;7,712616824398842;133,53775878870368;0,04276412885132471;45,09065314087503;
8000;3,080866814981854;115,55881746158946;0,03652553806351404;30,528316449260974;2,9843331592908724;115,09890104466824;0,03681606886150351;30,538628030688542;
9000;1,267568796770138;100,0697208077348;0,035542592747108276;19,208191999307857;1,2945691428148443;99,91211313388071;0,03479531650743316;20,06169408987293;
10000;0,47838819797988613;86,02274120552552;0,032581387585239326;11,690909866237043;0,6584741716766526;86,63193672929414;0,030653794106720946;12,154183160600414;
12000;0,16428810575198438;62,9877811694565;0,02655421131483724;4,835035130142252;0,2240936208534697;62,6663718560874;0,028811049333374507;4,525878115915343;
14000;0,07341582447039684;45,90670110936663;0,02431411291957833;1,9591840261317612;0,10294066131565549;45,32024396808581;0,024725298004647824;1,6140452719199372;
16000;0,037476893586797906;35,35249122792497;0,020519045837654785;0,7235954987328611;0,05608918173286059;33,98600294700574;0,022915412430422732;0,8151350578767189;
18000;0,034863761563501426;27,936132626399207;0,018186005321614258;0,3366290751025823;0,04042666734987844;25,40649951170632;0,020354360301336902;0,3128599640788768;
20000;0,033529971911927914;21,81677196599881;0,016239978356405706;0,19355913476350217;0,03653594389808183;19,67254066907225;0,01773158046703192;0,13567535418338836;
25000;0,02819274778058697;12,266455623566921;0,011912836177513517;0,05055219920076144;0,032953920951203176;11,725947803651106;0,01534800019001449;0,03281782776529056;
30000;0,025492393504956933;7,974944137573042;0,010202799233548023;0,023954360884182173;0,02664140072599976;7,355918938976088;0,012311569325814658;0,022198194357855777;
35000;0,023249789654429535;5,367472997249334;0,009970380141810484;0,017928822855238887;0,01931269353932694;4,995867060667867;0,010992127608051263;0,019243119439226252;
40000;0,018307142473629787;3,6887592365922104;0,009933150102486703;0,014585707399520823;0,017787567683473657;3,210661949638768;0,009994924156035936;0,016694130656423188;
45000;0,014866032046880253;2,750988429074496;0,008646010589087465;0,011553098173528821;0,015954546727561882;2,170065183146925;0,009364106564686874;0,01483964502237793;
50000;0,012017950048862332;2,0013124396521884;0,007589498801597445;0,009753810857787457;0,015011468005270787;1,4281034974662565;0,007574920686588629;0,013368425168894683;
55000;0,01176375264679753;1,4092988875908334;0,006745598148184071;0,008863660300428596;0,01388011936700548;1,0090187345578776;0,007309618315957063;0,01186769743314619;
60000;0,01122366862789743;1,0629454334837944;0,0061893008499626445;0,007531976751147977;0,012111647539880444;0,6824429380724838;0,00673608309336897;0,010551060506990267;
65000;0,010730517397827077;0,7563994106577906;0,005260894965650254;0,006960930711104876;0,009342778652938666;0,49497792411602326;0,004727719585330689;0,010100423123799869;
70000;0,009844399958672088;0,5043448619697319;0,004854500942691154;0,00583432715092993;0,008963346902669539;0,32720502307768307;0,003961417748728347;0,009149196272276455;
75000;0,008959196419566398;0,37074138532425976;0,004437280624538069;0,0051298588336718565;0,008618224979805113;0,2270289033138544;0,003638260919601244;0,00774031202730268;
80000;0,008369785037652074;0,2600498313679004;0,0039000716349967446;0,004885323435206106;0,007929787748535826;0,13754783589099517;0,0032548685639537255;0,00737153888579184;
85000;0,007793007647486678;0,19682979824967498;0,003343909563123697;0,004741494396047961;0,006933010416392453;0,11074206216158348;0,0030940898462277545;0,007199600507099402;
90000;0,0068858282377459055;0,14506185139764596;0,0033169276603127783;0,004500963201796711;0,006648607825266106;0,08998862032809793;0,0027252420962384583;0,0065712054714000545;
95000;0,005022928632072556;0,104941856880584;0,003138235362829518;0,004500963201796711;0,006402285280471726;0,061616852719420946;0,0022998958571172757;0,0056815031117415996;
100000;0,00487429687147326;0,0840275633388316;0,0030766524421601037;0,0039836583686504575;0,006402283792782666;0,038695787448563744;0,0021697280233128045;0,005505911367992195;

==========================================================
===> Melhores f(x) para cada execução:
execucao;GEOreal2_P_VO;GEOreal2_N_VO;GEOreal2_P_DS;GEOreal2_N_DS;GEOreal2_P_VO_UNI;GEOreal2_N_VO_UNI;GEOreal2_P_DS_UNI;GEOreal2_N_DS_UNI;
1;1,0965661711992425E-10;0,04604220810190862;0,001705274229323095;0,0010603405078867256;2,9916735755364243E-11;0,010321151625720781;0,008286382462450281;0,0007933394515092784;
2;2,2823081510248144E-06;0,003484759029330098;0,0007499499955818667;0,013958080911875448;0,017236111921147712;0,022591838504451123;0,00024261381408963167;0,0005029306950401491;
3;0,022156144014713886;0,036626177221287914;0,00023320057394682348;0,006749875790891036;0,007396040335315379;0,31810678149870086;0,0004445500293344118;0,012028975351323412;
4;1,9554913244235195E-11;0,014206485079097497;0,03305294083767518;0,00047326825570992437;6,236211547161474E-11;0,0025098302577354348;0,010869198030213911;0,01401470730046439;
5;7,096069543077732E-08;0,019805889822748224;0,011230799455459684;0,0011929709042585168;0,014779786101847603;0,005517635191691683;0,003914160387889165;0,011491407055068348;
6;0,007396040486261968;0,0034277075183769545;0,00044276352646832606;0,007254586384933592;6,764506732537257E-10;0,002937111474627385;0,0005029265055114251;0,0004411038860002714;
7;1,0777500003555929E-09;0,009833948692130168;0,0004906658869962;0,00043993266971775746;3,4811171999438173E-06;0,03841678455439568;0,007790842841899015;0,00072400894360658;
8;5,472346797930072E-09;0,003388773498997799;0,004291067774872426;0,00999667512901492;0,019677734589539364;0,010774213677123279;0,0003509345585133161;0,00882521691090632;
9;1,0772049918728044E-11;0,01365912923935464;0,00046945004511822486;0,00022548456500437464;3,699851536254073E-11;0,007909464732668292;0,0004460082179025271;0,00194426570926165;
10;0,02212673344074012;0,04520280457118553;0,00038782116316904425;0,0002752446221276905;0,014772407727928205;0,02070143602825192;0,0004273927665203736;0,00020150704352039917;
11;0,02459048822229848;0,002372588435779921;0,01043841607837015;0,0010485386073703085;3,449985126591226E-05;0,017011665178663926;0,0003881995970256291;0,0018984476869751132;
12;5,711807693487003E-10;0,015262127461152297;0,0010212971216588818;0,0022729292138983226;2,67813878210843E-05;0,014753994485285582;0,001549113145391079;0,0004613653990668265;
13;6,126987805998851E-12;0,013248421194006599;0,0003867221213449401;0,0006470871485247942;1,9628521030767843E-11;0,014376163428358568;0,0008377743645954228;0,00040135601355173467;
14;3,498921152811363E-10;0,0021046023305313355;0,0015983853437370188;0,001287587184689687;1,4080129395743768E-08;0,011805707175975955;0,00017531596926279036;0,018935371244801602;
15;1,0297076080689749E-08;0,012223834492298913;0,009991510090071598;0,009890491336074114;3,4123304182287484E-10;0,01092799535931277;0,0008636926906081532;0,0011617541502890738;
16;0,017241020947075913;0,036455303134623196;0,000832179234079411;0,018363780092586657;0,01477977681986542;0,03179618192313971;0,0010243471563067263;0,014544133365110179;
17;7,48756612267698E-12;0,093450588357333;0,00031862072649724293;0,007464086272958803;2,431670309555045E-09;0,05220086019557679;0,00022304811199558294;0,010724913557513704;
18;2,148592415096573E-11;0,0009151988062560124;0,0002879399203352673;0,00023530662807980107;0,007396040358437883;0,028850841138032712;0,0013066157527588107;0,012648924834429698;
19;9,574674386669813E-12;0,0037504712739130364;0,004616154457451449;0,0009598701086795947;1,2935541526815086E-11;0,026327857373706243;0,0005618898962943542;0,0007150453093022202;
20;1,5758017113398637E-10;0,00960000482069101;0,0005207190335421163;0,0005055380267773302;0,017226294559279487;0,0007739059555952332;0,0027275847880309234;0,00783455073606465;
