




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: spacecraft
============================================================================
parameter;AGEO2;
meanNFE;6373;
meanFX;196,94943319215946;
melhorFX;196,94943319215918;
piorFX;196,94943319215918;
medianFX;196,94943319215918;
sdFX;2,871026210164617E-13;
==========================================================
===> Melhores f(x) para cada execução:
execucao;AGEO2;
1;196,94943319215918;
2;196,94943319215918;
3;196,94943319215918;
4;196,94943319215918;
5;196,94943319215918;
6;196,94943319215918;
7;196,94943319215918;
8;196,94943319215918;
9;196,94943319215918;
10;196,94943319215918;
11;196,94943319215918;
12;196,94943319215918;
13;196,94943319215918;
14;196,94943319215918;
15;196,94943319215918;
16;196,94943319215918;
17;196,94943319215918;
18;196,94943319215918;
19;196,94943319215918;
20;196,94943319215918;
21;196,94943319215918;
22;196,94943319215918;
23;196,94943319215918;
24;196,94943319215918;
25;196,94943319215918;
26;196,94943319215918;
27;196,94943319215918;
28;196,94943319215918;
29;196,94943319215918;
30;196,94943319215918;
31;196,94943319215918;
32;196,94943319215918;
33;196,94943319215918;
34;196,94943319215918;
35;196,94943319215918;
36;196,94943319215918;
37;196,94943319215918;
38;196,94943319215918;
39;196,94943319215918;
40;196,94943319215918;
41;196,94943319215918;
42;196,94943319215918;
43;196,94943319215918;
44;196,94943319215918;
45;196,94943319215918;
46;196,94943319215918;
47;196,94943319215918;
48;196,94943319215918;
49;196,94943319215918;
50;196,94943319215918;



Execution Time: 169.651 s
