




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: spacecraft
============================================================================
parameter;AGEO2var_5;
meanNFE;43286;
meanFX;196,94948113492944;
melhorFX;196,94943319215918;
piorFX;196,9497488155142;
medianFX;196,94943319215918;
sdFX;9,984393383839093E-05;
==========================================================
===> Melhores f(x) para cada execução:
execucao;AGEO2var_5;
1;196,9497488155142;
2;196,9497488155142;
3;196,94943319215918;
4;196,94943319215918;
5;196,94953517257412;
6;196,9497488155142;
7;196,94943319215918;
8;196,94943319215918;
9;196,94943319215918;
10;196,94943319215918;
11;196,94953517257412;
12;196,94943319215918;
13;196,94943319215918;
14;196,94943319215918;
15;196,94953517257412;
16;196,94943319215918;
17;196,94943319215918;
18;196,94943319215918;
19;196,94964033139667;
20;196,94943319215918;
21;196,94943319215918;
22;196,9497488155142;
23;196,94943319215918;
24;196,94943319215918;
25;196,94943319215918;
26;196,94943319215918;
27;196,94943319215918;
28;196,94943319215918;
29;196,94943319215918;
30;196,94943319215918;
31;196,94943319215918;
32;196,94943319215918;
33;196,94943319215918;
34;196,94953517257412;
35;196,94943319215918;
36;196,94943319215918;
37;196,94943319215918;
38;196,94953517257412;
39;196,94943319215918;
40;196,94943319215918;
41;196,94953517257412;
42;196,94943319215918;
43;196,94943319215918;
44;196,94943319215918;
45;196,94943319215918;
46;196,94943319215918;
47;196,9497488155142;
48;196,94943319215918;
49;196,94943319215918;
50;196,94943319215918;



Execution Time: 993.035 s
