




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: spacecraft
============================================================================
parameter;AGEO2var;
meanNFE;98007;
meanFX;197,11945795130075;
melhorFX;196,94943319215918;
piorFX;198,8256309813879;
medianFX;197,00175304558786;
sdFX;0,3235275220379282;
==========================================================
===> Melhores f(x) para cada execução:
execucao;AGEO2var;
1;196,95090397285537;
2;196,95318369253746;
3;197,29566610496164;
4;196,95318369253746;
5;197,10305553440233;
6;197,04798332913285;
7;196,95137770235448;
8;197,8595047167104;
9;197,00175304558786;
10;197,1593011420812;
11;196,95137770235448;
12;196,95137770235448;
13;197,13657450347478;
14;197,1223715521547;
15;197,02310608381777;
16;196,94953517257412;
17;197,0797872124057;
18;196,95137770235448;
19;196,97897119837825;
20;197,00175304558786;
21;197,07660060684623;
22;196,95090397285537;
23;197,63569945210284;
24;197,02310608381777;
25;197,08551331478014;
26;196,99687936241696;
27;197,6059296316637;
28;196,95137770235448;
29;196,94964033139667;
30;198,8256309813879;
31;197,06951193713752;
32;197,05494633392917;
33;197,45196137448775;
34;196,9534295018424;
35;197,34279783495313;
36;197,05733074797382;
37;196,98762395636953;
38;197,06773898805568;
39;196,95137770235448;
40;196,9499763920116;
41;196,95137770235448;
42;197,02310608381777;
43;196,95090397285537;
44;196,98762395636953;
45;196,95061567779496;
46;196,94943319215918;
47;197,63569945210284;
48;197,17604564165876;
49;196,95034691220076;
50;196,98762395636953;



Execution Time: 2126.217 s
