




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEOreal1_P;AGEO2real1_P_AA;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;
meanNFE;100000;100001;100100;100100;
meanFX;0,19011345292408957;0,34460821800527935;0,05548652914670093;0,01927220208755026;
melhorFX;0,08146849643837306;0,15327825895528402;0,011181300522097981;2,142608745980823E-08;
piorFX;0,2848651218608049;0,4739916516452156;0,09089759287292587;0,05902341989425097;
medianFX;0,1894113280942149;0,3522947961833931;0,06016741102303569;0,019677749132511302;
sdFX;0,04094291147669985;0,07864042162128784;0,0176430409946843;0,0171849295677972;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEOreal1_P;AGEO2real1_P_AA;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;
5;305,5300253099423;297,31009070482827;296,2052247095367;297,09569798551087;
50;301,5793510684656;268,3520493665086;280,45673335452454;273,54635824323117;
100;296,4132732217433;232,53843712329385;268,6472651088631;258,1883124407088;
500;235,17888135322266;16,48224359820203;198,1413147573605;257,22299001960397;
1000;170,2032952083547;1,1341339073694159;92,082627131218;237,17999279392498;
1500;116,0391270673962;0,9490088597413414;30,370052538249272;177,15470696904694;
2000;72,83775650510067;0,8863881139981022;7,711778444932374;107,62166279454306;
2500;40,34297516246415;0,8116031859760182;2,4340896517534927;73,97310203034945;
3000;19,08270261383799;0,7965980140359259;1,1584731762630631;11,301848764080876;
3500;7,460281083118403;0,7832160192739361;0,880032317956104;3,4713921556204315;
4000;2,7037021118974844;0,7771050383456911;0,6045162959979694;0,32362931343971785;
4500;1,0835458622254934;0,7567923821606283;0,4072652907273221;0,24660070029511993;
5000;0,5992529784927919;0,7232762272380131;0,35237047314109726;0,1193627628751229;
6000;0,406796824786103;0,7020727461043116;0,2854855325667641;0,060343036778300156;
7000;0,37437399080828;0,6443943970552507;0,2428197203785481;0,047855866318472745;
8000;0,3243258061047913;0,6261172744753289;0,20019909647332756;0,047818916892906946;
9000;0,3212254302610361;0,6230454860494006;0,19322351268622034;0,04531912288202313;
10000;0,3014484920739054;0,5974940409897419;0,1863437984687242;0,03864889094488274;
12000;0,2962837501711532;0,5793074137144129;0,1586284351550096;0,036989730485344104;
14000;0,2829435428864604;0,5518946375873843;0,13149098652373958;0,031743924796632246;
16000;0,27472966388458275;0,5253931755498006;0,12937757544723777;0,03075102707130718;
18000;0,2664745045855469;0,513328440256575;0,126230366648746;0,030093713790995173;
20000;0,26507170149536574;0,4968639872213757;0,11492703973777427;0,029107635172107335;
25000;0,2507676033148559;0,46257610196950655;0,0918457562900349;0,02812109033009993;
30000;0,24143532115735092;0,4381809083289607;0,08053377100632314;0,02812108235638099;
35000;0,23235190394706126;0,4312435410412938;0,07618357876984128;0,02664710255465204;
40000;0,22696995921725616;0,41900888226683325;0,07115305173393346;0,025132579934762745;
45000;0,22560050738034884;0,4094420627848316;0,06894041637706906;0,023125529064934973;
50000;0,22218870990610368;0,4025124353477699;0,06775951478658813;0,023125524410028284;
55000;0,21905699377740312;0,3982542742217093;0,06605649937940683;0,023044217779811547;
60000;0,2144933969923403;0,38895414565018943;0,06393331820627247;0,023044217779811547;
65000;0,20740334012963013;0,38619323342399026;0,06332235993937911;0,02214204782783336;
70000;0,20654542538663084;0,36531634861360446;0,0631158368783676;0,022142004652960935;
75000;0,2049722908403456;0,3597001942191117;0,06145184460290146;0,021896374127153808;
80000;0,2049722908403456;0,34816775261793254;0,06051690116944295;0,020749429205373458;
85000;0,19981875804455057;0,34816775261793254;0,06049655511574776;0,019600352931650564;
90000;0,1957662082847316;0,3469680114130466;0,0578682408847124;0,019600349264219767;
95000;0,1946228747642152;0,34460821800527935;0,057232581332212616;0,019600349264219767;
100000;0,19011345292408957;0,34460821800527935;0,05550448518513778;0,019272202503642692;











============================================================================
Função: Rastringin
============================================================================
parameter;AGEOreal1_P;AGEO2real1_P_AA;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;
meanNFE;100000;100002;100170;100170;
meanFX;6,235896366897109;5,278660810357507;26,4660325053438;4,5578805914677405E-09;
melhorFX;1,7723218984137432;2,644952931947394;0,000362823176729421;2,6947049036607496E-09;
piorFX;10,576554114246768;7,4898603128087515;133,71428719051323;8,224674274970312E-09;
medianFX;5,987401164788402;5,05422581995937;2,960919850151093;4,48264358965389E-09;
sdFX;1,749117315247407;1,2913712532259043;40,13304337319549;1,396133745330384E-09;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEOreal1_P;AGEO2real1_P_AA;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;
5;230,31929203329705;227,48876006982516;226,20636546550375;231,3470435115632;
50;223,6861775227526;219,45164926756578;223,0036824277618;221,90260075572388;
100;219,07945488443696;213,65244115420037;219,48394904023863;217,9550939574216;
500;154,59246929298584;151,07353156256585;206,16831466896966;213,90943069494844;
1000;126,36574576123203;125,98091953555273;190,39554419188528;211,29063974910287;
1500;107,42544436359485;118,18215318762326;171,50201145932513;207,88450295801508;
2000;97,22163437009326;112,79269426366756;159,67058221119845;199,88250197926337;
2500;86,60184313006579;106,42483148162246;148,8726073347213;190,3122147509935;
3000;77,49753737232757;101,54437868503513;137,26578409185896;173,61933227468046;
3500;71,16921954549481;96,67834071012994;130,8192262474834;152,11317138375975;
4000;64,3785856420196;91,59279697321276;124,75827820725067;134,35246761698767;
4500;59,139091540902285;87,94218937656667;118,93529772395327;96,40382271247455;
5000;53,29018783112276;83,88825984489978;115,49100245088779;76,08721620163206;
6000;44,591471505267705;75,64465781676479;105,58159131081416;30,991049223753155;
7000;38,341392143258766;63,55055980850649;97,57550168264225;14,356841766242345;
8000;34,72682419998461;59,60778542343015;91,20161222980165;7,629031940839115;
9000;30,940664745945575;56,63931190068566;87,12075753974105;6,02050664045118;
10000;26,433288869726592;53,71990484764352;83,06409571392447;2,2349516133039264;
12000;19,920081125486117;47,75069521326388;76,93818847321579;1,0933179783614038;
14000;17,028420954510715;39,780485375802996;73,52990444200468;0,7046331099949666;
16000;14,423383085722492;26,624736968739928;69,86746905232961;0,4467151123342873;
18000;13,23012586633821;22,351529787583726;67,3236810275952;0,18281591423573243;
20000;12,072894754318353;18,194480640745045;66,2586844215614;0,13136881482705742;
25000;9,905376433547001;16,349091488394706;62,80750009953368;4,501409416472294E-07;
30000;9,409866937732831;9,30269759749049;60,11595937041273;8,088165278271238E-09;
35000;8,646081369034759;7,676318798672544;55,84703308886459;6,638865575799476E-09;
40000;7,935787290938524;7,603487826165195;50,275215509488106;6,143634578847923E-09;
45000;7,809656168013439;7,003502719258686;47,661210797850224;5,941382141827489E-09;
50000;7,451222933409543;6,82327185806839;40,80614203968757;5,845914804088655E-09;
55000;7,198872727022258;6,57107896745107;37,53916698616241;5,638566828262507E-09;
60000;6,962859336034265;6,044990005075573;32,403634691558146;5,485464053360071E-09;
65000;6,832479475366719;6,015522667164938;30,345447183711414;5,331268463730036E-09;
70000;6,634351478109472;5,837555748977707;29,126637398187224;5,1259635351167765E-09;
75000;6,563895262695957;5,650637459420947;28,350380909076804;4,85517285634766E-09;
80000;6,437243196007997;5,5925980626757905;27,528794146155924;4,691259647415791E-09;
85000;6,252977325996896;5,49740444914871;27,168172950767485;4,586612334378515E-09;
90000;6,246984336743792;5,347933863219429;26,94861196412158;4,586612334378515E-09;
95000;6,235896366897109;5,347933863219429;26,78102521446043;4,586612334378515E-09;
100000;6,235896366897109;5,278660810357507;26,46603541254098;4,5578805914677405E-09;











============================================================================
Função: Rosenbrock
============================================================================
parameter;AGEOreal1_P;AGEO2real1_P_AA;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;
meanNFE;100000;100002;100020;100020;
meanFX;7,607079393533578E-06;8,541637938663105E-05;4,814927950400685E-06;0,018259630292954555;
melhorFX;1,4531779800301124E-07;2,0234848462057182E-07;4,8951684132823295E-09;5,8749620876461595E-05;
piorFX;4,508812707352769E-05;0,0004141585749895415;1,931227353048571E-05;0,10674692123494144;
medianFX;4,158749961835829E-06;7,106350687298692E-05;3,8115351750940766E-06;0,009700898605526882;
sdFX;1,1020957801539638E-05;8,135267904263926E-05;4,4932081251876485E-06;0,02293563972052937;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEOreal1_P;AGEO2real1_P_AA;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;
5;470,68899961819665;356,82813379762405;372,5649741761939;325,29046902395;
50;383,2327549265187;75,44617443342395;191,62556202267643;82,92083473890783;
100;290,4281908301958;16,254391675722616;134,96713539339422;73,61959465365362;
500;72,51419365420635;0,4243534247939491;0,43012714698884197;50,96139395744982;
1000;7,203979630933191;0,2463583316151196;0,23072639279661936;50,74699627354093;
1500;1,3652631898859122;0,08710236288636238;0,12468067078290541;50,10163670935747;
2000;0,6926523138853156;0,07740538053512848;0,015992533129898193;50,09975713310495;
2500;0,6403084078594994;0,02160255080347617;0,0063885176882369134;49,79686476508423;
3000;0,589823578243352;0,014725336595210478;0,00591886252267955;49,32353148335089;
3500;0,49960957524323024;0,004541030113111963;0,0029398492607892453;49,06486280376579;
4000;0,46948029416674886;0,004291221267225017;0,0018184863968134007;48,83169205113878;
4500;0,4432632390621543;0,004291221267225017;0,0006119422080045377;48,82049297069683;
5000;0,4220247924822054;0,003936715883556368;0,0004950948700996122;48,817415055781346;
6000;0,3591854647116464;0,0027549103971248505;0,00040396338773924584;48,81288929858342;
7000;0,30949879254992585;0,002537082635108011;0,00030027002654519833;48,628779224538654;
8000;0,2392642585239689;0,001999391100533936;0,0002334446743164174;48,62743502870227;
9000;0,20968772792808205;0,0017826721194387828;0,00015641263533776415;48,60821501600497;
10000;0,13029912025814153;0,0016161306602357121;0,000138990433894238;48,60535604017005;
12000;0,11633148766940726;0,0014759732550504176;8,454398488868734E-05;48,59023368008997;
14000;0,10631637113405142;0,00125795447767712;7,100050633053307E-05;48,58581891182345;
16000;0,1056318746663795;0,0010448997572864902;6,487477054219448E-05;48,57981276873487;
18000;0,10465250079301976;0,0009310497380863418;5,6226312041341564E-05;48,57981276873487;
20000;0,07041303394148947;0,0007792799513114411;3,931999756470963E-05;48,56750812098399;
25000;0,005521870550781559;0,0005687492562531911;2,8135721046891364E-05;48,55899658233818;
30000;0,004144300785264184;0,00024823908662468397;2,425217922826308E-05;48,52210311933463;
35000;0,001376955484497299;0,00021383532824732125;2,1039923587582952E-05;48,40012183680673;
40000;0,0008223394336967092;0,0001972644248766291;1,4203004451911446E-05;47,99258048822185;
45000;3,1799757304274796E-05;0,00017650986110758613;1,1645549780570295E-05;21,170948253941265;
50000;2,7738717085435964E-05;0,00013829429281173334;9,773941389272373E-06;9,930570107457013;
55000;2,5248283267920398E-05;0,00012916450621208624;7,682054437916462E-06;5,093158573321224;
60000;2,3144493144471074E-05;0,00012285909073964362;7,011000287338148E-06;0,5620276268239626;
65000;1,6012622484544974E-05;0,00012285909073964362;6,249464629411204E-06;0,26097431639515734;
70000;1,4838047576338098E-05;0,00012221066095266856;6,144250147055902E-06;0,051391175670787104;
75000;1,1627488999247772E-05;0,00010976928004306515;6,144250147055902E-06;0,034254455579440166;
80000;1,1331099940875071E-05;0,00010345769126558164;6,112745509445772E-06;0,028832428352102653;
85000;1,1331099940875071E-05;9,60772945373585E-05;4,918731810851121E-06;0,02641212262806205;
90000;1,0918747811197277E-05;9,562207946638379E-05;4,891921474557736E-06;0,023658819734248333;
95000;8,203166456522114E-06;8,768622016623526E-05;4,8673925246067904E-06;0,02241595182812845;
100000;7,607079393533578E-06;8,541637938663105E-05;4,814927950400685E-06;0,018259630292954555;











============================================================================
Função: Schwefel
============================================================================
parameter;AGEOreal1_P;AGEO2real1_P_AA;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;
meanNFE;100000;100001;100100;100100;
meanFX;410,7519684050674;730,5316990944409;1111,0273926194284;0,0001272971954070575;
melhorFX;212,03976283665315;346,80433178220574;473,7644573776256;0,0001272822883038316;
piorFX;569,4885953236212;1154,6621880085277;2309,649889889856;0,00012731059814541368;
medianFX;416,40361321129285;774,824605423395;1026,49045730239;0,00012729704667435726;
sdFX;105,81823886293539;189,30015988442088;437,52027228562963;6,649002452565575E-09;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEOreal1_P;AGEO2real1_P_AA;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;
5;4142,7245912825965;4099,766959128739;4084,0506362520955;4164,909169633278;
50;3455,9494952003424;3499,527125405354;3743,0699169877453;3944,1440533254527;
100;2727,6067701484644;3062,4772474517736;3645,83819043789;3862,633764237999;
500;1430,4339811121902;1957,6610618295392;2681,9500337740383;3652,4406760498428;
1000;1143,5277502306765;1850,323528228336;2071,117447611484;3497,5514973050954;
1500;1031,069039868033;1762,967452555609;1893,2060629214723;3032,542952754749;
2000;953,9259149104962;1707,46229294609;1820,1720442361616;2361,438955280178;
2500;936,0649670015797;1677,8312870372558;1792,3871741726637;1472,5237039217784;
3000;903,3071972018118;1650,0216916876898;1785,2578257780585;907,6656346606422;
3500;877,1158906551676;1623,266604679375;1783,852061766418;520,5198401541966;
4000;813,6603433002406;1612,5885926204053;1777,4515350402023;434,0517764953209;
4500;787,3949654771056;1601,838125392337;1768,6997031904325;392,19564602938124;
5000;750,0700782499777;1577,0077612641612;1767,7552564011226;370,326756379954;
6000;726,0494160867262;1545,3652386143006;1754,9748089461152;321,55987793735414;
7000;716,1047760299441;1489,7132102149985;1728,7685917228716;267,16828569426747;
8000;700,8097580861344;1458,464092450266;1698,1392189860592;245,03722357696407;
9000;677,3157688840498;1441,9926239340243;1679,693513679479;222,7197735840451;
10000;671,7417156510797;1406,0799598744618;1672,6799480197092;206,5500065083274;
12000;649,1998666170147;1360,4317944483885;1666,620487421174;150,650109004763;
14000;645,6138863756948;1276,8878247164907;1653,8515001008088;106,68616287207132;
16000;622,8664112999163;1250,2095059363548;1623,425362031968;95,04996545380267;
18000;619,3451663287507;1223,611268888436;1608,905121077618;63,7087837321752;
20000;593,9786540104207;1186,8756602360677;1608,8699877173592;59,219687103532955;
25000;576,5396020325818;1106,673381037751;1572,2824186049227;23,699535448885868;
30000;544,944582980412;1068,2823651143729;1530,9287873288456;0,007638915010162842;
35000;517,8219008218454;996,1994429110111;1496,7154997552984;0,00012731174450285229;
40000;501,90979932485936;954,7010501831649;1462,5964125050702;0,00012730522927692316;
45000;482,985753439697;923,3068685031288;1429,3124983288276;0,00012730466241919202;
50000;474,1109944310712;892,7866475635284;1402,1665986371302;0,00012730415176823346;
55000;469,28245408064674;863,9081162991698;1338,132575699615;0,00012730306674105425;
60000;469,28245408064674;845,8934776131879;1273,080177930937;0,00012730245001269698;
65000;462,6374757995425;826,8143853910962;1227,9544136019206;0,00012730203109943735;
70000;456,9436171540064;806,9111543423933;1216,3703438699772;0,0001273015607390941;
75000;453,61883460321354;795,1861303314247;1199,1664876122134;0,0001273011121156742;
80000;446,28005033159815;766,3366331436475;1193,0215999933062;0,0001273001480816068;
85000;438,3616721412645;755,1681168124834;1172,612930271844;0,00012729923716203;
90000;435,34924009585507;744,7121562051631;1157,890295651191;0,00012729810426511298;
95000;416,16186880149303;734,5835317913892;1146,2732220597782;0,0001272978528807774;
100000;410,7519684050674;730,5316990944409;1111,708304983979;0,0001272971954070575;











============================================================================
Função: Ackley
============================================================================
parameter;AGEOreal1_P;AGEO2real1_P_AA;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;
meanNFE;100020;100006;100130;100130;
meanFX;0,18255202180754396;0,229259367058298;0,772313290820018;5,312492491545603E-05;
melhorFX;0,12166864708133218;0,07834295797111679;0,01947429319118399;4,3787113504833997E-05;
piorFX;0,2628487514547473;0,5267510633581622;11,759748236676288;6,241936952378069E-05;
medianFX;0,18419920530450895;0,21015931352572892;0,07412883537208259;5,434298955364625E-05;
sdFX;0,028172865583963525;0,10699494744170039;2,663175930617441;5,520184329002426E-06;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEOreal1_P;AGEO2real1_P_AA;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;
5;20,93021896027607;20,905471911703554;20,873366357286535;20,948561740559317;
50;20,878076848852736;20,83006012790072;20,82753301421098;20,895947331282482;
100;20,83721967412777;20,76346870568629;20,80855441709196;20,873463928283098;
500;20,03826706563489;19,978579476570136;20,73099357470768;20,83758541493913;
1000;19,485782488231028;19,35757714139736;20,583142700596472;20,83758541493913;
1500;19,382619915661888;19,082039697248426;20,466992660979713;20,79109417272832;
2000;19,33702313514641;18,737963891422666;20,277596646816793;20,781677477816864;
2500;19,30711427966295;18,256613932379317;20,108027672882532;20,688031368681628;
3000;19,28095120451782;17,56321097660607;19,978613234892055;20,65897684832876;
3500;19,265762581003887;16,848474162799995;19,79510365207294;20,537681197569047;
4000;19,255407674424234;16,25637306945535;19,681271127038734;20,464289246153612;
4500;19,241178372501068;15,631573917017572;19,501390278413155;20,253465774166543;
5000;19,22943848344406;14,98213612122237;19,349509889083244;19,865943572761363;
6000;19,199683026518855;13,323580912578848;19,092053472425842;19,015393740755155;
7000;19,162835361568295;11,424859814833727;18,824468843135055;17,9262232679382;
8000;19,13256886347905;9,982085709723556;18,578760271257053;16,229386921498197;
9000;19,10489084973962;8,825940915070477;18,302813174754824;13,46507854469962;
10000;19,072817766267367;7,695460338335312;18,00611952110352;10,589470830707022;
12000;18,984254619560566;5,862795371883878;17,330554720717917;5,686116179278108;
14000;18,891478648555104;4,433127157104439;16,596750201135638;2,5354093838075995;
16000;18,771000601796143;3,823392119213097;15,925850407166452;1,2556076507229041;
18000;18,614508905946625;3,051790091102527;15,144045758547625;0,43328215068339887;
20000;18,44954710611755;2,2446322218229025;14,380569428296344;0,13033910624666553;
25000;17,682829939880566;1,193517333899068;12,226911360468652;0,000588818425683139;
30000;15,609091319384026;0,6053796244108619;10,01722480857736;8,172438278476098E-05;
35000;12,541350630969049;0,5128402968637631;8,179017917265362;6,877685157107294E-05;
40000;10,24072726286327;0,47067184301961107;6,71667740157712;6,430956596380119E-05;
45000;8,839259641829642;0,41678485993682757;5,396358542079083;6,145496825003723E-05;
50000;6,629310724837551;0,3809331734361302;4,080247621728618;6,145496825003723E-05;
55000;3,9416069544753487;0,36815929161354966;2,9898076722296967;6,0332777141169916E-05;
60000;1,9177363749766378;0,35794565334924255;2,343446903722873;5,830350312419815E-05;
65000;0,8719952764134697;0,3455115187101246;1,9423090246222339;5,7002660503139664E-05;
70000;0,37927807775462047;0,3349992673616355;1,6945470754010534;5,620161120051629E-05;
75000;0,20491549088227312;0,3100925066848017;1,4945953428333973;5,573688597640588E-05;
80000;0,19645821941112812;0,30163840523406465;1,307049193018939;5,5178152455800005E-05;
85000;0,18839271016397088;0,2740415788545731;1,1661570652506346;5,504454166048352E-05;
90000;0,18688722197635269;0,24663295133836177;1,0218639702940033;5,490584929207879E-05;
95000;0,18321537376009225;0,23651258026983027;0,860692492077622;5,429797919293359E-05;
100000;0,18255202180754396;0,229259367058298;0,772313290820018;5,336848182544429E-05;











============================================================================
Função: Beale
============================================================================
parameter;AGEOreal1_P;AGEO2real1_P_AA;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;
meanNFE;100000;100002;100020;100020;
meanFX;1,2751160463662806E-05;1,5019429358152584E-05;0,1269322889614501;5,967519634497982E-08;
melhorFX;4,510067271752465E-07;5,06528312174996E-07;1,1748475775069163E-08;2,3128109080752742E-12;
piorFX;5,0368512507419875E-05;7,64716649693873E-05;0,761592826426333;9,000901373205467E-07;
medianFX;9,097429196350833E-06;1,1514431318398971E-05;9,054648715063903E-07;2,2460972838140368E-08;
sdFX;1,2341704534367967E-05;1,651948594549992E-05;0,2886786051820176;1,6196372159815558E-07;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEOreal1_P;AGEO2real1_P_AA;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;
5;7801,198543627561;6120,414120589631;6414,598740725411;7648,872409179697;
50;2540,028787913844;99,35614170378523;1647,0710111206647;1596,4823344692854;
100;1895,4063692136995;6,673226418804938;906,2274089147268;1147,384978557505;
500;2,5476051125479104;0,28225514494692966;0,7215175181384214;31,832580080415596;
1000;0,6745794548574421;0,16910057299611211;0,6476537248909828;0,9990787702073914;
1500;0,5261553305824271;0,08911679808629559;0,30829515323753803;0,8244141589798493;
2000;0,2619276426277901;0,02804806793876704;0,30178265234614776;0,5746820727401829;
2500;0,25479351350691953;0,0023496639072905826;0,2932956157039802;0,49378227260964114;
3000;0,25244808533100715;0,0015605861564056216;0,2910606691450809;0,40105384012172707;
3500;0,1993229300226867;0,0009570452685081996;0,28669815127188364;0,22620967369634026;
4000;0,1579894539634803;0,0008179527760000406;0,28232830568136813;0,21220690768545716;
4500;0,14161227856339803;0,0007430446297771333;0,25709664989558284;0,21079299931942433;
5000;0,14153965314632402;0,0006782322450378028;0,25670487439290685;0,20997321981200331;
6000;0,10833219639812232;0,0005917317349123062;0,2546056747518908;0,20819708452916447;
7000;0,10605171059707791;0,00046194634794385626;0,2541062353962289;0,20373497590748665;
8000;0,10546855190141476;0,0003357382477783016;0,2540832380089738;0,19946477298705034;
9000;0,10542452121168791;0,00030011037799490233;0,2539917529917791;0,19555526607288573;
10000;0,10540178427692935;0,000294582798842374;0,2539911020882989;0,1818547012283661;
12000;0,026285009911840636;0,00022468961298830161;0,2539052318320349;0,15574021244878591;
14000;0,026232715230065866;0,00018405869458601416;0,2539045722926555;0,10561056557963665;
16000;0,007395507959097836;0,00012936203354704876;0,2538860693092936;0,0797235199150104;
18000;6,779702386866062E-05;0,00012936203354704876;0,2538836769795621;0,06337950894141867;
20000;5,502768504400281E-05;0,00012449130460359532;0,2538836769795621;0,054419463512667236;
25000;3,8484706685032025E-05;9,409193618536723E-05;0,2284959168239845;0,05435128076371558;
30000;3,2113217326539545E-05;8,427601578561762E-05;0,20310535254657963;0,051941583764079834;
35000;2,176235204173776E-05;7,023596176023888E-05;0,20309884540997278;0,04673980441829658;
40000;1,850389742032462E-05;6,232851453788912E-05;0,20309863512909365;0,04673980294835818;
45000;1,6879491738735718E-05;4,168177284745151E-05;0,17771362234123672;0,014690073931652907;
50000;1,6076958274322446E-05;4,1372447524252055E-05;0,17771227766132028;0,002342911100190305;
55000;1,5913602412607297E-05;3,9147565089225646E-05;0,16732817819535883;1,677308961275172E-06;
60000;1,580551397621345E-05;3,255941290375997E-05;0,1523245721396151;1,5560320782053347E-07;
65000;1,5298336108498856E-05;2,4520318204446678E-05;0,1523245721396151;1,3909921612847156E-07;
70000;1,498154961498443E-05;2,1418413341063742E-05;0,1523245721396151;1,3394501953362196E-07;
75000;1,4437905195723522E-05;1,863971886623357E-05;0,15232455791768493;1,3363519326826717E-07;
80000;1,367311014230624E-05;1,8015709838457937E-05;0,15232189716423902;1,3091364561281652E-07;
85000;1,3240819483630596E-05;1,559889697461005E-05;0,12693395427432558;1,3067913913707188E-07;
90000;1,3159277209448344E-05;1,546000137012588E-05;0,12693270370652646;6,476557195160739E-08;
95000;1,2751160463662806E-05;1,5019429358152584E-05;0,1269323394521049;6,038048932879953E-08;
100000;1,2751160463662806E-05;1,5019429358152584E-05;0,1269322889614501;5,967519634497982E-08;



Execution Time: 160749 ms
