




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEO1;AGEO2;AGEO3;AGEO4;
meanNFE;100100;100100;100100;100100;
meanFX;0,45850451698607786;0,09247301946555152;0,22140107993102465;0,12702935668977955;
FXatual;0,45850451698607786;0,09247301946555152;0,22140107993102465;0,12702935668977955;
medianFX;0,30993231251916;0,09472442184101204;0,16697103648244072;0,10745224108391238;
sdFX;0,6601186196150478;0,05658191320344436;0,18159487472580146;0,08564195534360285;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO1;AGEO2;AGEO3;AGEO4;
5;254,7846327582616;254,7846327582616;254,7846327582616;254,7846327582616;
50;226,38060343722415;226,38060343722415;226,38060343722415;226,38060343722415;
100;210,55700064100358;210,55700064100358;210,55700064100358;210,55700064100358;
500;157,04480733479474;156,98253104816777;178,4620488169118;126,20930667509492;
1000;108,03168245700734;66,53803199322498;142,62611664503163;38,10660142728316;
1500;78,91184469898609;23,238867964818418;87,87372465428308;14,63844742993823;
2000;59,061670478671786;8,658467486787824;53,0781240782324;6,415516722195692;
2500;38,713106014115965;4,355142814338165;40,50299633882078;3,1990411325743775;
3000;24,641191057578876;2,2236035369763227;31,433331104257444;1,7863108104240673;
3500;18,94705833809662;1,4506139375597262;25,881392056668822;1,2318048736851712;
4000;14,32223881589864;1,0365137508637776;23,78887628025096;0,9248129888197599;
4500;11,256578125562418;0,8075443706771436;22,246825440125637;0,7818282555772773;
5000;8,603736163922289;0,6652277708174636;20,089490838128977;0,6786560531176448;
6000;3,1261216498239808;0,4945882326095609;17,935346511157398;0,514255055130068;
7000;1,7559501950177427;0,4130313698835923;17,40694477389531;0,40462096574037326;
8000;1,6175865254940467;0,37641942223462627;17,220930446161194;0,35051084357289597;
9000;1,588001851271652;0,3292560541853136;17,137381139170788;0,3292004649200365;
10000;1,489674025967889;0,2957470551688359;16,062067734929332;0,30984999156920773;
12000;0,7677564787942947;0,2851802868428041;12,9123977133515;0,28889400298216633;
14000;0,6355429466140203;0,27597679497297123;4,29539709128847;0,28673262977549346;
16000;0,6200272707908092;0,25170634174988943;4,155176486477141;0,2622912154395747;
18000;0,6198000688392135;0,2425105022152084;4,113969851092244;0,25592202261440655;
20000;0,6198000688392135;0,22991729197828656;1,1163576349817659;0,2354898379421247;
25000;0,6198000688392135;0,1963417947912605;0,30189792622756306;0,21076565570062972;
30000;0,5815254756208229;0,1890948395239827;0,29690629358209986;0,205603559771791;
35000;0,5815254756208229;0,1785016734680248;0,2934951053364504;0,19254890568402375;
40000;0,5815254756208229;0,15152393975527978;0,2564076399547997;0,1882729861810361;
45000;0,5815254756208229;0,13471793199528231;0,2548078541601253;0,18036714248657706;
50000;0,5815254756208229;0,13233709002605248;0,2548078541601253;0,17176561042524602;
55000;0,5815254756208229;0,12796223309216034;0,2548078541601253;0,17087268272770087;
60000;0,5815254756208229;0,11949216732462045;0,2548078541601253;0,16211994300370675;
65000;0,5815254756208229;0,118411812995532;0,24988548357166623;0,15718684321593987;
70000;0,5815254756208229;0,11594968280449128;0,24333923920004832;0,15130936018906746;
75000;0,5815254756208229;0,11594968280449128;0,23992304803934297;0,14687879617718508;
80000;0,5815254756208229;0,1155656140178283;0,22893366609010843;0,13943942710882035;
85000;0,45850451698607786;0,10290626090219702;0,2288985909166593;0,13713997468722525;
90000;0,45850451698607786;0,1008411660767501;0,2288985909166593;0,12854505222765175;
95000;0,45850451698607786;0,09467419840724361;0,22304108976882606;0,12853752586460898;
100000;0,45850451698607786;0,09247301946555152;0,22140107993102465;0,12702935668977955;











============================================================================
Função: Rastringin
============================================================================
parameter;AGEO1;AGEO2;AGEO3;AGEO4;
meanNFE;100160;100160;100160;100160;
meanFX;17,542512312851628;13,846583752863287;18,29582570172474;16,104218275732983;
FXatual;17,542512312851628;13,846583752863287;18,29582570172474;16,104218275732983;
medianFX;18,177013236069413;14,995029073101364;18,115150161017958;17,037669401413083;
sdFX;5,646743829397878;4,374220000993957;5,4399809787013815;4,571585562282436;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO1;AGEO2;AGEO3;AGEO4;
5;227,1783141922405;227,1783141922405;227,1783141922405;227,1783141922405;
50;219,6299779277315;219,6299779277315;219,6299779277315;219,6299779277315;
100;214,20063235090808;214,20063235090808;214,20063235090808;214,20063235090808;
500;205,87366632499013;210,05352443934595;208,75498113321382;203,02680772959468;
1000;191,0039718721515;193,98163475724144;205,0525829770973;177,95460941866884;
1500;178,0648098501932;171,00830486358993;199,22818528602284;154,13018003418637;
2000;159,8287034686936;142,1978437246343;186,86102141064322;126,60919672458014;
2500;148,2909104341208;124,06006937948816;178,16296163517382;109,84611354589866;
3000;132,98862373594793;102,71926606980266;166,13906189723303;90,60736778587611;
3500;122,76005868928499;91,03701500371447;158,39539996953587;80,95696264264278;
4000;109,55141341951422;77,2807086529235;148,793039165105;68,22769677819801;
4500;99,545612519875;67,75284752433896;139,6140755230134;60,84742128930689;
5000;90,63361281929534;60,270880271538196;129,0515535559224;53,70158032537044;
6000;75,76341977745189;48,62397470604303;111,33237707914249;43,27740122752884;
7000;65,02819376605181;40,05420650401484;93,12419854808488;35,901054808082776;
8000;55,498207439032974;33,57657890269402;80,12625838034934;30,57894778737848;
9000;46,16919127063764;28,033101442613034;69,94554085650468;26,180075295662288;
10000;39,83098423560341;24,32817592866196;62,461102190663055;23,573754995614937;
12000;31,089201027347073;20,622214495979073;49,96787647425794;20,771191218255346;
14000;26,347123469213447;19,209876329140453;44,015240827352436;19,889363942675015;
16000;23,829163447924483;18,20506065405356;40,81824148223748;19,142255603807435;
18000;20,81203140343166;17,923858262847382;39,11867093064123;18,947890550037958;
20000;19,530300198172895;17,81272360450953;37,72481436448903;18,87012727912431;
25000;18,248490180384444;17,72268442620479;32,30810887317249;18,80831331024227;
30000;18,104005854452204;17,708077024882925;22,146927639941797;18,797864787036946;
35000;18,085541246393387;17,53402129959866;18,935677974560054;18,664633810115095;
40000;17,857028117378835;17,348309974865938;18,36992627706877;18,530753528963753;
45000;17,621477720287587;16,586444203961534;18,303153869103898;18,295725006589187;
50000;17,58965882110341;16,568067912061572;18,297050359753637;18,06202286025184;
55000;17,566781687953096;16,206949627593108;18,295921372540867;17,69137143521691;
60000;17,566781687953096;15,613587187816512;18,295827223641076;17,503495907021637;
65000;17,542512312851628;15,362564806370823;18,29582570172474;17,36185781391789;
70000;17,542512312851628;14,843816453816714;18,29582570172474;17,191984208646875;
75000;17,542512312851628;14,696736022125666;18,29582570172474;17,027997889273944;
80000;17,542512312851628;14,432251956047224;18,29582570172474;16,913984061789296;
85000;17,542512312851628;14,394656685493581;18,29582570172474;16,474568991377406;
90000;17,542512312851628;14,30849241049849;18,29582570172474;16,273560688741693;
95000;17,542512312851628;14,07044415463231;18,29582570172474;16,10931660940451;
100000;17,542512312851628;13,859983298860131;18,29582570172474;16,104218459711888;











============================================================================
Função: Rosenbrock
============================================================================
parameter;AGEO1;AGEO2;AGEO3;AGEO4;
meanNFE;100022;100022;100022;100022;
meanFX;0,00015999083583332832;2,3683628958335006E-05;0,0012873940497917062;3,749873958333306E-05;
FXatual;0,00015999083583332832;2,3683628958335006E-05;0,0012873940497917062;3,749873958333306E-05;
medianFX;0,00010703950624998192;9,00810000000055E-06;0,00045515210000007865;1,6025600000000083E-05;
sdFX;0,00018377340506155106;3,536626864852195E-05;0,002802498416471983;5,096715694966802E-05;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO1;AGEO2;AGEO3;AGEO4;
5;59,40745035221979;59,40745035221979;59,40745035221979;59,40745035221979;
50;9,069330946629378;22,71702917953938;19,794562338320006;11,830972016486461;
100;3,003481509873126;3,068737946992708;7,9368281929933335;2,2187198757133326;
500;0,6151582636768754;1,113517912087708;1,4768436064981256;1,2420902342539577;
1000;0,44757674715729173;0,7278368869743751;0,3735819203668751;0,7914647099272919;
1500;0,23652552163729157;0,610637985911458;0,2531248278437499;0,41536465116104143;
2000;0,11821949827083336;0,37259477207791664;0,1613257250772917;0,25739106436062514;
2500;0,09693413261687504;0,2707990589647916;0,1584965074772917;0,22996102579687505;
3000;0,06263625376041669;0,17102515343458344;0,12974283863375;0,20161874059354162;
3500;0,06217545067375001;0,11055118779375005;0,12620435378083325;0,1666855969966667;
4000;0,05831998084708327;0,10879999804062503;0,12320347839729161;0,15505437669666666;
4500;0,03885965151041664;0,09956319983416677;0,10826475743687493;0,1472008193466667;
5000;0,029887275247291647;0,08939537436041678;0,04623502208666679;0,11249762116666671;
6000;0,007396459153749979;0,08836032217395846;0,024010943216875184;0,08542544282958336;
7000;0,006727884570416639;0,06310654480104175;0,02321383601687518;0,0578963221525;
8000;0,006431502043333318;0,03303248745083334;0,01843671404354177;0,053335281819375004;
9000;0,004600446663333324;0,030121509734166736;0,014994275750625086;0,051684367183125;
10000;0,00423722388624999;0,028071143150833408;0,012850531927291747;0,049640322533125;
12000;0,002464129286250019;0,0015681980404167093;0,012167225627291665;0,014164753705833363;
14000;0,0022671465393750193;0,0008161898837500368;0,010598915950416675;0,007135537719375025;
16000;0,0020896368393750198;0,0007714446837500382;0,009671040310000007;0,00488460689229169;
18000;0,001957170052708353;0,0007220598170833576;0,0074448996631249886;0,002921456192291697;
20000;0,001532713279791692;0,0004907121835416778;0,0074448996631249886;0,002901952042083356;
25000;0,0009724538768750105;0,00048168752000000986;0,0056336983797917245;0,002394129428541679;
30000;0,0008375509068750029;0,0004632686495833389;0,0032534711964584133;0,0005294868225000076;
