




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEO1var_3;AGEO1var_5;AGEO1var_7;AGEO1var_9;AGEO1var_11;AGEO2var_3;AGEO2var_5;AGEO2var_7;AGEO2var_9;AGEO2var_11;
meanNFE;100100;100100;100100;100100;100100;100100;100100;100100;100100;100100;
meanFX;2,6918346261991597;1,6382432565268965;1,9674880725226132;2,0987581018775203;2,027910741952825;0,022992941070043692;0,005631338279867748;0,013084415398776295;0,018863017159099785;0,013739706714155479;
FXatual;2,6918346261991597;1,6382432565268965;1,9674880725226132;2,0987581018775203;2,027910741952825;0,022992941070043692;0,005631338279867748;0,013084415398776295;0,018863017159099785;0,013739706714155479;
medianFX;1,1700618109876775;0,9730885954158395;1,0273906895598333;1,04041050775975;0,8849654464388108;0,014940259432291603;0,004842960201647539;0,007163575718646342;0,006841104896752936;0,0062443422197835385;
sdFX;2,736796595259869;2,1572541202266557;2,2709475952226015;2,54309657608988;2,1314069019118707;0,019251088753058223;0,002831577168046977;0,01991521560105373;0,026050322731334494;0,014928432735362923;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO1var_3;AGEO1var_5;AGEO1var_7;AGEO1var_9;AGEO1var_11;AGEO2var_3;AGEO2var_5;AGEO2var_7;AGEO2var_9;AGEO2var_11;
5;287,4481620629374;287,4481620629374;287,4481620629374;287,4481620629374;287,4481620629374;287,4481620629374;287,4481620629374;287,4481620629374;287,4481620629374;287,4481620629374;
50;254,70227938500048;254,70227938500048;254,70227938500048;254,70227938500048;254,70227938500048;254,70227938500048;254,70227938500048;254,70227938500048;254,70227938500048;254,70227938500048;
100;239,78866109572698;239,78866109572698;239,78866109572698;239,78866109572698;239,78866109572698;239,78866109572698;239,78866109572698;239,78866109572698;239,78866109572698;239,78866109572698;
500;64,51228141197451;59,21063312017258;48,35347017119378;52,35199499360238;62,979269807700156;67,40082731929942;47,321804062935236;48,745256009829944;55,97025376030931;59,45998571896057;
1000;22,037779115806874;9,003253891602618;11,943464025762216;8,741397589114845;14,618694822722194;2,549901772936017;2,9347018535933573;1,0643743084827517;2,7334316795178846;5,150313285372296;
1500;16,019625495024506;5,917843339316963;7,796001965677503;6,477588358291654;10,771333677518438;0,8540522404590654;0,5364855953944122;0,501775006445368;0,8008838560295458;0,8527376372821842;
2000;13,640675918225947;3,786648694879077;6,312961674373729;5,918178675673795;8,056049007253815;0,622212453127579;0,289112601039336;0,37293552249288925;0,312890230339467;0,3241325873736494;
2500;10,50737997347198;3,475692115959204;6,2056031065307184;5,043907457087729;6,109728919934;0,4778592722886202;0,2641510510709038;0,3507873418829979;0,2651207439695434;0,24399257280436784;
3000;10,072387315624317;2,6815510268671883;6,179458675114731;3,7892231805668435;5,11265036119208;0,3985830888065203;0,2525174405338794;0,3044006010710525;0,25981841880827145;0,21467688146933853;
3500;9,861562783694136;2,6815510268671883;5,529558681931589;3,7892231805668435;5,103871086619234;0,3371886884765702;0,24558003060454445;0,30404384986756633;0,2583098942981373;0,1971294734307712;
4000;9,390641274287336;2,6815510268671883;5,529558681931589;3,7892231805668435;5,103871086619234;0,28643174540282423;0,20672423669550896;0,30404384986756633;0,2583098942981373;0,19653509676990927;
4500;9,390641274287336;2,510213227353087;5,42418457195197;3,7892231805668435;5,103871086619234;0,26295590186331097;0,18194614717714955;0,30404384986756633;0,25481778006304007;0,19653509676990927;
5000;9,157330521092897;2,4823933328908665;5,018679293715842;3,7892231805668435;5,103871086619234;0,24591285040055802;0,16763949943296483;0,284857853135233;0,25235010121126533;0,19653509676990927;
6000;7,264556473333237;2,4823933328908665;4,944895866393678;3,776937499284249;4,617474823059444;0,23204944098915675;0,1300359372720343;0,25181560955219023;0,25235010121126533;0,19653509676990927;
7000;7,066510157303516;2,1563122133532633;4,779387278665677;3,7449506384046427;4,568614000625516;0,1806918243181045;0,11415993065809951;0,20729401492731653;0,23774214770284488;0,19653509676990927;
8000;6,394877433953123;2,1563122133532633;4,227428538127469;3,7449506384046427;4,33807638101669;0,17106101486819297;0,101748219393845;0,14276286565397295;0,21285829164558365;0,19634336224956453;
9000;6,394877433953123;2,1563122133532633;3,9436319483785485;3,4701057023403767;3,572248693658232;0,16302031494710345;0,07451332946205877;0,1289544392133365;0,17845747941973278;0,19634336224956453;
10000;6,394877433953123;2,1563122133532633;3,7066809809066115;3,4526956349680713;3,3519950723152596;0,15376044611547648;0,07175973032617938;0,12161946845028777;0,1526906112939103;0,1908861762488669;
12000;5,955516524411108;2,110523148305863;3,7066809809066115;3,041760975326959;3,191192643731007;0,12860668483040638;0,06565392766696285;0,11589117662387109;0,15258921400479483;0,15911829876746825;
14000;5,415152033228332;2,110523148305863;3,6765449976246014;3,0044679502748393;3,134097494125285;0,11994280605773965;0,061609802431655085;0,0855536346898771;0,14847967029885326;0,14399731421758713;
16000;4,841457575173431;2,1002875417065483;3,656340771904629;3,0044679502748393;2,8439795616946992;0,09486022973709936;0,05342040350784075;0,08032982236526516;0,14303088411704917;0,14289687441129725;
18000;4,34863851593841;2,1002875417065483;3,656340771904629;3,0044679502748393;2,829780654529995;0,0946957942858678;0,04786981274284159;0,07242211573558051;0,11231312880570848;0,13466326596869382;
20000;3,9778836075993342;2,0661543689370485;3,3182992836726637;3,0044679502748393;2,829780654529995;0,08355199014884872;0,04542670185921636;0,0605213731634248;0,10736020506196294;0,12556702524261049;
25000;3,8185789489469366;2,0661543689370485;3,3182992836726637;2,840413129518064;2,6143172023570798;0,07058336799418696;0,036536336149632476;0,05310583355134346;0,08670623640860427;0,08770492965824227;
