




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEO2var_5;AGEOreal1_P;AGEOreal2_P_DS;
meanNFE;100100;100000;100000;
meanFX;0,008530432941129939;0,18366394339433448;0,332497828482268;
FXatual;0,008530432941129939;0,18366394339433448;0,332497828482268;
medianFX;0,0062650660100936895;0,18272075501329188;0,3368269135236476;
sdFX;0,007425859549124764;0,03880996941107466;0,05718772356815097;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2var_5;AGEOreal1_P;AGEOreal2_P_DS;
5;247,07911736544497;307,2923375796703;306,3659178732164;
50;219,33962154874726;303,5900444116525;298,9013303669369;
100;210,71507184152944;298,1243982949402;287,75972891210154;
500;50,252818929327304;237,48742940710773;177,0544964479482;
1000;3,3581625082005457;171,29659242262247;79,05121290191775;
1500;0,8324459265024121;116,50920179754971;24,21376028884655;
2000;0,33960931717643805;73,27881966889944;4,076592433984869;
2500;0,27459446794082293;40,7521994890147;0,892286874192774;
3000;0,2587996843897641;20,086168690017896;0,7123498221746779;
3500;0,23985472379055675;7,966950090384566;0,6863993907015935;
4000;0,18324273623784873;2,8249020129448876;0,6380359094209822;
4500;0,17373310013904372;0,9906193154302405;0,6151908520069554;
5000;0,15342140056310524;0,569731317663569;0,5902296621225739;
6000;0,12151653866373405;0,42283554174586124;0,5682953454059875;
7000;0,10024393608789177;0,38583806847429364;0,5400913430149684;
8000;0,09063854198851952;0,36803223072014435;0,5343292124535168;
9000;0,08984084493345398;0,34823638976624804;0,52718550653472;
10000;0,08522461333881828;0,3309400307117595;0,52718550653472;
12000;0,06341514469023904;0,30252238041862745;0,5058623597369782;
14000;0,057328348679672;0,2906286771950684;0,49566975690828025;
16000;0,05633021698209325;0,2747053926421933;0,47815337192302215;
18000;0,04777466318090216;0,2687409267380921;0,4654057130700381;
20000;0,038501303126409314;0,26215310068837394;0,46118806037185933;
25000;0,0269077659983867;0,24975396390987487;0,4327195930877566;
30000;0,022008683067567706;0,23701560960245804;0,4239271279540736;
35000;0,01875661776054864;0,22290889331142122;0,41485578264491957;
