




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: griewangk
============================================================================
parameter;AGEO2var_5;AGEO2real2_P_AA_p3;
meanNFE;100100;100089;
meanFX;0,007365065517401959;0,018257872468239594;
melhorFX;0,0018475211999396945;1,9841905896100798E-12;
piorFX;0,028135968470054173;0,07127815746455146;
medianFX;0,005987001333528474;0,014779776757920637;
sdFX;0,004694904903907278;0,01662273672629172;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2var_5;AGEO2real2_P_AA_p3;
5;286,2950010761244;283,73689562214304;
50;259,2445692433992;260,2165444601501;
100;248,7190038230732;258,56819440194516;
500;62,837332526493945;183,74049839666506;
1000;3,824789543315491;68,25889682093519;
1500;0,6304575831217778;25,679343928572074;
2000;0,35967951410739496;7,845225520165818;
2500;0,30164235813039375;2,6534324238961546;
3000;0,26575886297134427;0,982571271410604;
3500;0,2597212070974343;0,5754972644784335;
4000;0,24314435238958987;0,15185234801139946;
4500;0,20351925334978735;0,12645278707443605;
5000;0,166213535669552;0,10922753645155225;
6000;0,14058320729953938;0,07271265970049323;
7000;0,11954945895885599;0,06537867516309703;
8000;0,10300120897666037;0,06188125875802657;
9000;0,0958677620974415;0,049395470027081785;
10000;0,09001938400950366;0,045324201220254504;
12000;0,06900326336429749;0,03732801556917153;
14000;0,06008183789938636;0,03705125861605946;
16000;0,05238511657361996;0,036065232077320514;
18000;0,048214840712060995;0,034391345816405766;
20000;0,03963420309074361;0,03376964289897442;
25000;0,029795454065853565;0,029930693735398185;
30000;0,02718679400746331;0,028629538903057195;
35000;0,025064057923272324;0,027992912010669398;
40000;0,022312299865521162;0,027157300493239965;
45000;0,018119039050615005;0,024068980429781187;
50000;0,015672547827775173;0,022886904591013342;
55000;0,015136831215606758;0,022879238295543072;
60000;0,014166726508912899;0,02253441673893131;
65000;0,01311886446416798;0,021797459332956615;
70000;0,012834962037230028;0,021699209910506934;
75000;0,012330501694871692;0,020520605239214715;
80000;0,009504945544027516;0,02017598089033549;
85000;0,008073522789621741;0,01963718905313021;
90000;0,0076321612758867554;0,01929017363982257;
95000;0,007460027230022881;0,018896373681379107;
100000;0,007376172667484404;0,018257872468239594;











============================================================================
Função: rastringin
============================================================================
parameter;AGEO2var_5;AGEO2real2_P_AA_p3;
meanNFE;100160;100170;
