




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Beale
============================================================================
parameter;GEOreal1_P;AGEOreal1_P;
meanNFE;100000;100000;
meanFX;0,025400738597369556;8,482976701572678E-06;
FXatual;0,025400738597369556;8,482976701572678E-06;
medianFX;6,575746181584556E-06;3,6359286460309008E-06;
sdFX;0,13908330454815263;1,032152223371486E-05;
==========================================================
===> f(x) médio para cada NFE:
NFE;GEOreal1_P;AGEOreal1_P;
5;9241,534370502775;9472,964864912532;
50;3995,027100452341;2752,846592599352;
100;1095,7244854331386;1308,6301902538517;
500;1,027911396580136;0,8493288685209393;
1000;0,47243811575484285;0,6633875858079813;
1500;0,2571820662398629;0,5148291412787335;
2000;0,25110067548769155;0,45286115579234854;
2500;0,2489964511762636;0,4483327300361967;
3000;0,24618031294539405;0,4043438986353079;
3500;0,24610844348387684;0,35846736249970296;
4000;0,2362416390101374;0,3401855648788691;
4500;0,23265198424842312;0,3106379708375584;
5000;0,23264076062724706;0,2881155755438496;
6000;0,23263837909386748;0,21786873633153478;
7000;0,23120683307327256;0,19244458096878583;
8000;0,23094254000566655;0,10953851834548047;
9000;0,20437932527412944;0,055612962628103994;
10000;0,20428779723485818;0,0551648763158047;
12000;0,2039564873144414;0,05474309130289755;
14000;0,2035662113862708;0,05472379634292974;
16000;0,20356126319531928;0,025454040928856884;
18000;0,20349064885142118;0,02543749173271033;
20000;0,1831480363802817;4,045395931651295E-05;
25000;0,1526875771094095;2,8926379871247838E-05;
30000;0,15259530513211494;2,4588222404169553E-05;
35000;0,1271549234093137;2,2361329986970984E-05;
40000;0,1271037556928861;2,087571327430041E-05;
45000;0,08410129869806715;1,754763669706625E-05;
50000;0,050811782075268666;1,6611911745057834E-05;
55000;0,025416381819951886;1,5131585707654607E-05;
60000;0,025415813459217406;1,4244314408198086E-05;
65000;0,025413772543839436;1,1820953390918892E-05;
70000;0,02540839639574377;1,0371986482195093E-05;
75000;0,025405609403176075;1,0305595754444592E-05;
80000;0,025404490295278494;1,0154687846781926E-05;
85000;0,025403020614094256;9,137292275999477E-06;
90000;0,025402018432212046;8,718221547096161E-06;
95000;0,02540132888686723;8,718221547096161E-06;
100000;0,025400738597369556;8,482976701572678E-06;

==========================================================
===> f(x) atual para cada NFE:
NFE;GEOreal1_P;AGEOreal1_P;
5;11664,386318622732;9969,778516218796;
50;5427,647472476864;4047,3849938835906;
100;1418,3117815311516;2375,4016522381175;
500;5,987367797641557;10,907894685380198;
1000;26,81551234159866;20,384401800080944;
1500;3,0641603381322904;141,9693956859921;
2000;10,512244180528286;568,5812414597548;
2500;4,4050569604575776;289,90308274405396;
3000;7,629036634143623;10437,726335462929;
3500;8,533569127669212;1638,0072261269283;
4000;27,558000328331982;27,465671327881523;
4500;3,3985992289118245;31,670818604432473;
5000;16,369290407063875;25,832754322980758;
6000;12,103329372549613;8,155647684382128;
7000;14,057940278704296;22,39778665326543;
8000;3,0882563200172752;3,4655249963859593;
9000;9,357807687762364;26,832729386886733;
10000;15,382243393533981;11,762862234096833;
12000;8,839809197032809;4,088497020195729;
14000;9,45429126189843;32,78313749387078;
16000;52,237111464251115;20,402526384268;
18000;6,222309487695245;7,5395270578759055;
20000;86,14018162394926;40,90586626250816;
25000;8,700067718747395;6,768718039423157;
30000;9,013988741489804;5,416779289694243;
35000;21,993047762708652;8,409193503156104;
40000;13,039929446416444;3,5885486870975187;
45000;18,840396435002187;50,1119064786283;
50000;5,19183286149096;3,357180784958514;
55000;2,0683431480399572;34,2140124267332;
60000;5,8304340652897;5,453060090059029;
65000;13,004865749984097;5,531725110571214;
70000;62,540587742903526;44,239622858815544;
75000;1,5710603673775851;3,5886919322436532;
80000;2,6952572367454106;2,7027582473354084;
85000;6,551473642971472;10,77398336203524;
90000;3,831676484131653;8,163121036129997;
95000;3,6637030455596995;6,322275354314174;
100000;1,603036441687159;11,425590359273123;

==========================================================
===> TAU para cada iteração:
iteracao;GEOreal1_P;AGEOreal1_P;
1;1,5;0,8202066703208067;
2;1,5;1,099761133797523;
3;1,5;1,1588021420122456;
4;1,5;1,3307710207844503;
5;1,5;1,2965073002916454;
6;1,5;1,3974616820167562;
7;1,5;1,3645354153606968;
8;1,5;1,6850684122899442;
9;1,5;1,9722446522151278;
10;1,5;2,06290470042666;
11;1,5;1,6050520227909442;
12;1,5;1,184757852440583;
