




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: griewangk
============================================================================
parameter;AGEO2var_5;GEOreal2_P_DS;AGEOreal2_P_DS;
meanNFE;100100;100000;100000;
meanFX;0,008262282510636536;0,03388808071989957;0,012209678336340408;
melhorFX;0,00044834263462478763;0;0;
piorFX;0,04267046475292291;0,11799283814788442;0,049163723187979014;
medianFX;0,006211492604354385;0,027036998028778902;0,009857284607826422;
sdFX;0,0077112423061884705;0,026037836267979186;0,012098939879416522;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2var_5;GEOreal2_P_DS;AGEOreal2_P_DS;
5;240,69106634912842;299,795934924474;299,9815605396485;
50;209,51089190548274;297,92225968316137;298,20517904944353;
100;197,82297831229175;297,05036824369677;296,5394736690113;
500;60,44708703832539;269,78925147276743;287,98847885901506;
1000;2,9279245227938304;239,42535583911385;267,0652581594812;
1500;0,5458473850490645;210,49092955020885;239,09447195456752;
2000;0,28941129621945605;184,0005534742165;210,52213555594528;
2500;0,2667087494036422;160,1735259700797;183,43962401006956;
3000;0,2663894782053837;138,82197346886517;159,89834391716025;
3500;0,25870409260522137;118,65116146935945;136,49799820982372;
4000;0,21700811834219486;102,1432677238159;115,07319733065624;
4500;0,18752238809910218;87,64488791329956;96,07430893293049;
5000;0,14203447812620223;74,31730750910202;80,17655605130507;
6000;0,12911157567125303;51,51200568476893;53,785296713777726;
7000;0,12213923810418631;33,515562378935904;34,637476428763705;
8000;0,1048289707687261;21,199744273762214;21,08794395551553;
9000;0,09441396630134438;13,473072681278014;12,223459889628785;
10000;0,0833449239016022;7,310429373962594;6,507119847262958;
12000;0,07675638144556132;2,5424895743183282;1,7679004454067169;
14000;0,06384646488372071;1,0945913051387333;0,5715306164230711;
16000;0,060703155214101606;0,460926035811088;0,20516434941428885;
18000;0,050729316134046354;0,20415864687852195;0,11023310240022229;
20000;0,04671118210434796;0,13556188513418221;0,07478281384609044;
25000;0,03689226875285289;0,051409385952316526;0,03784181521009529;
30000;0,028950939144434668;0,04016794276330659;0,03217997883972542;
35000;0,023484470850191723;0,03887266118149442;0,027405276014052148;
40000;0,019920513016139795;0,03749254886994206;0,02420998859977037;
45000;0,01843436531229784;0,03739491853184667;0,021265608687008806;
50000;0,0172496519059138;0,03610370537419187;0,020719003772924856;
55000;0,016445515176836054;0,036103695423144705;0,01929212439978834;
60000;0,014041385438322996;0,03580883973565194;0,01884971122233222;
65000;0,011716047053538231;0,035366302545576794;0,016883261827562043;
70000;0,011074627533316037;0,034430881187325235;0,016341441538792592;
75000;0,011074627533316037;0,03443088102870233;0,01511258378853418;
80000;0,010172656794047634;0,0344308810287023;0,014274774292766752;
85000;0,008470020528185733;0,03403649199929967;0,01427477428498034;
90000;0,008452631718747623;0,033888080719916856;0,012700954641651092;
95000;0,008300640178517733;0,033888080719899606;0,012553026568051318;
100000;0,008262282510636536;0,03388808071989957;0,012209678336669529;











============================================================================
Função: rastringin
============================================================================
parameter;AGEO2var_5;GEOreal2_P_DS;AGEOreal2_P_DS;
meanNFE;100160;100000;100000;
meanFX;11,92237482727037;1,4210854715202005E-15;1,3358203432289883E-14;
melhorFX;4,967264452945173;0;0;
piorFX;19,14873503807255;7,105427357601002E-15;4,263256414560601E-14;
medianFX;11,975189554329774;0;1,4210854715202004E-14;
sdFX;2,9961786914904738;2,871026210164618E-15;9,038034286257788E-15;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2var_5;GEOreal2_P_DS;AGEOreal2_P_DS;
5;223,4678273739708;225,5639333087607;225,3440058746706;
50;215,4198526193268;221,76428231793122;220,94503335701904;
100;212,52571149903608;219,0028202028798;218,68623033580943;
500;171,50715635418365;146,07617121483418;203,00081489688992;
1000;92,0092540871705;102,6474438961587;175,5220115657249;
1500;56,11031326671211;66,93567602317587;132,94530680694498;
2000;31,14925376562153;48,51559088724627;105,26353661234843;
2500;25,85469376847988;33,896654178193295;72,23358332301014;
3000;24,231917628641394;24,60937247750335;53,254785535416204;
3500;23,871188432778414;16,74940509178661;37,007865081868516;
4000;23,83671101299884;12,848010426823349;27,134180240497322;
4500;23,832644043428218;9,672722765558383;20,061908720118527;
5000;23,83239044249829;7,83160063723236;15,326865121810046;
6000;23,83226679102037;4,7827806338395185;9,284099338928414;
7000;23,832249719360913;3,2857023563620125;5,475070569512225;
8000;23,55864483355111;2,1948049150501263;3,5197539098384785;
9000;22,093719372586428;1,7367124238717702;2,6558283618191667;
10000;20,50710615213099;1,3084012191476038;1,8908916952822923;
12000;19,507988501295184;0,7631664365057783;0,9541022223737905;
14000;19,29362712956631;0,45054444894321466;0,4623378739196569;
