




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;GEOreal2_O_VO;GEOreal2_P_VO;GEOreal2_N_VO;GEOreal2_O_DS;GEOreal2_P_DS;GEOreal2_N_DS;
meanNFE;100000;100080;100000;100000;100080;100000;
meanFX;0;0,005448480847993089;0,07506600731174742;0;0,003907336934084885;0,004537950473106275;
FXatual;0;0,005448480847993089;0,07506600731174742;0;0,003907336934084885;0,004537950473106275;
medianFX;0;3,7071479219719095E-09;0,014449806070736315;0;0,0010410578151296423;0,0022345683550686335;
sdFX;0;0,009266217837377789;0,14962244448380144;0;0,006562854594156638;0,004673245593424842;
==========================================================
===> f(x) médio para cada NFE:
NFE;GEOreal2_O_VO;GEOreal2_P_VO;GEOreal2_N_VO;GEOreal2_O_DS;GEOreal2_P_DS;GEOreal2_N_DS;
5;277,166233915114;294,19906765543834;295,12174774161053;281,3578665078992;290,0376759406648;295,0467977619648;
50;141,45092369761576;292,0633303968755;293,59491592209656;122,935323347776;272,81284724361416;291,72923139798706;
100;61,37397118229275;290,6400570471752;292,2852173149238;56,975087973829275;268,186320449437;288,86438933232455;
500;0,6122508315030468;245,45989761290315;279,29581320436375;0,5535835268624838;80,80768245361068;263,48707003695154;
1000;0,07550548507299412;205,3068955502246;264,064708703459;0,15300551336260707;12,285063443819023;235,60488301279574;
1500;0,014333612419529174;170,58594486174368;247,99334795401984;0,08044902630547063;1,8575673931659054;207,86682530205294;
2000;0,003807599978499579;140,2746345996859;233,83432715749626;0,027638850162019123;0,5105592631258378;182,9465197054995;
2500;0,0013210699349876427;113,71996674393927;219,44412785529303;0,015418343250203822;0,15944273371489226;160,19610547282136;
3000;0,0006886716609133786;90,09792050175906;206,22065289577094;0,002173667323343545;0,11142434969975812;140,8898697896193;
3500;8,715156374350385E-12;67,62208206347051;192,92622831613284;7,859629613804486E-13;0,0872880965877616;121,93973868975934;
4000;0;51,7700595040742;180,52390898411497;0;0,06509394177983542;105,90194508510763;
4500;0;38,418844638980275;168,71519898024144;0;0,0548991729246309;89,94383182699508;
5000;0;27,71228029805228;158,37227660492405;0;0,053649358175659245;76,27125508273849;
6000;0;13,405975590505179;137,2775737620103;0;0,04492199456818925;53,62325455965912;
7000;0;5,877464653693774;118,37640127321109;0;0,04107559126534467;36,01140106386015;
8000;0;2,6098324273697076;101,36757869267504;0;0,038199029721381006;23,18773260942734;
9000;0;1,2891653187568775;85,56392263172896;0;0,03785964588343331;14,499357493455927;
10000;0;0,7535409625095819;72,62163903963729;0;0,03634185680131189;8,636327424843449;
12000;0;0,2662207525586281;51,54859131203089;0;0,034505240551157855;2,901993572122172;
14000;0;0,12214417005190766;37,39330246909274;0;0,03397853227348583;1,084097165956465;
16000;0;0,07259506868267734;28,535702190234257;0;0,03029071708046612;0,5103078243736562;
18000;0;0,04419876251263007;21,69898600565658;0;0,02657039256535324;0,21649143526409192;
20000;0;0,035684115115697114;17,057530757497002;0;0,02560029454718783;0,08120089394060781;
25000;0;0,02831008887010148;10,375027879328583;0;0,02028750333321804;0,027955833696974398;
30000;0;0,023331686422433672;6,840995166717528;0;0,014125369093378156;0,021551034884710017;
35000;0;0,021305499680521138;4,475554344787477;0;0,010246714103870102;0,017981947958455806;
40000;0;0,01970125908138431;3,2690499517584746;0;0,00995557461386773;0,013783215339598549;
45000;0;0,01914858692181995;2,333167160835378;0;0,009339506696614337;0,012519187667891224;
50000;0;0,018630737895490898;1,6619563273794395;0;0,008907593837770272;0,010533800785659997;
55000;0;0,016771237726761222;1,2514401883601596;0;0,007828689964684405;0,009907700090669224;
60000;0;0,01460438615314125;0,9525360744337803;0;0,006855944008400686;0,009025205841087758;
65000;0;0,011745424520577682;0,6775884901112337;0;0,006123053219433933;0,008632301574954196;
70000;0;0,011409872095482979;0,4707381608517688;0;0,006072683107040955;0,00803673710195566;
75000;0;0,010074614883093072;0,3562974922223903;0;0,005788540289722049;0,00689200809052346;
80000;0;0,00953045639896626;0,240763996337652;0;0,005386780171937255;0,006783072099994727;
85000;0;0,008046279551129304;0,16378100644786064;0;0,004941738723482877;0,006258424056572229;
90000;0;0,0062030313461036105;0,0985683148173932;0;0,004544546679721759;0,0055894693061507485;
95000;0;0,005448619988768735;0,08066124667705768;0;0,004534995454531151;0,005116345717409448;
100000;0;0,005448480847993089;0,07506600731174742;0;0,003920494094482324;0,004537950473106275;











============================================================================
Função: Rastringin
============================================================================
parameter;GEOreal2_O_VO;GEOreal2_P_VO;GEOreal2_N_VO;GEOreal2_O_DS;GEOreal2_P_DS;GEOreal2_N_DS;
meanNFE;100000;100080;100080;100000;100080;100080;
meanFX;0;0;0;0;0;0;
FXatual;0;0;0;0;0;0;
medianFX;0;0;0;0;0;0;
sdFX;0;0;0;0;0;0;
==========================================================
===> f(x) médio para cada NFE:
NFE;GEOreal2_O_VO;GEOreal2_P_VO;GEOreal2_N_VO;GEOreal2_O_DS;GEOreal2_P_DS;GEOreal2_N_DS;
5;225,86419812932604;230,60408248985772;230,73840893525272;227,61336114249244;231,38257864329245;229,7873664087234;
50;214,493686228203;225,82532710191828;226,34936651833922;216,68456207460343;227,24568540924687;224,1460790431166;
100;115,35347994407076;224,60938839105992;224,92148379279243;143,55671986217544;225,0987870015584;220,92249018094077;
500;11,533986201502007;134,1091843244766;134,45476232350174;18,521157992477946;157,97262029104408;116,35700477557575;
1000;2,270065395594549;85,53138157042608;87,46362757507254;2,2204838033024124;107,23530147970821;69,74070701086207;
1500;0,35533012868375236;58,58065043060196;58,735750663419495;0,26735928469005066;77,61451839408332;46,00524866326196;
2000;0,06488181447830713;38,78063029816032;41,06134188796217;0,007444998086974408;57,003575203023935;30,280317012645206;
2500;6,137383779680761E-06;27,231321705799047;29,060054489773098;4,517794481628812E-07;42,37562202451198;20,582316315967702;
3000;8,824798669593292E-10;19,400030512751318;21,916414284320112;1,845984698434222E-10;31,640454839234927;15,684462719914189;
3500;1,262989712813578E-13;14,269308647746527;15,377204188900032;7,815970093361103E-15;24,453124024581378;11,705124942652647;
4000;1,7763568394002506E-16;11,177336214992591;11,181702008591854;2,3092638912203257E-15;18,45966418302834;8,612438818825641;
4500;0;8,19881162924514;8,277282993024567;1,2434497875801752E-15;14,524667036997476;6,981831073231161;
