




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;GEOreal2_P_VO;GEOreal2_P_DS;GEOreal2_P_VO_UNI;GEOreal2_P_DS_UNI;
meanNFE;100080;100080;100080;100080;
meanFX;0,008003053522785242;0,0022994561733594683;0,0077044858783366175;0,0029546295467773264;
FXatual;0,008003053522785242;0,0022994561733594683;0,0077044858783366175;0,0029546295467773264;
medianFX;2,2394042176188123E-10;0,0008462231880007609;1,6881632569631932E-07;0,0007781637578689882;
sdFX;0,012248081592916158;0,0037157636018507766;0,011597684926112553;0,004785107300557771;
==========================================================
===> f(x) médio para cada NFE:
NFE;GEOreal2_P_VO;GEOreal2_P_DS;GEOreal2_P_VO_UNI;GEOreal2_P_DS_UNI;
5;294,87403280955897;289,1035620968405;295,13427674738017;289,5521374073596;
50;293,1021560912212;277,1884369120254;293,08893302913543;276,02357238299453;
100;292,1882745517247;270,802928112754;292,58725051931367;268,5823336400004;
500;249,39576602612374;80,61680574613752;248,51295843774702;81,450726179666;
1000;208,50626546260477;14,48823534296174;208,85118401164112;16,0734896555543;
1500;173,33697700463836;2,2795750162187653;172,31234341472341;2,2676854435273333;
2000;142,36401941379575;0,6062090801594622;142,27444481074318;0,7193498774943252;
2500;115,06727148681519;0,24749774722070733;115,34711474673573;0,26708693689931884;
3000;91,12719182132817;0,1532008179606576;92,36237878242653;0,14125368447902945;
3500;68,3538367621705;0,08444815746611692;68,36290658260522;0,08875087952072883;
4000;51,33927876004676;0,05452400876492909;51,4210810321149;0,07895053424999646;
4500;38,29549337295766;0,05070117349389931;38,70624412543502;0,06500900885688697;
5000;27,20894534370127;0,04910917854685716;28,33332743272526;0,06029272676910025;
6000;13,12547662534105;0,043993115050159536;14,19855512265502;0,05525767369736588;
7000;5,654730510921249;0,040015974706893186;6,644999023476333;0,05074967589414818;
8000;2,2918208616832083;0,03967229232411411;2,6207015844524784;0,04682711385791567;
9000;1,0671023356886944;0,03676309656608732;1,186324126868258;0,0451571516750218;
10000;0,5525093459325746;0,031962991013617215;0,4878043981921074;0,041267766366394676;
12000;0,16534758003983957;0,02961763796818705;0,2006934528158478;0,03986205760597352;
14000;0,06327326476437187;0,024403704419196662;0,07389018188873189;0,03596536135541227;
16000;0,04424575050748801;0,020385436218755656;0,054857046836233526;0,029156021386298536;
18000;0,043811078618034106;0,015947063609967053;0,040586601605814086;0,02621383993716444;
20000;0,042612335953697913;0,015851351884722774;0,03667700845350459;0,023994067724246528;
25000;0,03805084936378356;0,014270531676413544;0,03036213584808036;0,02025203761532528;
30000;0,02885734892535034;0,011241908948356773;0,026923950850496935;0,016896785464280438;
35000;0,02429103008445888;0,010218212916326835;0,024174650472949064;0,012676457654601602;
40000;0,0208478952441803;0,009817034672316427;0,022530400988608014;0,01193750468907158;
45000;0,019287206711396703;0,009093659540209974;0,021233351696137565;0,008985328498111154;
50000;0,016055271340041016;0,008453194543657483;0,017848534310495726;0,008092972513942425;
55000;0,014691409184042159;0,00756327296475671;0,016599641456925128;0,007233143419157095;
60000;0,014099913597726924;0,0072873029754782215;0,014628829776935933;0,005569940646765239;
65000;0,01341863485857867;0,006546424994749217;0,012721518552584007;0,005433526199224525;
70000;0,011935002673820463;0,005419555319651706;0,011489800503161637;0,005022677806340983;
75000;0,011934740718452339;0,004059093770152336;0,010629045079156402;0,004744046471764038;
80000;0,011195353294872767;0,003893743182870657;0,00995648454103433;0,004321487395825313;
85000;0,009842374231384324;0,0038532999694079833;0,009588416402731953;0,003788477840451998;
90000;0,008802881590449141;0,0028446961304009477;0,008863821398818287;0,0031841532864863437;
95000;0,0086179579113709;0,002754604816915027;0,008604272520630164;0,0029546295467773264;
100000;0,008003053522785242;0,0022994561733594683;0,0077044858783366175;0,0029546295467773264;











============================================================================
Função: Rastringin
============================================================================
parameter;GEOreal2_P_VO;GEOreal2_P_DS;GEOreal2_P_VO_UNI;GEOreal2_P_DS_UNI;
meanNFE;100080;100080;100080;100080;
meanFX;0;0;0;0;
FXatual;0;0;0;0;
medianFX;0;0;0;0;
sdFX;0;0;0;0;
==========================================================
===> f(x) médio para cada NFE:
NFE;GEOreal2_P_VO;GEOreal2_P_DS;GEOreal2_P_VO_UNI;GEOreal2_P_DS_UNI;
5;239,28469309350368;240,45079151680324;239,64509715050673;240,20010856554694;
50;234,83105772502532;236,0857003464076;234,0933039655137;236,26760747505915;
100;232,83163531489086;233,9925343312018;232,40822746121458;233,80513496751192;
500;138,12095426553265;162,02808683449192;141,82125772433074;162,84994546172285;
1000;91,33624235524493;111,86963824283546;94,89035730239802;111,64305003507934;
1500;59,818264807263915;81,5202473740674;64,24708992971344;82,20556067879636;
2000;40,16196306405779;59,825987902754946;43,12285853555962;61,00121351195952;
2500;27,362122328012457;43,971075304990684;29,63481419002692;44,417163521285595;
3000;18,87813682889696;32,52798945295363;21,17403555411817;33,17295989930608;
3500;14,33202972418058;24,989515905034466;16,232095977263203;25,3001684617921;
4000;10,385091720019542;19,1578165698877;11,498394214292961;19,530195899959192;
4500;7,945093533239502;15,802698953951161;8,301806851904836;14,795514424693573;
5000;6,314338931221855;12,679441642694494;5,9722219690919705;11,62023123234896;
6000;3,4080453007065294;7,91670179700193;3,646791865739985;7,38023781484163;
7000;1,9621370381354033;5,344619054734919;2,4027060206286928;5,170096932017393;
8000;1,2723585684937007;3,8195823563217557;1,8564866979226735;3,65763610043318;
9000;0,922442107827791;2,8003453701456658;1,1192560626925867;2,8938049993374464;
10000;0,584880711015882;1,991971450176915;0,8341628149718616;2,203781656745825;
12000;0,2786815411429668;1,1574711811260676;0,4780118877728382;1,301295500298922;
14000;0,099741228541156;0,5620750180446537;0,1865066062515089;0,7593631694436839;
16000;0,010051908577854363;0,41190285796850823;0,08151789109293794;0,45588564458888514;
18000;6,352012452062183E-05;0,2554896562031397;0,04918225006637229;0,29181160482521873;
20000;2,9037390820718655E-07;0,12938391353690779;0,049170386498375684;0,14053887414649643;
25000;1,0854055432218957E-10;0,04917143718431305;1,0885406354077532E-09;0,0637087782712257;
30000;5,5067062021407766E-15;5,990912654851855E-10;2,9132252166164105E-14;0,024584469156713595;
35000;2,842170943040401E-15;3,907985046680551E-15;1,0480505352461478E-14;1,8829293679800685E-10;
40000;1,2434497875801752E-15;1,7763568394002505E-15;2,3092638912203257E-15;3,0198066269804257E-15;
45000;7,105427357601002E-16;8,881784197001252E-16;1,4210854715202005E-15;1,2434497875801752E-15;
50000;1,7763568394002506E-16;5,329070518200751E-16;1,4210854715202005E-15;0;
55000;1,7763568394002506E-16;3,552713678800501E-16;8,881784197001252E-16;0;
60000;1,7763568394002506E-16;1,7763568394002506E-16;3,552713678800501E-16;0;
65000;1,7763568394002506E-16;1,7763568394002506E-16;1,7763568394002506E-16;0;
70000;1,7763568394002506E-16;1,7763568394002506E-16;1,7763568394002506E-16;0;
75000;0;1,7763568394002506E-16;1,7763568394002506E-16;0;
80000;0;1,7763568394002506E-16;1,7763568394002506E-16;0;
85000;0;0;1,7763568394002506E-16;0;
90000;0;0;0;0;
95000;0;0;0;0;
100000;0;0;0;0;











============================================================================
Função: Rosenbrock
============================================================================
parameter;GEOreal2_P_VO;GEOreal2_P_DS;GEOreal2_P_VO_UNI;GEOreal2_P_DS_UNI;
meanNFE;100000;100000;100000;100000;
meanFX;1,4816777737383553E-08;5,483239163856084E-09;1,9084508815064134E-08;1,2107078246589688E-08;
FXatual;1,4816777737383553E-08;5,483239163856084E-09;1,9084508815064134E-08;1,2107078246589688E-08;
medianFX;1,0838887192480821E-08;4,26654372020384E-09;1,1085909975736113E-08;5,123530876749682E-09;
sdFX;1,6456992704601972E-08;5,5537977999468095E-09;2,6357296734225474E-08;2,298928275729479E-08;
==========================================================
===> f(x) médio para cada NFE:
NFE;GEOreal2_P_VO;GEOreal2_P_DS;GEOreal2_P_VO_UNI;GEOreal2_P_DS_UNI;
5;370,43460304317756;372,32963464356163;370,1262056217568;370,7459369936263;
50;353,3164203915511;358,07977970071744;351,5896854673816;359,61694570037474;
100;333,80065916315766;342,8309663777337;330,50206007253223;345,13910981262524;
500;202,47167080246837;244,3769983306708;204,11184207512184;246,13779882230583;
1000;106,30626793183698;155,57839073808253;105,85823545414705;158,69561936466786;
1500;51,983310385474034;93,24159928968541;53,21930407146358;99,02937732096936;
2000;25,345120874037356;57,23560820345385;27,941643158987034;59,25983707888163;
2500;13,215706444373557;33,57452534881029;14,08027455321444;35,97677028522553;
3000;6,798598228375719;20,65726114594433;6,802617274202885;23,09272773202442;
3500;3,33317981157777;11,89801544619583;3,639087728991717;14,86408526332925;
4000;1,8367107583807312;6,839903117493032;2,05236183440696;9,05604374895737;
4500;1,1661444012045021;4,143170880344157;1,2081816638229523;5,445236402817878;
5000;0,7151954282717365;2,563238721447834;0,7689050836568211;3,360545828973398;
6000;0,34397600878379814;0,9984783982267306;0,36379618814683357;1,40586447845389;
7000;0,19922238696130073;0,5184894683941128;0,21944055865138123;0,6601135975912511;
8000;0,12039573222361222;0,33509045905495166;0,13260657394863146;0,3654149251133537;
9000;0,07242852084595881;0,21986452213577484;0,07851137344876741;0,24431325200122594;
10000;0,04214054560961397;0,14205899590174736;0,04690642079730463;0,15854567814195844;
12000;0,021062431868231354;0,056928584459289056;0,02288642898277838;0,06610069899972047;
14000;0,012557461168354957;0,025426128063277875;0,01350798583090394;0,02896009351863773;
