




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Beale
============================================================================
parameter;AGEO1;AGEO2;AGEO3;AGEO4;
meanNFE;100022;100022;100022;100022;
meanFX;0,0003170715493526218;0,03682962725708776;0,002087625711776029;0,051957531628589015;
FXatual;0,0003170715493526218;0,03682962725708776;0,002087625711776029;0,051957531628589015;
medianFX;0,00015840004526613657;8,919404970794512E-05;0,0006674713224760001;8,919404970794512E-05;
sdFX;0,0004337603430619967;0,26783794190699595;0,005971003603228229;0,20496792863874358;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO1;AGEO2;AGEO3;AGEO4;
5;540,7954360486838;540,7954360486838;540,7954360486838;540,7954360486838;
50;10,039732271108722;10,243639514369297;10,773044465536586;9,847239737269609;
100;5,765020417907826;3,4782691341337655;4,840448109084452;2,7888012484131814;
500;1,1703228725575534;1,1467569955490526;1,1137304070314864;1,0727643328127128;
1000;0,6053379245914856;0,8206839609828759;0,5683486050353288;0,8288205457617104;
1500;0,433352811926559;0,5251520321129051;0,40102417602328866;0,6220839888378047;
2000;0,3287153690930279;0,44469950699024813;0,2966419137782848;0,5327137980721037;
2500;0,2518031866858957;0,3721989210816151;0,22619261953837802;0,4529875393084456;
3000;0,19103738415190058;0,3180637385398338;0,18350344719633324;0,4242464730146024;
3500;0,15997403731036586;0,28377161081282126;0,14732828613730964;0,37210751795426583;
4000;0,13333349901315106;0,2516885712776151;0,11808991980078799;0,33405116203679214;
4500;0,10681347409018117;0,23406282875222018;0,10408716337952473;0,2798222846397046;
5000;0,08881435589375541;0,19403727806103555;0,09171287547938388;0,27057497221497334;
6000;0,06691197811652057;0,16620068401314267;0,06723203162380142;0,24011247402118968;
7000;0,04382608782494371;0,1380218024498273;0,05623195593876312;0,2251469115372539;
8000;0,034147125386897716;0,12609692407640355;0,04250517502957909;0,21234875450332297;
9000;0,02278671745107955;0,11391271804874557;0,03399122713228381;0,18904388721480775;
10000;0,02033304449478227;0,08983679675110197;0,027599668085879152;0,17314942868893543;
12000;0,012041409477234373;0,0830327079603921;0,021091921412052315;0,15562092747348283;
14000;0,0072826528898600395;0,07527854877999468;0,015716629263257974;0,13606097449091395;
16000;0,0061817986333543885;0,06554732877165405;0,013710834800290173;0,11212999836454912;
18000;0,005244327128426192;0,058747418198405094;0,012035056906419688;0,09415793706945755;
20000;0,004363389448896144;0,05469354448269031;0,010944398895928666;0,08808544071721021;
25000;0,0032886912305154954;0,04730872011861213;0,008018076754787183;0,06750240191696984;
30000;0,0024272106575760365;0,04426763200174966;0,006515826121572293;0,06036939456281659;
35000;0,001577974787148829;0,0392651614397736;0,005344287156577837;0,058000056404178574;
40000;0,0014120158253274763;0,037573868828656334;0,004624969763575433;0,05323609353531137;
45000;0,0011071090339567376;0,03738373387993062;0,004263902171016962;0,052953679666498284;
50000;0,0009618038461898786;0,03725520517098014;0,003930117116149879;0,052838964799181876;
55000;0,0008446568468244261;0,0371985934403579;0,0035272575713036613;0,052413910035170146;
60000;0,0007071294404789174;0,037145307656020664;0,0032092291823580758;0,05240506290905708;
65000;0,0006145098342484747;0,037081369774041;0,0029566885505635746;0,052248539934746055;
70000;0,0005289955016526296;0,03700304809668006;0,0027055436384433446;0,052204568578668856;
75000;0,00048013777432275544;0,03698988430845953;0,002637727859249063;0,05214802625479164;
80000;0,00045668060129461924;0,03694018194825617;0,002371451242274393;0,052087629016658726;
85000;0,000407380265782398;0,03692317321735843;0,002308176145857821;0,052013802684004525;
90000;0,00036564071375011026;0,03690637572363516;0,002185784278492026;0,052011504356444735;
95000;0,0003460172387992205;0,03689319327935168;0,0021533664198995594;0,05199859086271975;
100000;0,0003170715493526218;0,03682962725708776;0,002087625711776029;0,05195766633510212;



Execution Time: 166355 ms
