




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Beale
============================================================================
parameter;AGEO1;AGEO2;AGEO3;AGEO4;
meanNFE;100022;100022;100022;100022;
meanFX;0,0004934630489005946;0,00041641935981717195;0,0010659175346268363;0,05214708704055637;
FXatual;0,0004934630489005946;0,00041641935981717195;0,0010659175346268363;0,05214708704055637;
medianFX;0,00018908205195737577;6,764954304170915E-05;0,0007012357616199275;0,00018646651367325949;
sdFX;0,001038412090863431;0,0011938480596606711;0,0011501131330157002;0,18253661519757575;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO1;AGEO2;AGEO3;AGEO4;
5;509,3919202717663;509,3919202717663;509,3919202717663;509,3919202717663;
50;11,569614970505814;6,309664714404883;8,69360389305737;7,621547818450624;
100;3,0857242648881167;1,9175223170978544;4,936314229380907;2,2308953863090415;
500;1,0896692194643556;0,9698608772786965;1,0126327732420952;0,9309707358800271;
1000;0,6517395464917544;0,8316368890773079;0,6464853431149781;0,7784896203855222;
1500;0,3833945656173779;0,6509971510297793;0,5736119545251762;0,6723265028867442;
2000;0,20534569723968826;0,44765982124187537;0,44828390422224623;0,5642747594560837;
2500;0,13756029382705556;0,3238009483476177;0,3179970195446725;0,5215308526037512;
3000;0,11102712261419667;0,29285214480274513;0,23453111990503267;0,44124358603020664;
3500;0,09042547240505004;0,2756011281025009;0,19378585241380933;0,4102246289633495;
4000;0,0858183907152253;0,2056000091604687;0,15914485813024437;0,40792879775748564;
4500;0,06696384728049928;0,18725852776333624;0,15241695891980414;0,38213148807296193;
5000;0,06669684182280686;0,1598725689149854;0,11644763297044505;0,3786661250201571;
6000;0,04360100037139031;0,14531415271473552;0,05802338683229778;0,2953638433853766;
7000;0,02863953316804347;0,13355252089201722;0,038434189902490715;0,2577269168437466;
8000;0,027182595699514617;0,07113335283881708;0,03711010111258784;0,21807798365059314;
9000;0,02630797988415843;0,0691480745269648;0,035529156008365044;0,15676344295429728;
10000;0,020024603701462484;0,05264029898301318;0,032282657233048136;0,13882736198019727;
12000;0,01773107581657666;0,03307299866422134;0,022140130458117916;0,13271983691134112;
14000;0,014293338005429038;0,03250060317945564;0,015805935195189833;0,1093933906879279;
16000;0,007586477413472627;0,024324543188434543;0,013685275192282872;0,09143968026623583;
18000;0,005032931772745925;0,02303735091758472;0,013367543870511719;0,07961135234761317;
20000;0,00453707611274551;0,00556112126531314;0,013335200175935456;0,058917768506048886;
25000;0,0025925814813235683;0,0026289813100888273;0,010216961483086697;0,05708290578756031;
30000;0,00201680645759648;0,0014183475602043403;0,008745128071080618;0,05646882823200019;
35000;0,0019461702491632205;0,0011816034885364347;0,007127801135609268;0,05640019017620025;
40000;0,0015845963281670762;0,0009409116095787356;0,006232656694103131;0,055470458117910716;
45000;0,001530053079020311;0,0009105360858744421;0,003675611051909308;0,05362250983594624;
50000;0,0010098937393136353;0,000643135945653246;0,0034620472352808406;0,0530564955628516;
55000;0,00095390780650597;0,0005366492828696819;0,0028573431924178837;0,052426008621790844;
60000;0,0007920239326383501;0,0005321201365360033;0,002791042909914771;0,05220997451573254;
65000;0,0007777852541685463;0,0005321201365360033;0,0023169557357857412;0,05219927568524544;
70000;0,0007152138606946768;0,0005219379264988636;0,0022800753821704523;0,05219181674657162;
75000;0,0006882033482047561;0,0005183287108751253;0,0021588901005106095;0,05215995077186116;
80000;0,0006777750094768659;0,0004803840139440627;0,002084917053731293;0,05215995077186116;
85000;0,0006321994730021104;0,0004568829980427882;0,0018589567706900488;0,05215995077186116;
90000;0,0006266934107851147;0,0004552711391637127;0,001457440730124009;0,052159416713385066;
95000;0,0006236383095006503;0,00045330762535632674;0,001386311614646446;0,052159310867290073;
100000;0,0004934630489005946;0,00041641935981717195;0,0010659175346268363;0,05214708704055637;



Execution Time: 26914 ms
