




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEO2;GEOreal1_P;AGEOreal1_P;AGEO2real1_P_AA;
meanNFE;100100;100000;100000;100001;
meanFX;0,08732768710638311;0,1412264957907998;0,20067306393531456;0,3106970943496354;
melhorFX;0,0011732434342269782;0,08551347270988907;0,0915791990159639;0,15771437491775375;
piorFX;0,34761570484033155;0,19775870798507222;0,2778352708922702;0,4480260842044541;
medianFX;0,07344169692263813;0,13786400730193193;0,21003570953701411;0,3244156018224722;
sdFX;0,07406578726807982;0,029647488023536495;0,04162656671696188;0,06281462503160128;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;GEOreal1_P;AGEOreal1_P;AGEO2real1_P_AA;
5;290,25661796556375;287,3684402810484;287,35513699759605;280,1844349649152;
50;261,3993005955161;281,26786820158446;283,7532516056886;255,7054591888565;
100;247,56329169438777;273,0396372444622;278,4784919746328;226,70569110720334;
500;177,47794231656343;214,72719879693517;222,05910635160046;14,245608989426744;
1000;62,94299518488719;153,70580614828003;157,66139887489575;1,0467854391755975;
1500;19,46367511988779;102,46567598624023;106,00884718619706;0,9528653529605864;
2000;7,621252644986467;61,733937414712926;65,29049633135055;0,870085503209552;
2500;3,5136599529898405;32,90849769363645;36,14754831470939;0,8564440765707506;
3000;1,8753585574526577;14,879614760522644;16,50763583273962;0,8180002603733622;
3500;1,3441572325797053;5,388988091353534;5,762282813373739;0,7926211044261576;
4000;1,0754766947303291;1,8974352387508666;1,7654486153555249;0,754264862594928;
4500;0,9075097893449636;0,7979023767465311;0,7621918603429071;0,7178840341305324;
5000;0,76699605553439;0,5221815587606353;0,521666621890925;0,7093566795849158;
6000;0,5486971087711526;0,3715405112200274;0,4417240167436395;0,6849571975176459;
7000;0,41054235579406345;0,3005649075106814;0,3952364786417208;0,6761799259858272;
8000;0,3672241375125954;0,269540864086644;0,36769635219467317;0,6643636450326506;
9000;0,34098602228958974;0,25588736160681896;0,34482345918275664;0,6022813501770546;
10000;0,32178636262054916;0,24069658252460782;0,3124481661090165;0,596000098860678;
12000;0,2923540711103559;0,22893560265321072;0,3020155387404158;0,5875275351644029;
14000;0,26494752211713846;0,223663589550297;0,2822290029577386;0,581207834041399;
16000;0,24982171259543942;0,21150731322084595;0,2762935190108112;0,5540762977923129;
18000;0,2328243612259503;0,20303695739874664;0,2644493509557268;0,5183966398815456;
20000;0,23106563644201192;0,1981487457181666;0,26179651643469837;0,5016130976766904;
25000;0,18158552326886498;0,1863243608589404;0,24620754304536124;0,46707201596363396;
30000;0,15692582681807415;0,1715093554193458;0,23801873681078362;0,43615999255912785;
35000;0,14389272825580673;0,16122008648534525;0,23289518464193745;0,41377444426316207;
40000;0,14257112970726774;0,15702699270990467;0,22600097524026191;0,4049010421658175;
45000;0,13501518034300497;0,15404138060939085;0,2259602303233228;0,39136257647970507;
50000;0,1289959455295592;0,15114759454757334;0,22473155209045595;0,39136257647970507;
55000;0,12523259115674404;0,14912873866576393;0,22299743617544324;0,38736923334399853;
60000;0,12172828340075852;0,14793376046854573;0,21363977104152046;0,38421810055852534;
65000;0,11794968475752257;0,14793376046854573;0,21236816473605388;0,3710509569823318;
70000;0,10674223550794527;0,14446502812048598;0,2077799488976823;0,36890020325906453;
75000;0,10674223550794527;0,14411079333611598;0,20577027541567006;0,36461970017061424;
80000;0,1004424561697872;0,14411079333611598;0,20417117961904163;0,3404169637326492;
85000;0,09991726524228303;0,14276371890777292;0,20302291469874545;0,3404169637326492;
90000;0,09511730015111121;0,1412264957907998;0,201518219408745;0,32770270028324566;
95000;0,08732768710638311;0,1412264957907998;0,201518219408745;0,32543680852921686;
100000;0,08732768710638311;0,1412264957907998;0,20067306393531456;0,3106970943496354;











============================================================================
Função: Rastringin
============================================================================
parameter;AGEO2;GEOreal1_P;AGEOreal1_P;AGEO2real1_P_AA;
meanNFE;100160;100000;100000;100002;
meanFX;15,282551684308661;0,09223701231959894;6,39783251312166;4,379837025903982;
melhorFX;6,982876571802819;0,04850811546157985;3,8617325187240112;1,3845520479647035;
piorFX;25,07097039478778;0,138817302860204;9,106814946970957;6,529328037662424;
medianFX;15,066228085424953;0,0940570717397975;6,1160858092294035;4,419964743007476;
sdFX;4,852360126957696;0,02438182801832702;1,2786590852278592;1,436905111742501;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;GEOreal1_P;AGEOreal1_P;AGEO2real1_P_AA;
5;226,32043001282554;215,31926392413314;216,2114794215471;213,26881336076914;
50;216,54536749635915;202,52168402051475;208,63206597339604;205,9569248270841;
100;213,6410967838084;191,5449763706016;200,96003802825598;201,38413782348582;
500;209,00573904217143;138,51744529526826;142,61983030548146;139,4350098268469;
1000;196,17443042935204;110,2812812627603;117,11210276230642;111,31991262716107;
1500;177,91661815027342;91,25809616735916;99,49704928179128;101,77605819481008;
2000;150,86719984551732;75,81577278361766;88,05045680286693;93,75115369943475;
2500;130,67341064592668;64,08620292295414;77,96548852738654;86,29384121606135;
3000;107,04807515826819;54,609325304174135;72,35019842407895;83,36798251046544;
3500;94,75594016622307;47,11471851451493;65,96801160323908;79,74913691480927;
4000;79,84103081744517;41,93338615538152;59,19656221890564;74,55282445796463;
4500;69,77237927537861;36,71953165168235;53,55637526671212;72,21549166440167;
5000;62,515291140089566;31,538238470852157;50,100130462554446;68,62497567482572;
6000;49,90179683354992;24,940444088913626;41,99950301436001;61,7169973268401;
7000;40,434469634680084;19,419627165916136;36,345262673010126;55,75951324085142;
8000;33,860608698339014;15,434522107182937;30,405087846019896;51,02060682332863;
9000;28,815070324908273;12,916414487261575;26,55689396561476;47,52266251899333;
10000;25,365282645566143;11,32245331277074;24,411419424699734;42,285721247069986;
12000;21,116870444272912;8,652677403068413;19,890939024601227;33,31000886274083;
14000;19,711128132798095;6,4721769171598;16,598003340771218;24,45084681368947;
16000;19,055139398764563;4,478031285774673;14,668501302390773;22,563921497182278;
18000;18,544375902075735;3,517852640580194;13,106284372466742;20,77542561174761;
20000;18,414857701535485;2,5787727050585456;11,78816859971391;17,676245745598656;
25000;18,32470422503612;1,6137868441046825;10,349045285646024;12,935535076049185;
30000;18,309719800983967;1,0259553061750573;9,420107205399294;9,430549064276745;
35000;18,307539473241658;0,7101790776220743;8,715789328711098;7,5566851272928846;
40000;18,04914283485056;0,3699005813131959;8,20366349337683;7,17919751269568;
45000;17,624855593222158;0,2683386984043575;7,695819110227181;6,7440540690966735;
50000;17,39803447912195;0,1924737786445121;7,195918406827789;6,420983756143207;
55000;17,163125963007637;0,12133464055592783;7,094372227140409;5,499202335484517;
60000;16,764406428002236;0,10901130431422436;6,9911721309234265;5,275676172155744;
65000;16,587952528339642;0,10543233732720339;6,773894042092735;5,259326689179435;
70000;16,220959776588987;0,10269084638887663;6,750526300793628;5,187353372962597;
75000;16,17420328993326;0,09916693328872413;6,750526300793628;5,0019957333769485;
80000;16,038113097985867;0,0976767774493472;6,630979276696178;4,864637328549025;
85000;15,899041257331866;0,09601862178383035;6,540279727059878;4,548193668483157;
90000;15,756430478906642;0,09321387782273831;6,454520026367229;4,5416714587635205;
95000;15,68027618841058;0,09311599839146585;6,413959554430718;4,527936191552137;
100000;15,288182418802528;0,09223701231959894;6,39783251312166;4,379837025903982;











============================================================================
Função: Rosenbrock
============================================================================
parameter;AGEO2;GEOreal1_P;AGEOreal1_P;AGEO2real1_P_AA;
meanNFE;100022;100000;100000;100002;
meanFX;2,4813376666667608E-05;7,693238212728037E-07;1,0138753648412298E-05;6,266270528100756E-05;
melhorFX;2,500062500001465E-07;4,90394648752376E-09;8,765736854255874E-08;4,2979331996318367E-07;
piorFX;0,000146073599999998;2,675772813153891E-06;0,00012093555779265264;0,00027875243824748437;
medianFX;1,226500624999761E-05;6,685220742022696E-07;4,872031886817378E-06;3,196429423137461E-05;
sdFX;3,373886904454277E-05;6,877152346057812E-07;2,1694378862537526E-05;7,558544288483414E-05;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;GEOreal1_P;AGEOreal1_P;AGEO2real1_P_AA;
5;94,22370083454292;572,1487107129014;571,1755139881648;480,39518371240484;
50;23,548726105373127;403,8244339352156;460,90035917717245;99,30417982261562;
100;6,6052468547500025;264,62473734213387;371,90766399156956;13,530803725353575;
500;1,139317922303959;2,2643754136431586;60,73177157881126;0,5147232495411287;
