




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEO2;GEOreal2_P_DS;AGEOreal2_P_DS_fixo;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;
meanNFE;100100;100000;100000;100100;100100;
meanFX;0,10097550726005647;0,04016953097824607;0,03623863812309309;0,05298513209345363;0,020173592483360984;
melhorFX;0,00645908673629525;3,9968028886505635E-15;0,009857284607820871;0,024078172913827744;1,0813572259849025E-13;
piorFX;0,2762028977875042;0,10818219843250831;0,08850446114993937;0,09376868575856512;0,07133210454877525;
medianFX;0,10319895234390941;0,036918753590388875;0,03197168986350529;0,0520415899450557;0,01722629385991592;
sdFX;0,07201077290358741;0,026088297418622997;0,019977722119704125;0,017574500498659038;0,021425884940491847;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;GEOreal2_P_DS;AGEOreal2_P_DS_fixo;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;
5;269,21355776973866;298,2213284125816;298,2866694068293;292,3720526473908;290,07082503607927;
50;242,85697388933508;296,61067082472874;296,66104791005563;277,6327288941394;266,4039330904776;
100;228,0586590062503;295,7092557297769;295,2506370414052;264,63945935766105;248,9739762983028;
500;164,0494769048307;270,8166965401868;281,1910828881683;193,3638701042734;39,85672984754686;
1000;62,2894385334756;238,1913628330879;248,7544407096475;100,47406893881163;7,629335387680431;
1500;20,9383781013136;207,3058659525826;216,3601538123664;36,05399929447974;1,5001900285115919;
2000;7,887893473607723;182,0003102535385;186,40074687524185;10,507453431759268;0,6572590501390536;
2500;3,657389351507641;158,83135963471565;160,33912581576053;3,6485273503395685;0,4074674020705205;
3000;1,91575455014596;136,12214845922134;137,25120212117224;1,3612596331342732;0,2562348833922418;
3500;1,3975197517326257;116,09019577982983;117,35917142027591;0,8903167845620515;0,15503770128091654;
4000;1,0360163105681361;98,98719487890163;100,21352325348143;0,6161255303889086;0,08739095779293858;
4500;0,8501029769031094;84,58400162166825;85,2031454672774;0,45015273138286116;0,07557313579395612;
5000;0,7139101991284889;72,04561402257549;71,34721684759258;0,32382940029390916;0,062292589773543086;
6000;0,5058360661255306;51,037107491881315;47,65500888201062;0,2451009848758939;0,05521919101408449;
7000;0,3728099307142455;33,96930038893627;31,268215937913507;0,20746969644332802;0,05368739571859235;
8000;0,31166184442461714;22,15075883960772;18,847576495475103;0,17550836169782677;0,05291254112436532;
9000;0,29666252316940084;13,891437761394197;10,765184798601192;0,16354030972001476;0,04816904329893357;
10000;0,2715911002021689;8,712945260680824;6,031286926553482;0,14032656303979907;0,04194642732940668;
12000;0,2436846814864259;2,9187677578830895;1,6906607261956366;0,12914354930055721;0,03911770109373266;
14000;0,21765771757935187;1,349849847884779;0,7492944267132753;0,1213153692988421;0,03419754669978072;
16000;0,21137634854256196;0,44112535165365124;0,21998203084194537;0,11675543872961458;0,033610920681747175;
18000;0,19608762879500763;0,22193454020960762;0,1526524049398498;0,11526374055146996;0,029445948101505335;
20000;0,1856471805740694;0,12712072221155657;0,07000870717302822;0,11366017488596772;0,02894444999163071;
25000;0,1736014169588524;0,07418926062351007;0,044769014390984005;0,10224124212899156;0,02894444999149286;
30000;0,17316874752749517;0,04898495138559069;0,0365675380494397;0,08427599062523604;0,023944974367990937;
35000;0,1593384968512363;0,043529944418083256;0,036238638123093185;0,08044609043619967;0,023944974349544772;
40000;0,15271848088542495;0,04311911455081148;0,03623863812309316;0,0763966107137626;0,023944974349508687;
