




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEOreal1_P;AGEO2real1_P_autoadap;
meanNFE;100000;100000;
meanFX;0,1882081211843544;0,8686384504776822;
melhorFX;0,0706338358465286;0,0022861750848832685;
piorFX;0,29115849246219394;29,255851709504224;
medianFX;0,19248886923855324;0,1057454907948846;
sdFX;0,048816857034627896;4,605632779612145;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEOreal1_P;AGEO2real1_P_autoadap;
5;289,3074954772443;289,8443710261489;
50;285,69792142395454;289,18382086123904;
100;279,72137240946796;288,32358270028533;
500;221,06990375587185;278,57380016927675;
1000;158,19352289870955;256,0453213193849;
1500;106,61950758254898;216,47107634254857;
2000;64,95341928852204;176,02857100850906;
2500;34,59759501058723;144,94199977652812;
3000;15,754762840477119;114,24870049858889;
3500;5,959119250429931;87,54307605092407;
4000;2,129728661353257;66,49787456512513;
4500;0,7774036560815027;45,752179833668556;
5000;0,5325540914571091;37,12252593440595;
6000;0,39613237456754835;21,54324442380143;
7000;0,3714279244652209;12,040133219040268;
8000;0,34279629740995643;5,131162590979354;
9000;0,33543584434247975;2,515850064309452;
10000;0,32831551325254227;2,2485936899427936;
12000;0,3144280008040479;2,1086813921297023;
14000;0,3041258655066828;1,9312217280894945;
16000;0,2948451391631423;1,8710991432530744;
18000;0,2774054685769701;1,8130294925754182;
20000;0,26265420810845236;1,7489333155757845;
25000;0,25350429960933396;1,573641660511754;
30000;0,234706829628835;0,9124223144705267;
35000;0,2267887551821739;0,8718267476175472;
40000;0,22216898231604704;0,8705521242766044;
45000;0,21563358033000327;0,8701978833885698;
50000;0,2075869949183055;0,8691635909673613;
55000;0,20160137335570777;0,8686544377891764;
60000;0,19919131837932055;0,8686495846447914;
65000;0,19919131837932055;0,8686413551602981;
70000;0,19919131837932055;0,8686397231929763;
75000;0,19631304642023956;0,8686384718862513;
80000;0,19360386445547248;0,8686384507445408;
85000;0,19066229919670738;0,8686384505063891;
90000;0,19066229919670738;0,8686384505059305;
95000;0,19066229919670738;0,8686384504879987;
100000;0,1882081211843544;0,8686384504776822;











============================================================================
Função: Rastringin
============================================================================
parameter;AGEOreal1_P;AGEO2real1_P_autoadap;
meanNFE;100000;100000;
meanFX;6,218228969017225;4,776779772519873;
melhorFX;4,244350315852174;1,7282861963323768;
piorFX;9,665607913304747;13,442399904316773;
medianFX;6,1559506143070095;4,453198892613173;
sdFX;1,3086529979222603;1,9488799540688582;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEOreal1_P;AGEO2real1_P_autoadap;
5;241,26057787713748;236,87879241230172;
50;233,05514330598626;222,07804443691407;
100;227,41139170459755;210,75754556140768;
500;164,21063038763484;98,44956230741268;
1000;133,0607531979062;29,037849243023157;
1500;117,42022416990778;16,4665516097086;
2000;101,64082975570791;12,75717954693886;
2500;91,04796799392224;10,854463143790507;
3000;83,01612479691934;10,051668146544884;
3500;74,75817779514846;9,551342902416682;
4000;68,19597869462635;8,95858912592075;
4500;62,26254884049158;8,493847753868604;
5000;57,588944915925666;8,086268092843444;
