




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: griewangk
============================================================================
parameter;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
meanNFE;100001;100089;
meanFX;0,3286575491714462;0,01294294998901971;
melhorFX;0,13635705911568208;5,100364575127969E-13;
piorFX;0,5080314091645957;0,04671472621975803;
medianFX;0,32537192305465523;0,009864672066479896;
sdFX;0,08961788805808775;0,012585490662665571;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
5;293,4763508290846;278,19702523147464;
50;265,05471656600736;253,58376808104623;
100;228,58139491982837;248,55524321689015;
500;14,70274941671023;193,91918247751073;
1000;1,1739957231353948;97,17669197711382;
1500;0,9781099513446874;42,110804881850356;
2000;0,9207337365562753;11,723184334124493;
2500;0,8922745390006999;1,7709028339646151;
3000;0,8579077214873299;0,5138651260383393;
3500;0,8296176417813147;0,30499961682214477;
4000;0,7927123774265367;0,16121615655723254;
4500;0,755825031149625;0,07917950126275235;
5000;0,7336464775016468;0,058847027363269716;
6000;0,6930402517393468;0,041732056015764185;
7000;0,63314218615272;0,038569340734219054;
8000;0,6104353046919109;0,035230371219085704;
9000;0,5709107935087713;0,03419260925174258;
10000;0,5653224018084102;0,0334041261147528;
12000;0,5552403366798342;0,030977356402207272;
14000;0,52325678849103;0,02942835772249543;
16000;0,5123272400138277;0,02570378523972664;
18000;0,5038182180864704;0,0256805602789602;
20000;0,48297161259272076;0,025286172111275852;
25000;0,45149649427653155;0,023323049260511243;
30000;0,43121918625258104;0,021894593828186943;
35000;0,4136874379517604;0,021105814110155316;
40000;0,403198006376726;0,02100741343846868;
45000;0,39562272716995767;0,02095867952980032;
50000;0,3867963940101251;0,019505996966329212;
55000;0,37849398790486083;0,01776649017535268;
60000;0,3730215910114776;0,01742713494404637;
65000;0,3679177833563195;0,016532448389278368;
70000;0,3594028987077714;0,015843206462520746;
75000;0,3530593607974688;0,013772406029738388;
80000;0,3498503560803928;0,013680492659612227;
85000;0,3384016492390909;0,013238013135841928;
90000;0,33347478475470277;0,013090529774084446;
95000;0,33112567805351567;0,012942949989387973;
100000;0,3286575491714462;0,01294294998901971;











============================================================================
Função: rastringin
============================================================================
parameter;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
meanNFE;100002;100170;
meanFX;5,121381057267348;3,318234575999668E-13;
melhorFX;1,094964555340205;2,1316282072803006E-13;
piorFX;10,133144864102313;5,115907697472721E-13;
medianFX;4,962667066663961;3,197442310920451E-13;
sdFX;1,7808479149726189;6,594382223096985E-14;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
5;226,12650861506518;223,97142545459909;
50;218,8459313173659;215,09890691949494;
100;211,8336061480848;215,09890691949494;
500;143,67640983736615;194,63391020350255;
1000;111,47937321035666;156,9565222852115;
1500;97,16381517065612;124,17143222588462;
2000;86,70016957179814;85,1628346560134;
2500;80,21604629829989;55,6065630203753;
3000;73,46947962718419;40,27074140870766;
3500;70,71054149755015;22,68264553498324;
4000;69,14324025746038;11,923859488273862;
4500;66,05408195705017;9,340160715927318;
5000;61,93237293638028;7,1113228892798634;
6000;55,569843804655;4,611809177778419;
7000;50,45793532037328;3,2262603775392495;
8000;42,37738151522135;2,4039874241555363;
9000;36,60622009297959;1,8035029703627037;
10000;30,813614099635675;1,1492496550337192;
12000;22,7140933196512;0,7205993714473786;
14000;18,959985925721924;0,35215738144700137;
16000;15,939409374339483;0,16372803679890224;
18000;14,360206891507444;0,11394490349186086;
20000;13,77716171843075;0,03936086670428836;
25000;11,336742262067006;8,072883730392277E-09;
30000;10,205130673995715;5,53086465515662E-13;
35000;9,000067074497885;4,82884843222564E-13;
40000;8,154394740642617;4,595790414896328E-13;
45000;7,3606932487255365;4,3655745685100554E-13;
50000;6,7053270124426785;4,0614622776047324E-13;
55000;6,2815874645163925;3,943512183468556E-13;
60000;6,164670659692091;3,865352482534945E-13;
65000;6,050457872806213;3,7601921576424503E-13;
70000;5,818260568714255;3,6493474908638745E-13;
75000;5,7643559525627746;3,6209257814334706E-13;
80000;5,712808152634182;3,525713054841617E-13;
85000;5,587317788664335;3,468869635980809E-13;
90000;5,354533891124806;3,419131644477602E-13;
95000;5,153521677560817;3,386446678632637E-13;
100000;5,121381057267348;3,318234575999668E-13;











============================================================================
Função: rosenbrock
============================================================================
parameter;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
meanNFE;100002;100008;
meanFX;0,00010314378108058545;0,004591853746162533;
melhorFX;2,833546511044004E-06;6,087585065443718E-07;
piorFX;0,000567206720412131;0,036484974691623956;
medianFX;6,88266197531242E-05;0,0018599528420096259;
sdFX;0,00011397359118009627;0,007904371481905939;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
5;343,81674840298336;187,58484986775818;
50;78,41043840324224;103,3742443513615;
100;14,614835055055783;34,06475526703074;
500;0,5329752527747929;1,2513255803341692;
1000;0,26875126626089535;1,130477226268223;
1500;0,11877876379597357;0,7756578201431762;
2000;0,06642625008850808;0,5348684096936143;
2500;0,05508459187956593;0,5133469422789989;
3000;0,05389902011327946;0,31525531060170725;
3500;0,05369709707729241;0,29972711473565616;
4000;0,05317312265472227;0,1763095728804073;
4500;0,052968500371228106;0,16054102160506528;
5000;0,046879232087998705;0,15152324335547884;
6000;0,04668381173629302;0,13618240476908627;
7000;0,046417691284780835;0,1231338909799649;
8000;0,045150905045661445;0,11281915215327602;
9000;0,0013395100705134058;0,10348366019240868;
10000;0,001333838582764906;0,09597508564795966;
12000;0,0009755006012137738;0,08334703461230727;
14000;0,0006944456552355205;0,07364243906538835;
16000;0,0006829006780552492;0,06620979679414743;
18000;0,0006006989335560444;0,059890533263439086;
20000;0,0004886466517313802;0,05451623734940684;
25000;0,00031725367729698513;0,04388701597091292;
30000;0,00026471794740074773;0,03624800556969675;
35000;0,00025108423451678614;0,030163161175085166;
40000;0,0002406797075373129;0,025466185168153896;
45000;0,00021554385895616277;0,021531633744507072;
50000;0,00018410251764008716;0,01840225869871317;
55000;0,00015265007887760993;0,015844776939982593;
60000;0,00014562498414949854;0,01367976270104708;
65000;0,00013913459820244083;0,011826387300695016;
70000;0,00013377636729099414;0,010216542255508256;
75000;0,00012283693126111458;0,00889855909393542;
80000;0,00011783861150575638;0,007800706639160571;
85000;0,00011783861150575638;0,0068244647081249325;
90000;0,00010844318918791255;0,00596385797944143;
95000;0,00010326498604174261;0,005228702381798843;
100000;0,00010314378108058545;0,004593373259440065;











============================================================================
Função: schwefel
============================================================================
parameter;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
meanNFE;100001;100089;
meanFX;721,2599868322474;9,475194044821318;
melhorFX;439,40094353431283;0,00012727566354442388;
piorFX;1108,3336077242548;118,43846189010446;
medianFX;698,8937776621397;0,00012727566627290798;
sdFX;163,7803478329581;32,45773135500408;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
5;3936,5451128427703;4047,9404974579793;
50;3455,0406073582894;3788,880098810967;
100;2986,7202261636603;3762,8875657074177;
500;1929,2543464739;3029,4211498738746;
1000;1845,5314775340864;1939,619124891062;
1500;1767,7582072373343;1106,7835504876339;
2000;1713,5876198472906;807,7091553249066;
2500;1694,782130269922;625,3280789197715;
3000;1667,6829944943033;514,6094766048886;
3500;1599,4230036904464;446,2480148047737;
4000;1571,699436944562;384,93338566240107;
4500;1527,6157973538884;359,75036225123245;
5000;1496,011353952829;343,8364072822358;
6000;1461,651511635231;309,33649495659614;
7000;1435,3467512630261;290,85098032562814;
8000;1415,8178438440702;273,3944514489591;
9000;1367,0690102252256;254,1964782153247;
10000;1336,7858111402145;240,19306821785284;
12000;1270,9257948691213;224,80159142502308;
14000;1252,4305563273813;194,72744113192167;
16000;1226,0717289092645;171,8575722390128;
18000;1165,2889180459401;153,94139009380294;
20000;1120,2228453709422;137,3145069696536;
25000;1054,1378482159905;112,14585772686522;
30000;1004,1588171228691;93,0098488202482;
35000;971,0640414131328;71,69082994292901;
40000;925,1757680225128;51,797241900409325;
45000;903,5329572106551;45,07615653683476;
50000;878,1610402050316;40,53372403428356;
55000;851,6013582477794;37,900394352289055;
60000;842,8521111808218;33,16811984782093;
65000;828,0072778650718;28,651443568851928;
70000;804,9577189331754;26,282676876891244;
75000;796,4357278743079;16,80761222670345;
80000;768,0971017498268;16,807610107406173;
85000;756,0764502635197;14,438843415117544;
90000;747,6863992080021;14,438843415117326;
95000;736,9824528194824;9,475194067232087;
100000;721,2599868322474;9,475194044821329;











============================================================================
Função: ackley
============================================================================
parameter;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
meanNFE;100006;100161;
meanFX;0,22039627720918945;4,4637823322091207E-07;
melhorFX;0,07870835891206696;2,976129671594663E-07;
piorFX;0,5133187617305701;5,290438558347432E-07;
medianFX;0,20515659185238277;4,48529341667836E-07;
sdFX;0,09849986078085346;4,681359164732245E-08;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
5;20,93524080082209;20,962402570621045;
50;20,868057644499462;20,89314395057378;
100;20,81215013852337;20,89173518915621;
500;20,0365123044799;20,824185604100176;
1000;19,32915125209114;20,588739801794354;
1500;18,882361025716804;20,26175837570226;
2000;18,338945248720503;19,677493221890032;
2500;17,803181359829484;19,42559583228473;
3000;17,186164024328416;18,56802171855796;
3500;16,580771313150155;17,458642457100883;
4000;15,828096743915026;16,079335204574118;
4500;14,905065214571964;14,347520497199548;
5000;13,890937212410288;13,094830954291798;
6000;12,079272426977044;8,955922215828723;
7000;10,61756218879111;5,8141369814625445;
8000;9,613799226231194;4,129815836765717;
9000;8,738170273720948;2,658759852754512;
10000;8,020528261356842;1,989169286306161;
12000;7,154835215558246;0,9975611118138373;
14000;6,132065249351433;0,3742670819104222;
16000;4,952080962424626;0,0690645151381765;
18000;3,7535249402792243;0,017168037239733848;
20000;2,634906724202436;0,001310816496235816;
25000;1,4646326890318364;3,15989535934591E-06;
30000;1,162173696040208;6,115093862746334E-07;
35000;0,8636799118958713;5,357549726170418E-07;
40000;0,49181870410537704;5,03917271785781E-07;
45000;0,38447686023627375;4,985398129520036E-07;
50000;0,3592527635484209;4,945521529720054E-07;
55000;0,3244781440871804;4,900670889895764E-07;
60000;0,3117132381260037;4,847429573118234E-07;
65000;0,30611133113039835;4,771763249777905E-07;
70000;0,2742438940607687;4,729186898799753E-07;
75000;0,2675382572958731;4,7001749685193774E-07;
80000;0,26384496255670337;4,622695836786761E-07;
85000;0,2590303739799035;4,574436918858282E-07;
90000;0,2398974147650609;4,5357088261255287E-07;
95000;0,22671129125807213;4,497638833811379E-07;
100000;0,22039627720918945;4,4637823322091207E-07;











============================================================================
Função: beale
============================================================================
parameter;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
meanNFE;100002;100008;
meanFX;2,450629627116055E-05;3,6854519715509215E-10;
melhorFX;2,064811042570971E-06;6,392020364492344E-13;
piorFX;9,19051194382575E-05;6,202059891692368E-09;
medianFX;1,4795726632570265E-05;8,211195588023808E-11;
sdFX;2,2722712146046608E-05;1,07895860795896E-09;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
5;2597,522953627389;553,688400859821;
50;75,76742737714207;266,26308130179973;
100;8,69862570179392;54,23546159705197;
500;0,28920295960302556;1,4642018464922248;
1000;0,1814445426276936;0,8502837032355082;
1500;0,1235211016038801;0,7540780677278073;
2000;0,03680636875798647;0,7223992649004234;
2500;0,034904139844801514;0,5956267765173326;
3000;0,03366821070654961;0,49272008903158565;
3500;0,01782769806629694;0,4764615674371926;
4000;0,0025695276197833026;0,46382401882571;
4500;0,0025137544477522545;0,45473215140900936;
5000;0,0024676182473280365;0,4461747179717864;
6000;0,002158349462369285;0,4270158239298814;
7000;0,0018518044583713908;0,4116778155463246;
8000;0,0017481861604876883;0,4007658384818914;
9000;0,000434265871212907;0,3725787673395793;
10000;0,0003994655028590248;0,36443650530429494;
12000;0,00020905234686502974;0,3537014184311807;
14000;0,0001428361581075183;0,16558061530344656;
16000;0,00013492592478409608;0,15676691573738125;
18000;0,00013452254957778826;0,1535644451732774;
20000;0,00012235445148700046;0,12381501799772394;
25000;0,00010794246458059435;0,09703608124002154;
30000;7,57529026608859E-05;0,07674334788296482;
35000;6,890944899919241E-05;0,06103434718415075;
40000;5,990111936844702E-05;0,045995843010753504;
45000;5,2045475582188106E-05;0,03353801595203547;
50000;4,239165478588929E-05;0,018309897736917095;
55000;3,772470505205685E-05;0,01830632994983597;
60000;3,488970544910495E-05;0,0030783710324626566;
65000;3,3267775570055374E-05;0,0030746650102076224;
70000;3,237257370496002E-05;0,003074664501349019;
75000;3,1510778135434696E-05;0,003074661739654695;
80000;2,9767823168034565E-05;0,00307466164228795;
85000;2,5715738641768105E-05;3,126609914497679E-05;
90000;2,478671499050365E-05;3,635294610338412E-08;
95000;2,478671499050365E-05;3,73930043082258E-10;
100000;2,450629627116055E-05;3,6854519715509215E-10;



Execution Time: 110 s
