




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: spacecraft
============================================================================
parameter;AGEO2;
meanNFE;6922;
meanFX;196,94943319215952;
melhorFX;196,94943319215918;
piorFX;196,94943319215918;
medianFX;196,94943319215918;
sdFX;3,427787130223847E-13;
==========================================================
===> Melhores f(x) para cada execução:
execucao;AGEO2;
1;196,94943319215918;
2;196,94943319215918;
3;196,94943319215918;
4;196,94943319215918;
5;196,94943319215918;
6;196,94943319215918;
7;196,94943319215918;
8;196,94943319215918;
9;196,94943319215918;
10;196,94943319215918;
11;196,94943319215918;
12;196,94943319215918;
13;196,94943319215918;
14;196,94943319215918;
15;196,94943319215918;
16;196,94943319215918;
17;196,94943319215918;
18;196,94943319215918;
19;196,94943319215918;
20;196,94943319215918;
21;196,94943319215918;
22;196,94943319215918;
23;196,94943319215918;
24;196,94943319215918;
25;196,94943319215918;
26;196,94943319215918;
27;196,94943319215918;
28;196,94943319215918;
29;196,94943319215918;
30;196,94943319215918;
31;196,94943319215918;
32;196,94943319215918;
33;196,94943319215918;
34;196,94943319215918;
35;196,94943319215918;
36;196,94943319215918;
37;196,94943319215918;
38;196,94943319215918;
39;196,94943319215918;
40;196,94943319215918;
41;196,94943319215918;
42;196,94943319215918;
43;196,94943319215918;
44;196,94943319215918;
45;196,94943319215918;
46;196,94943319215918;
47;196,94943319215918;
48;196,94943319215918;
49;196,94943319215918;
50;196,94943319215918;
51;196,94943319215918;
52;196,94943319215918;
53;196,94943319215918;
54;196,94943319215918;
55;196,94943319215918;
56;196,94943319215918;
57;196,94943319215918;
58;196,94943319215918;
59;196,94943319215918;
60;196,94943319215918;
61;196,94943319215918;
62;196,94943319215918;
63;196,94943319215918;
64;196,94943319215918;
65;196,94943319215918;
66;196,94943319215918;
67;196,94943319215918;
68;196,94943319215918;
69;196,94943319215918;
70;196,94943319215918;
71;196,94943319215918;
72;196,94943319215918;
73;196,94943319215918;
74;196,94943319215918;
75;196,94943319215918;
76;196,94943319215918;
77;196,94943319215918;
78;196,94943319215918;
79;196,94943319215918;
80;196,94943319215918;
81;196,94943319215918;
82;196,94943319215918;
83;196,94943319215918;
84;196,94943319215918;
85;196,94943319215918;
86;196,94943319215918;
87;196,94943319215918;
88;196,94943319215918;
89;196,94943319215918;
90;196,94943319215918;
91;196,94943319215918;
92;196,94943319215918;
93;196,94943319215918;
94;196,94943319215918;
95;196,94943319215918;
96;196,94943319215918;
97;196,94943319215918;
98;196,94943319215918;
99;196,94943319215918;
100;196,94943319215918;



Execution Time: 425.151 s
