




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: spacecraft
============================================================================
parameter;AGEO2real2_AA3;
meanNFE;99278;
meanFX;196,95021415978186;
melhorFX;196,94943319215918;
piorFX;196,9519084937699;
medianFX;196,95009582494367;
sdFX;0,0004658797835946451;
==========================================================
===> Melhores f(x) para cada execução:
execucao;AGEO2real2_AA3;
1;196,9497488155142;
2;196,95009582494367;
3;196,95075725916004;
4;196,95061567779496;
5;196,95034691220076;
6;196,94964033139667;
7;196,9497488155142;
8;196,9498607806532;
9;196,95021926569598;
10;196,95047897492657;
11;196,95009582494367;
12;196,95021926569598;
13;196,95061567779496;
14;196,95021926569598;
15;196,9498607806532;
16;196,95061567779496;
17;196,9499763920116;
18;196,95061567779496;
19;196,95047897492657;
20;196,9497488155142;
21;196,9498607806532;
22;196,9499763920116;
23;196,95075725916004;
24;196,95021926569598;
25;196,94943319215918;
26;196,9512138967328;
27;196,95034691220076;
28;196,95034691220076;
29;196,9498607806532;
30;196,9497488155142;
31;196,94953517257412;
32;196,9499763920116;
33;196,95090397285537;
34;196,95061567779496;
35;196,95009582494367;
36;196,95021926569598;
37;196,95034691220076;
38;196,95047897492657;
39;196,95047897492657;
40;196,95034691220076;
41;196,9498607806532;
42;196,94964033139667;
43;196,95034691220076;
44;196,95090397285537;
45;196,9499763920116;
46;196,9512138967328;
47;196,9499763920116;
48;196,9498607806532;
49;196,9499763920116;
50;196,9498607806532;
51;196,9499763920116;
52;196,95061567779496;
53;196,95021926569598;
54;196,95075725916004;
55;196,95021926569598;
56;196,95009582494367;
57;196,9499763920116;
58;196,9519084937699;
59;196,95137770235448;
60;196,94964033139667;
61;196,94953517257412;
62;196,95009582494367;
63;196,9499763920116;
64;196,94964033139667;
65;196,9499763920116;
66;196,9498607806532;
67;196,95090397285537;
68;196,9498607806532;
69;196,95061567779496;
70;196,95009582494367;
71;196,95009582494367;
72;196,9499763920116;
73;196,95047897492657;
74;196,9497488155142;
75;196,95075725916004;
76;196,95021926569598;
77;196,9499763920116;
78;196,95021926569598;
79;196,94964033139667;
80;196,95075725916004;
81;196,95021926569598;
82;196,9498607806532;
83;196,94964033139667;
84;196,95075725916004;
85;196,95021926569598;
86;196,95075725916004;
87;196,95047897492657;
88;196,94943319215918;
89;196,9499763920116;
90;196,95075725916004;
91;196,95009582494367;
92;196,9499763920116;
93;196,95021926569598;
94;196,9498607806532;
95;196,9499763920116;
96;196,94964033139667;
97;196,9498607806532;
98;196,9498607806532;
99;196,9512138967328;
100;196,95105608931044;



Execution Time: 3268.193 s
