




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: spacecraft
============================================================================
parameter;AGEO2var;
meanNFE;98007;
meanFX;197,1840575091161;
melhorFX;196,94943319215918;
piorFX;201,74424483496134;
medianFX;196,98762395636953;
sdFX;0,7079388047316916;
==========================================================
===> Melhores f(x) para cada execução:
execucao;AGEO2var;
1;197,02310608381777;
2;196,95137770235448;
3;196,95047897492657;
4;196,9512138967328;
5;196,9512138967328;
6;196,95137770235448;
7;196,9529482832226;
8;196,95229895559933;
9;196,9497488155142;
10;196,95090397285537;
11;196,9534295018424;
12;197,4574490767759;
13;196,95154783373445;
14;196,9520997914363;
15;196,98762395636953;
16;197,04138698473898;
17;196,95229895559933;
18;196,98762395636953;
19;197,028962976095;
20;196,9529482832226;
21;197,29566610496164;
22;196,95137770235448;
23;196,9534295018424;
24;196,98762395636953;
25;197,05733074797382;
26;196,98762395636953;
27;198,40044213609025;
28;196,95137770235448;
29;197,0526403799143;
30;197,06773898805568;
31;196,98762395636953;
32;196,95137770235448;
33;197,1675167328874;
34;196,98762395636953;
35;201,11230568735138;
36;196,95137770235448;
37;196,95137770235448;
38;197,07353478071747;
39;197,12925151920555;
40;201,74424483496134;
41;197,028962976095;
42;197,14374357390986;
43;196,95137770235448;
44;196,95090397285537;
45;197,0526403799143;
46;197,13637129049206;
47;197,10305553440233;
48;197,028962976095;
49;197,1784767689906;
50;197,18705232366966;
51;197,02310608381777;
52;196,94943319215918;
53;196,95137770235448;
54;196,95021926569598;
55;196,98762395636953;
56;197,2630405330847;
57;196,98762395636953;
58;197,06773898805568;
59;199,57926181983254;
60;196,98762395636953;
61;196,99687936241696;
62;197,05733074797382;
63;197,45196137448775;
64;197,1675167328874;
65;196,96325287834557;
66;196,9520997914363;
67;197,92470360006072;
68;197,06951193713752;
69;197,02310608381777;
70;196,94953517257412;
71;196,9499763920116;
72;196,94943319215918;
73;197,1553055177778;
74;196,95154783373445;
75;196,96325287834557;
76;196,95090397285537;
77;197,13657450347478;
78;196,95137770235448;
79;197,37820586816744;
80;197,28248896734002;
81;197,18490605029794;
82;196,95137770235448;
83;196,9499763920116;
84;196,98762395636953;
85;196,95090397285537;
86;197,02310608381777;
87;196,95009582494367;
88;196,97897119837825;
89;197,12925151920555;
90;196,95250643576009;
91;197,18490605029794;
92;197,00175304558786;
93;198,6874458260976;
94;196,95137770235448;
95;197,09014761681294;
96;197,05979769777977;
97;197,08551331478014;
98;196,94964033139667;
99;196,9499763920116;
100;197,04138698473898;



Execution Time: 3829.869 s
