




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: griewangk
============================================================================
parameter;AGEO2;AGEO2var_5;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
meanNFE;100100;100100;100001;100089;
meanFX;0,07849699862597886;0,006297447474112536;0,32342458881975056;0,014568303572807759;
melhorFX;0,001258309062922569;0,0016391341322672393;0,10799182681869335;1,577515895689885E-12;
piorFX;0,20818273360143613;0,02511852345043719;0,46968009026042623;0,08115012453039583;
medianFX;0,07091585407341683;0,005173916692458591;0,3415967336365995;0,012316072520713206;
sdFX;0,05148295173089088;0,004065505461352465;0,08607722892906526;0,0161105161946915;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;AGEO2var_5;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
5;283,0332754647431;283,0332754647431;300,36018677945617;282,060481543418;
50;251,3855878016062;251,3855878016062;273,0953342871281;264,30719455833685;
100;237,15021156062264;237,15021156062264;238,39064743360493;263,48315137369696;
500;170,1660547511593;61,5914749213661;21,389359320263296;198,62559270529167;
1000;66,5668132704459;4,13219867188175;1,2179599252296547;106,9553034702076;
1500;22,2866528134284;0,5390662177353935;0,9827324856922881;47,073472387971044;
2000;8,226313277548696;0,2856393690300117;0,9115013728756135;16,10871916304983;
2500;3,9955440373918933;0,22563328537660238;0,8664574587234061;1,1338591674254566;
3000;2,1358945504395606;0,21372514674913842;0,821796094992665;0,5470377052856966;
3500;1,4727501751098688;0,20748106943823888;0,7930350861573475;0,3043423121342631;
4000;1,1142627118834227;0,17978423001157895;0,7717809754047978;0,16237715959274054;
4500;0,9256334977510556;0,17058618952320184;0,729900368427557;0,12408769209561298;
5000;0,7755422770960735;0,14900729956368783;0,6966703278731846;0,09549403453129297;
6000;0,5704525653206055;0,12774742642491516;0,6533917703498241;0,06265535616578155;
7000;0,4071972564665767;0,12250396702796557;0,640240337753361;0,049806834630092923;
8000;0,35162021422753753;0,09266800826213949;0,629206300621547;0,04408699145736029;
9000;0,32520555015688385;0,08857328211349222;0,5997371059145887;0,041129956750713556;
10000;0,3165846783647004;0,08802232916317804;0,582370916743864;0,03927200449719529;
12000;0,2985050258470798;0,08368476683480315;0,5544368691085682;0,03731235408773082;
14000;0,2751054569470535;0,06893116323631672;0,5125805696281828;0,03619070682802965;
16000;0,2612584126614065;0,05627203189959786;0,4953832906766927;0,03461925941487478;
18000;0,24905820052764527;0,050394501388485564;0,47290365530904876;0,03358376283432492;
20000;0,2373110320795694;0,045654743284649725;0,46107074790204167;0,031091528505895107;
25000;0,1914274085488393;0,038002346857276964;0,4365087846420316;0,028847932289841553;
30000;0,16326039133005235;0,026534721783736757;0,4067073596131838;0,027565552970823873;
35000;0,1488549379055849;0,024025270145470914;0,39157325421929573;0,02700623984608628;
40000;0,14229660712114112;0,02215826126285009;0,3805471876691533;0,02555007845318453;
45000;0,12752853872297432;0,021426779121400345;0,37425248064473876;0,02320321434591662;
50000;0,11626936999725423;0,01808019741765108;0,36989019559546077;0,020390074382475074;
55000;0,1098232702386563;0,014947541177450195;0,35398357748716264;0,019839331039905928;
60000;0,10134118786212083;0,011570772618440379;0,35303355867972647;0,01909258896237971;
65000;0,09895354717669937;0,01080384457669485;0,3454840408276744;0,01869903429225464;
70000;0,09788228322548305;0,009284800962317123;0,3371983365198645;0,018108876110546842;
75000;0,091678453156811;0,00857158037684149;0,3364528320150906;0,016747121198396657;
80000;0,08615133748037321;0,008388176967095515;0,335424881718833;0,016683311452222894;
85000;0,08414918104611713;0,0079058157235379;0,3335232064936357;0,01668311625087103;
90000;0,0799442871591055;0,007340068650074116;0,3317468695238418;0,016143259847075243;
95000;0,07933857828768279;0,007329406746954636;0,32865650403230917;0,015749518853676345;
100000;0,07849699862597886;0,006297447474112536;0,32342458881975056;0,014568303572854394;











============================================================================
Função: rastringin
============================================================================
parameter;AGEO2;AGEO2var_5;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
meanNFE;100160;100160;100002;100170;
meanFX;16,11643757786475;11,726777621136112;4,847461170634479;3,184652541676769E-13;
melhorFX;7,046906525828568;5,966428990105754;1,9777567313277942;1,7053025658242404E-13;
piorFX;30,10544104611144;19,13315025840808;8,03916444002919;4,405364961712621E-13;
medianFX;15,989476676190037;12,013148994553788;4,912247524344359;3,197442310920451E-13;
sdFX;4,5860633023046065;2,642469108539452;1,4242388287612768;5,647407807079984E-14;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;AGEO2var_5;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
5;223,68560518562742;223,68560518562742;234,08933819641877;230,50106690153527;
50;216,25900055548303;216,25900055548303;224,160445331224;220,53521977116677;
100;213,8464754533619;213,8464754533619;218,7328055063;220,53521977116677;
500;205,9704156838539;171,65384532323034;160,31788498060382;209,38830075409263;
1000;193,6163688681038;98,18071537549667;131,33888755437323;172,6191601960555;
1500;175,96016589067816;63,24248735421625;119,36544641777272;143,19804653814262;
2000;149,96844693952377;37,17246087675575;109,6713166562391;90,4113058231519;
2500;131,37444618200337;30,069838763412903;98,63728304039921;54,68931109631163;
3000;108,6101524706001;25,48552265567172;90,0184943622269;37,8248659896142;
3500;94,93244470625669;24,687953195329513;84,41646801829164;22,844383835694867;
4000;78,7072634126127;24,00364463666714;79,94685469844968;14,398912747553613;
4500;69,03889207259526;23,853403550973685;75,15260723394873;10,89334681284508;
5000;60,40621284920017;23,815183248879766;72,83545737952527;8,21533340330379;
6000;47,91210938718164;23,74496591212311;64,03017818787967;4,878050513423275;
7000;39,076374109752614;23,51836064103115;59,57450195860886;3,0330750123258987;
8000;32,82236403108236;22,912524753644643;54,90318995693234;2,2394631694180642;
9000;27,837695710259997;21,925968675148198;47,37590400131403;1,6500012475527028;
10000;24,93712371307236;20,66323454638884;41,59562716020803;1,2927870486571909;
12000;21,737953637379224;20,24216387762099;36,29966646182968;0,49509125499732265;
14000;20,438400194774644;19,788962930246228;29,16681258087001;0,2298229094387085;
16000;19,951312063653344;19,332549610294485;24,114621954407525;0,17762634754659287;
18000;19,679502746454208;18,484093212140255;20,824643388285036;0,12726075586846547;
20000;19,6030867824735;18,123125927274064;18,756982482671866;0,050420640363130785;
