




============================================================================
============================================================================
O que irá executar a seguir: tuning_AGEOreal1_P
============================================================================
============================================================================





============================================================================
Função: Griewangk
============================================================================
porcent;fx
0,50;1,958551433102850E-01
1,00;3,274928650585760E-01
1,50;4,258086414612270E-01
2,00;5,626515925179910E-01
2,50;6,346056348107180E-01
3,00;7,079745294328200E-01
3,50;7,383581861624260E-01
4,00;8,160260469211140E-01
4,50;8,571665141152050E-01
5,00;8,911712693192680E-01
5,50;9,306088650676740E-01
6,00;9,903311291808130E-01
6,50;9,657291905134210E-01
7,00;1,014743079460260E+00
7,50;1,046290146168000E+00
8,00;1,038835990105830E+00
8,50;1,094671609844260E+00
9,00;1,108211518244760E+00
9,50;1,120544329929320E+00
10,00;1,126764629684700E+00
10,50;1,152067066326930E+00
11,00;1,173345860804150E+00
11,50;1,190042838862190E+00
12,00;1,198882992773540E+00






============================================================================
Função: Rastringin
============================================================================
porcent;fx
0,50;1,632774444976120E+02
1,00;1,576861455920840E+02
1,50;8,652937333343960E+01
2,00;2,784309133436910E+01
2,50;1,202326964660250E+01
3,00;6,526201630256220E+00
3,50;4,404296316551590E+00
4,00;3,409115749898960E+00
4,50;3,375228443747920E+00
5,00;3,093803606646300E+00
5,50;3,323194071340240E+00
6,00;3,146992001410490E+00
6,50;3,145618798971470E+00
7,00;3,283440487347540E+00
7,50;3,596534390386090E+00
8,00;3,682244156441220E+00
8,50;4,264689670512020E+00
9,00;3,896969219707270E+00
9,50;4,553777309508560E+00
10,00;4,458270481954710E+00
10,50;5,032505063954980E+00
11,00;5,011509621917210E+00
11,50;5,003824786595140E+00
12,00;5,364541942981060E+00






============================================================================
Função: Rosenbrock
============================================================================
porcent;fx
0,50;6,530358807671750E-06
1,00;2,008918084449820E-05
1,50;4,629421617577080E-05
2,00;6,652171380718720E-05
2,50;6,328066225000520E-05
3,00;1,925806264737090E-04
3,50;1,457271808872650E-04
4,00;1,812993062800150E-04
4,50;3,108467729725700E-04
5,00;3,090944667132690E-04
5,50;4,571362979382340E-04
6,00;6,442928559304580E-04
6,50;6,748329564954830E-04
7,00;7,953288350642830E-04
7,50;6,644734521516070E-04
8,00;6,305754517680130E-04
8,50;5,919693522850880E-04
9,00;1,585021198385930E-03
9,50;1,193048490441470E-03
10,00;1,288993645923530E-03
10,50;9,706208294421510E-04
11,00;1,274967429103950E-03
11,50;1,921782110118090E-03
12,00;1,483572687678870E-03






============================================================================
Função: Schwefel
============================================================================
porcent;fx
0,50;1,941784119580690E+03
1,00;1,785537910214410E+03
1,50;1,703505486498750E+03
2,00;1,417137504218880E+03
2,50;1,213006413817500E+03
3,00;9,347913856225430E+02
3,50;7,607248813575160E+02
4,00;6,717464353937880E+02
4,50;5,197114458429830E+02
5,00;5,494501355179400E+02
5,50;4,802056010297250E+02
6,00;4,556641422644680E+02
6,50;4,612686815298850E+02
7,00;3,973265834823300E+02
7,50;3,989212800467720E+02
8,00;4,199716946091110E+02
8,50;4,280774163902580E+02
9,00;3,853203168090030E+02
9,50;3,584049546944620E+02
10,00;3,472695119332890E+02
10,50;3,823203575973930E+02
11,00;3,698621891874760E+02
11,50;3,906638534739540E+02
12,00;3,660194287598420E+02






============================================================================
Função: Ackley
============================================================================
porcent;fx
0,50;1,920006570659300E+01
1,00;1,860717840250020E-01
1,50;2,892830790659560E-01
2,00;4,009411894678630E-01
2,50;5,458398752529770E-01
3,00;6,933882046309810E-01
3,50;8,318135718489780E-01
4,00;9,189070234172820E-01
4,50;1,120937842878970E+00
5,00;1,261686482709060E+00
5,50;1,443923506450020E+00
6,00;1,557626907213080E+00
6,50;1,722366337775040E+00
7,00;1,850346071360280E+00
7,50;2,010392263519440E+00
8,00;2,114787995589590E+00
8,50;2,225363095484700E+00
9,00;2,295671750639420E+00
9,50;2,470601121766580E+00
10,00;2,558168433536920E+00
10,50;2,694906897080950E+00
11,00;2,634496346024340E+00
11,50;2,754750533873580E+00
12,00;2,887696742905880E+00






============================================================================
Função: Beale
============================================================================
porcent;fx
0,50;2,538844409072280E-01
1,00;5,079106616854910E-02
1,50;7,921384331207600E-06
2,00;1,963117925751880E-05
2,50;2,125375465542840E-05
3,00;4,111548582973550E-05
3,50;5,889017988185930E-05
4,00;3,119976314679290E-05
4,50;6,995133088443010E-05
5,00;1,123699173574520E-04
5,50;1,403709576127590E-04
6,00;9,621525011169500E-05
6,50;1,591501839960490E-04
7,00;1,931034706242940E-04
7,50;1,536581889603450E-04
8,00;2,789232105836110E-04
8,50;3,078337382174640E-04
9,00;2,167364419989260E-04
9,50;3,317368194972390E-04
10,00;3,050692957472020E-04
10,50;3,726073201570730E-04
11,00;4,337526844691440E-04
11,50;4,749256540871500E-04
12,00;4,592089338557770E-04


Execution Time: 826891 ms
