




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEOreal1_P;AGEO2real1_P_autoadap_p;
meanNFE;100000;100001;
meanFX;0,1885441800126693;0,31706202007242423;
melhorFX;0,08999937392526458;0,130015143134266;
piorFX;0,25007673575433653;0,5323452696477912;
medianFX;0,1951477600691066;0,32711657659210214;
sdFX;0,03860212357718754;0,08997306433866575;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEOreal1_P;AGEO2real1_P_autoadap_p;
5;288,06153345385474;287,17239239801535;
50;284,1937710894079;270,44730016762173;
100;279,19905024044965;260,79715915064855;
500;220,85392111694205;113,93723342053411;
1000;157,25247731923244;36,26144280108345;
1500;105,6825269875466;9,073021449611216;
2000;64,79314425137792;1,1892166372200703;
2500;35,213679785699505;0,9427251038812337;
3000;16,294563327971733;0,8907392582471558;
3500;6,028898146499013;0,8538070591642697;
4000;1,9990152569276298;0,8352904877101699;
4500;0,838943386139697;0,8056424701422535;
5000;0,5653466358707622;0,7737456207726954;
6000;0,4380728075891177;0,7358739729726954;
7000;0,3984343073569798;0,6867903746785657;
8000;0,37549911929493424;0,656326987872498;
9000;0,3325396816133006;0,638398025064723;
10000;0,3227422827761718;0,6185444938983423;
12000;0,2929814199996259;0,5977127006937757;
14000;0,2831482205291047;0,5729734470336829;
16000;0,2760466525081958;0,5541759837427804;
18000;0,26762010121787905;0,5221219828770776;
20000;0,2612962412968078;0,5105210266445924;
25000;0,2548450190958303;0,4728142979010853;
30000;0,24393058809548562;0,44620868296907934;
35000;0,23937583870165371;0,42978411083512524;
40000;0,23302449605471018;0,4195809046358795;
45000;0,22639736098557442;0,4123432925182756;
50000;0,22102614198051596;0,4121095396608111;
55000;0,21165386972278596;0,3828339141493486;
60000;0,20797382195768493;0,38168506111424516;
65000;0,20193367763391393;0,3707935619362784;
70000;0,1976756932483285;0,3570385759688055;
75000;0,19749784374967486;0,35506560725770253;
80000;0,19690288769466097;0,354335392404984;
85000;0,19390310474001698;0,3371111931429817;
90000;0,19358031405099577;0,3269433016237052;
95000;0,1926707923412173;0,3243713131804048;
100000;0,1885441800126693;0,31706202007242423;











============================================================================
Função: Rastringin
============================================================================
parameter;AGEOreal1_P;AGEO2real1_P_autoadap_p;
meanNFE;100000;100002;
meanFX;6,245206446582375;3,9776596793268544;
melhorFX;3,5621920288184725;1,939863046959509;
piorFX;9,310407951890525;7,0711445758148415;
medianFX;6,1970207806353415;4,051244459776186;
sdFX;1,2617463638950202;1,0632021887117717;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEOreal1_P;AGEO2real1_P_autoadap_p;
5;231,07226601548777;231,35347302767568;
50;223,7837915003954;225,76968996717565;
100;217,99394888784173;222,28398604358608;
500;154,29844312484104;178,0477831907857;
1000;127,15422867558532;134,69982432673063;
1500;110,7568000541507;115,43723762522674;
2000;97,51223527314015;98,39714512329438;
2500;86,70082057362363;84,85360963192913;
3000;78,79110860161295;76,63966787620569;
3500;70,74893188426003;69,71692726273594;
4000;63,712839787374435;64,6708346319131;
4500;58,01768834187136;62,00262465367227;
5000;53,48271094044607;58,800523928362864;
6000;45,15129880105301;50,47746860516754;
7000;39,372061160314814;42,06321496714926;
8000;34,507501000086215;36,74758120257672;
9000;29,225307127843273;33,43345828495028;
10000;25,873792943987844;30,627325398747637;
12000;21,73011637087402;25,23792296257231;
14000;17,22552205234209;21,796951116063532;
16000;15,046430562149306;16,20587668181425;
18000;13,648306591981987;14,470474657176558;
20000;12,485660444882749;13,782167900113077;
25000;11,076237862939939;11,97805713120819;
30000;9,83559574590592;9,161246361886834;
35000;8,82871306027206;7,812603533801448;
40000;8,292938362350654;6,4554066959962455;
45000;7,901020425319123;6,149669455424683;
50000;7,690946342062236;5,398611420658763;
55000;7,3711862248226625;5,121162648813865;
60000;7,3189270571780325;4,783532592091449;
65000;7,104775137063496;4,704404379381171;
70000;7,035179573912518;4,662198324679184;
75000;6,985263957138864;4,591983182814107;
80000;6,62475400212428;4,475481464817262;
85000;6,477188443735587;4,332351266517933;
90000;6,477188443735587;4,310386238289781;
95000;6,350964146019315;4,096155025768757;
100000;6,245206446582375;3,9776596793268544;











============================================================================
Função: Rosenbrock
============================================================================
parameter;AGEOreal1_P;AGEO2real1_P_autoadap_p;
meanNFE;100000;100002;
meanFX;5,717703829422957E-06;8,468122139311413E-05;
melhorFX;1,2056159667653512E-07;8,039950719421737E-07;
piorFX;3,125795668157258E-05;0,0003758159345182952;
medianFX;4,266428793666104E-06;5,4978113413307596E-05;
sdFX;6,35076057802911E-06;8,208097100696422E-05;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEOreal1_P;AGEO2real1_P_autoadap_p;
5;463,8486910278592;436,95805425045336;
50;378,27622404383715;87,02101328800543;
100;310,5256802142411;43,350159855414525;
500;93,98306988221043;0,6959477120484381;
1000;8,482375289337217;0,46809268255550124;
1500;0,8874337745913563;0,4005171488151613;
2000;0,758515511167901;0,3022113909101329;
2500;0,6556630090920835;0,2340542050939293;
3000;0,5634917750520134;0,22877523826389196;
3500;0,49976454732471254;0,2155313598498417;
4000;0,4341900529436705;0,20497894675568645;
4500;0,3697793043426928;0,19303316464268455;
5000;0,3492913453814555;0,19220351522185558;
6000;0,2934341908099284;0,11033233632220343;
7000;0,22054156767805794;0,1086645387833333;
8000;0,14246504458604475;0,10316648668010034;
9000;0,10241015106579558;0,10267334805597836;
10000;0,04298008912573305;0,09990862013882887;
12000;0,015945725756108847;0,09748840292261175;
14000;0,008101607506947701;0,05647566801475921;
16000;0,0048283000888854925;0,05636711741993231;
18000;0,001086379078546943;0,05580848053115474;
20000;0,00015701770523241965;0,002259027949368824;
25000;4,782947796832455E-05;0,0021121408951966666;
30000;3,9988200450614655E-05;0,0009215064486615169;
35000;3,4203436020693195E-05;0,0005498315245977957;
40000;2,605097161231197E-05;0,00038920986767524985;
45000;2,201201139368558E-05;0,0003707202348694714;
50000;1,8781793195936693E-05;0,00036186202050103865;
55000;1,7407106251589146E-05;0,0003256029726320421;
60000;1,3514753144509827E-05;0,00030340959767083777;
65000;9,658626490033917E-06;0,000224337423885666;
70000;8,631878659977909E-06;0,0001437890147499;
75000;8,604545036321391E-06;0,00014331792120359974;
80000;7,24382221270699E-06;0,00013439458078585417;
85000;6,128360799956293E-06;0,00011640850480561533;
90000;5,884756318646439E-06;0,00010598119524012691;
95000;5,884756318646439E-06;8,914680545284924E-05;
100000;5,717703829422957E-06;8,468122139311413E-05;











============================================================================
Função: Schwefel
============================================================================
parameter;AGEOreal1_P;AGEO2real1_P_autoadap_p;
meanNFE;100000;100001;
meanFX;328,80040105039154;681,7926486737244;
melhorFX;118,55311225350897;357,4690469046591;
piorFX;547,0855807694584;1267,6802809489377;
medianFX;336,3754490905967;646,0559532500147;
sdFX;107,23399036371273;191,0539060285523;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEOreal1_P;AGEO2real1_P_autoadap_p;
5;3814,1477731630016;3854,0567850156754;
50;3244,760148659634;3485,2633011612656;
100;2598,403671465439;3194,3364818920472;
500;1597,835601280089;1970,407556692605;
1000;1350,324060398333;1845,1508996263594;
1500;1183,849340117165;1797,6393939970208;
2000;1076,5905318623716;1754,5284008115445;
2500;1034,0569480833744;1702,8119839548922;
3000;987,2922021157276;1659,3751705809932;
3500;944,4208163505634;1593,5268360942293;
4000;910,4818924270951;1548,474569984345;
4500;871,057908641828;1510,444661349905;
5000;847,5414573891909;1470,1118931760413;
6000;816,8496573608975;1428,754241613894;
7000;766,015411037148;1372,822745716077;
8000;730,9752076550146;1331,732661425996;
9000;708,0317462982899;1300,8598012403477;
10000;705,0206903995738;1270,12773418808;
12000;662,0312437359064;1252,772535822133;
14000;624,5558912358317;1206,0159741133798;
16000;588,1467170210943;1172,529301666827;
18000;573,2463464405312;1145,587543710198;
20000;545,3610600402606;1119,4155085566556;
25000;521,0927607630553;1027,620091757157;
30000;479,2410391647989;971,5909546645931;
35000;442,98582421503215;929,2960295717533;
40000;434,48490711596185;906,3430208359134;
45000;427,1848698142041;877,5221825912782;
50000;422,09996961375384;871,4831497480245;
55000;413,4064711931545;833,141185091083;
60000;394,2315665259893;783,3995806399978;
65000;377,02985529000455;765,649516407949;
70000;373,70820485190325;748,2768940403827;
75000;369,1700438811672;727,3639514500361;
80000;359,2452230660077;713,0530295119686;
85000;354,67720380900107;698,5397882044628;
90000;349,2421576260056;694,4195391874869;
95000;340,86282155773506;685,6389602760662;
100000;328,80040105039154;681,7926486737244;











============================================================================
Função: Ackley
============================================================================
parameter;AGEOreal1_P;AGEO2real1_P_autoadap_p;
meanNFE;100020;100006;
