




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: griewangk
============================================================================
parameter;GEOreal1_M;GEOreal1_P;GEOreal1_A;GEOreal2_M_VO;GEOreal2_P_VO;GEOreal2_A_VO;GEOreal2_M_DS;GEOreal2_P_DS;GEOreal2_A_DS;
meanNFE;100000;100000;100000;100011;100011;100011;100011;100091;100091;
meanFX;0;0,14285952486890963;0,0870959438431894;0;0,002114740371013284;0,002350818053498327;0;0,033349990116537984;0,03290731179937374;
melhorFX;0;0,07439194927759851;0,029338863789515335;0;1,9599351301358148E-05;8,17189923307815E-06;0;0;0;
piorFX;0;0,196329982843802;0,13730703103820185;0;0,011888629121669658;0,014830564113890277;0;0,10575276532633804;0,10816751092157117;
medianFX;0;0,14990908681002946;0,08307123786325621;0;0,00021663153834994286;9,472270238986003E-05;0;0,03442068795285047;0,029481123964806843;
sdFX;0;0,028258844918828678;0,02470339315367443;0;0,0035601696457227845;0,0044101428617409994;0;0,023498169954201877;0,024654009499774806;
==========================================================
===> f(x) médio para cada NFE:
NFE;GEOreal1_M;GEOreal1_P;GEOreal1_A;GEOreal2_M_VO;GEOreal2_P_VO;GEOreal2_A_VO;GEOreal2_M_DS;GEOreal2_P_DS;GEOreal2_A_DS;
5;277,8525250711966;308,0396003021326;309,20544233560537;292,7513255462885;309,0714927442328;309,2669121616028;288,3670510613615;309,12912727755247;308,484191048774;
50;162,41199831487813;301,7783757442465;307,1251877587176;239,78325995061192;305,4276388287195;306,707598701723;236,53586050697248;306,6563068024363;307,26495022305596;
100;85,6844290356336;294,93833534877547;304,4774219950725;112,74382323100065;301,22804276850627;301,2436425948074;87,45739886748171;305,4309054367711;307,26495022305596;
500;1,1889026476846414;235,44718796349483;290,6011934345306;0,9521744812675728;253,51190387475938;255,15469154251014;0,8144851863001966;278,8931466973902;288,9627511833984;
1000;0,11394154275156543;170,08207967841406;275,14683711772165;0,20518314511968583;197,32985434665636;202,68450951288034;0,08069091538560647;248,43004503792258;257,63701982575867;
1500;0,04499542817748359;112,0652532695633;260,38073294955024;0,08662684398459314;153,24249137265411;160,8783076371463;0,028688041387618102;217,88490783558223;233,950138663925;
2000;0,005453704539860438;69,16392308952149;243,09186288084075;0,027075441635725395;110,22264271573877;119,42505026003843;0,011082921664354872;190,3957973566031;211,1639632931007;
2500;5,451590290306285E-10;35,945687298241694;227,05613827016182;0,011384703100403903;72,4504767712655;88,63232831128813;3,954719163257181E-09;160,29339701282146;189,47119236118328;
3000;5,440092820663267E-15;14,685271674609124;212,1589823661737;1,5682933840466262E-09;50,24951982869195;66,45837348683659;1,1102230246251565E-16;142,11730993689395;168,29117790401537;
3500;0;3,746715793706487;200,17889986769745;2,7755575615628914E-16;30,72276802702205;47,547713878398525;0;120,01406756044685;145,00499584680847;
4000;0;0,8704939771905229;186,42628720802128;0;16,88171052064294;31,94134510502775;0;102,26253631597376;125,54302850023389;
4500;0;0,6374917937864044;174,36803850118864;0;9,254630866639621;18,844510360783985;0;85,70954263227426;110,80054230439258;
5000;0;0,4610684050075195;159,84126284796656;0;4,331265155601534;13,206316866013616;0;71,01745044835309;96,46398981631945;
6000;0;0,3494235911758016;136,36854780688572;0;1,1360064935864649;4,907233890792845;0;47,947739351172984;73,5445256002548;
7000;0;0,3223913611219115;115,15382880709367;0;0,3730033591528798;1,2637042673792853;0;29,725587748355515;52,87017093834545;
8000;0;0,27956344775724207;95,2081911787896;0;0,1340124734760203;0,6524057984903224;0;19,113758230494824;37,150457564293085;
9000;0;0,2658230256565684;76,51712923543649;0;0,05714105416340215;0,11866902583339545;0;10,265041598479705;24,965051946626588;
10000;0;0,24356975200198122;62,17871644770901;0;0,04612762302312745;0,07591024109919497;0;5,767637105174471;16,63829165190844;
12000;0;0,20877212093690894;37,00314508303123;0;0,025903763870848362;0,04586981828420611;0;1,6631865587138923;5,033405501573437;
14000;0;0,2031911817476018;20,38209318907223;0;0,016679489383112034;0,034801666167526835;0;0,5762535131807904;2,301382656751053;
16000;0;0,19991247005015328;9,90739720098075;0;0,015384139577311329;0,029308792270857753;0;0,15010021499833875;1,027774227255989;
18000;0;0,19573670767195545;4,876436362126212;0;0,013935111462533734;0,02745435855402034;0;0,08974372101434908;0,6176261269855645;
20000;0;0,18597160331965723;2,762822814562603;0;0,013491334174653535;0,025797610504647794;0;0,0590663781900842;0,25559675537703713;
25000;0;0,18038834308386126;0,6574050228049888;0;0,011593556361212787;0,018522588308929888;0;0,041762811527443156;0,07424367665421056;
30000;0;0,17672709327393804;0,2803320508680488;0;0,010081431869619684;0,012359053205452109;0;0,037237022641901374;0,043052266215985235;
35000;0;0,1732383762185037;0,18618966504237533;0;0,007476194072100206;0,007831804414617005;0;0,03688076453736655;0,03567957205001321;
40000;0;0,1721746143520984;0,16346858975858647;0;0,007433094258533335;0,0074750712548660725;0;0,03688076453736655;0,030723964606699294;
45000;0;0,16491046246613422;0,1387563961555277;0;0,0012152181781403537;0,00620998601801781;0;0,03688076453736655;0,02948112396480712;
50000;0;0,16396278731919905;0,12425156456164;0;0,0012152181781403537;0,00620998601801781;0;0,03686236797746889;0,028271296963970516;
55000;0;0,16227005900952218;0,12312630511776984;0;0,0005558417426514417;0,0012037430367868862;0;0,03563908809521488;0,028271296963970516;
60000;0;0,16027649000465644;0,11295103210805557;0;0,0005232537086593547;0,0010808053752364155;0;0,03563908809521488;0,028271296963970516;
65000;0;0,1592268773110228;0,10960447888757457;0;0,00026279327233103;0,0009929744657455886;0;0,03563908809521488;0,028271296963970516;
70000;0;0,15261405041816017;0,10497872996867763;0;0,00024767993288266066;0,0008833537823992321;0;0,03563908809521488;0,028271296963970516;
75000;0;0,15261405041816017;0,09829026059775514;0;0,00023862947882441476;0,0008833537823992321;0;0,03563908809521488;0,028271296963970405;
80000;0;0,1516408759450511;0,09518033170811557;0;0,00022335765218017833;0,00026370179886947565;0;0,03563908809521488;0,028271296963970405;
85000;0;0,1516408759450511;0,09359479537135346;0;0,00021183193397961153;0,00017776692943793915;0;0,03563908809521488;0,028271296963970405;
90000;0;0,1516408759450511;0,0837417215397101;0;0,00021183193397961153;0,00017776692943793915;0;0,031965578226768876;0,028271296963970405;
95000;0;0,1503882059448059;0,08240525983840219;0;0,00021183193397961153;0,00017776692943793915;0;0,031965578226768876;0,028271296963970405;
100000;0;0,14939502780346742;0,08240525983840219;0;0,00021183193397961153;9,269438144993147E-05;0;0,031965578226768876;0,028271296963970405;

==========================================================
===> Melhores f(x) para cada execução:
execucao;GEOreal1_M;GEOreal1_P;GEOreal1_A;GEOreal2_M_VO;GEOreal2_P_VO;GEOreal2_A_VO;GEOreal2_M_DS;GEOreal2_P_DS;GEOreal2_A_DS;
1;0;0,16637971407796492;0,08578859688730622;0;0,0075599947389273225;0,00018123874830811015;0;0,007396040334115339;0;
2;0;0,11806696120155535;0,07766969780085842;0;0,0001154601370657593;4,42815205830005E-05;0;0,022126733432877743;0,05162744179030543;
3;0;0,1337052831786203;0,029338863789515335;0;0,0002471751916384157;2,162448052989152E-05;0;0,012316072519261811;0,07131498491765409;
4;0;0,10082038523321446;0,06910806021350302;0;2,067403011929425E-05;2,1588573853148496E-05;0;0,019697356010341505;0,06888066639996293;
5;0;0,15846319241611628;0,07981612867997856;0;4,8199072096966056E-05;0,00014964937951500445;0;0,019689998004848608;0,03938245756335512;
6;0;0,15086732507958234;0,1043050378072864;0;0,009959268532592436;6,849560585897585E-05;0;0,03442068795285047;0,058991580009234545;
7;0;0,16280276490723788;0,09846263592826454;0;5,821787615045704E-05;0,010715835333163448;0;0,04921270757647678;0,029481123964807066;
8;0;0,16092710713237646;0,08307123786325621;0;6,972409758743137E-05;6,447724036939828E-05;0;0,036867247717358276;0,03935306837554975;
9;0;0,15783950535212465;0,07685745009194367;0;0,007491250983346243;0,007934294310742107;0;0,0737859881296784;0,08604566093746924;
10;0;0,14379450016048567;0,11472541276011616;0;4,583665096280498E-05;4,427870972401049E-05;0;0,017236111917661945;0,05900869940887121;
11;0;0,11298501754900903;0,1016065662050103;0;9,445123970697189E-05;2,0104210641247455E-05;0;0,051620093889647056;1,9984014443252818E-15;
12;0;0,09591211296571855;0,07506917440038363;0;8,206793114928779E-05;6,300514007628877E-05;0;0,03931868686184303;0,019689998004848275;
13;0;0,1342240779527939;0,08039299087561602;0;0,0034937141988889975;4,498801179231293E-05;0;0,02949824170136406;0,009857284607820871;
14;0;0,1781599523796682;0,08763288844282802;0;0,0005926757697324314;0,0012475786760400842;0;9,992007221626409E-16;2,220446049250313E-16;
15;0;0,15162917875968573;0,12334178072475654;0;7,306648700067253E-05;0,007432692628721704;0;0,01477240772282351;0,024573294086363884;
16;0;0,1736414007738203;0,1264289266087265;0;0,0001426572348829369;0,012701367941241104;0;0,041762811523888166;0,04675146405641861;
17;0;0,1278024301911257;0,1114477454624686;0;2,1120964447840507E-05;0,0008902035201842073;0;0,05902826412615303;0,01232098887510702;
18;0;0,14459893934238144;0,08173928181354817;0;0,00012283394810841397;0,010354510139050643;0;0,012320988875106909;0,019689998004848275;
19;0;0,10696998288773352;0,05726357570900997;0;0,0005431802837821964;4,58101450683257E-05;0;0,036913844293555376;0;
20;0;0,15229261149929174;0,084412205216164;0;0,001036330403191621;1,0739539441750878E-05;0;0,04917847466734282;0,06637770218114203;
21;0;0,12660508499562062;0,058909258131218944;0;0,007483018181252854;5,0472590719441435E-05;0;0,04672941033149369;0,024590437451775915;
22;0;0,196329982843802;0,0658322404319196;0;1,9599351301358148E-05;0,00027955721754424623;0;0,009857284607820871;0;
23;0;0,08329740685558495;0,06604041489867629;0;0,0006962337471977387;0,012076978746758504;0;0,05651564821935651;0,0762448039117245;
24;0;0,1420486542754239;0,12209532500752662;0;6,049672823493779E-05;0,013368440359091127;0;0,0123160725192617;0,10816751092157117;
25;0;0,17862437332831405;0,07816660877407611;0;0,00021663153834994286;9,472270238986003E-05;0;0,009857284607821093;0,0172410209152829;
26;0;0,12931100274229423;0,07375081042316478;0;0,0002300837660104138;4,2451703713419775E-05;0;0,07124878536194579;0,04179719382857183;
27;0;0,13304855644155422;0,09531026557690514;0;0,00014457222607511255;2,672694647731788E-05;0;0,044278015748552946;0,03931868686184292;
28;0;0,09808364993331153;0,095050397839326;0;0,0002070323296092802;0,00020474315523733022;0;0,05409845970454652;0,017236111917661612;
29;0;0,10893586052273141;0,12884282403845393;0;8,737441094586185E-05;1,3652913727568716E-05;0;0,10575276532633804;0,022141438644517564;
30;0;0,15467045229445808;0,06358676893990722;0;0,000805111973084971;1,0908342899518253E-05;0;0,02951046850068728;0,022126733432877743;
31;0;0,1617180181781851;0,10810239445250991;0;0,011106748015304535;0,0011599073975336882;0;0,03685748823757928;0,01477977675482589;
32;0;0,1644206778134636;0,11756801195208877;0;0,010203595206646932;0,00019414195879485785;0;0,03689428135737438;0,049193091764902386;
33;0;0,17004183094983494;0,03570658647455216;0;2,676193504302926E-05;9,066606051000292E-05;0;0,014779776754825669;0,034491896382667586;
34;0;0,1459695356387084;0,05623618905030359;0;0,001663623923250257;8,27089870196751E-05;0;0,06888066639996293;0,01477977675482578;
35;0;0,15357552770590388;0,09558361222304157;0;0,0002774018705351544;0,00031440273142935293;0;0,014772407722823289;0,046736757912496985;
36;0;0,17357471780967004;0,07098886470347698;0;5,6301256452284676E-05;4,126054371023091E-05;0;0,012320988875106798;0,03196680285383424;
37;0;0,14990908681002946;0,08808773827238947;0;4,7349839842558694E-05;4,5743779975349064E-05;0;0,022126733462127346;0,024590437451775915;
38;0;0,10880594114926156;0,08040632703109674;0;4,7313766540213464E-05;8,17189923307815E-06;0;0,0123160725192617;0,01231607251926159;
