




=======================================================
Tuning: 1
=======================================================





============================================================================
Função: Griewangk
============================================================================
P =  4;   s =  2;   std1 =  2,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,177175882784820E-02  -->  sd:7,825119427595210E-03
P =  4;   s =  2;   std1 =  2,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,871781150029220E-02  -->  sd:6,809164882581380E-03
P =  4;   s =  1;   std1 =  2,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,883738187431120E-02  -->  sd:8,462735401771260E-03
P =  4;   s =  1;   std1 =  2,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 2,000346692262430E-02  -->  sd:5,809845893275430E-03
P =  4;   s =  1;   std1 =  2,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 2,196568791072330E-02  -->  sd:6,365083623273900E-03
P =  4;   s =  1;   std1 =  2,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 3,286087156032340E-02  -->  sd:9,469584830055610E-03
P =  4;   s =  2;   std1 =  2,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 4,607245463556340E-02  -->  sd:1,899513024465820E-02
P =  4;   s =  1;   std1 =  2,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 5,154616914010190E-02  -->  sd:1,425461834919460E-02
P =  4;   s =  2;   std1 =  2,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 8,931657817007330E-02  -->  sd:3,699366457650960E-01
P =  4;   s =  1;   std1 =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 9,554597577928520E-02  -->  sd:8,017620465782290E-02
P =  4;   s =  1;   std1 =  2,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 9,625651044621000E-02  -->  sd:3,035637345057030E-02
P =  4;   s =  1;   std1 =  2,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 1,399924129752240E-01  -->  sd:2,253117826056640E-01
P =  4;   s =  2;   std1 =  2,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,525993253311610E-01  -->  sd:4,717601818526950E-02
