




============================================================================
Função: Griewangk
============================================================================
P = 12;   s =  2;   porc =  1,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 1,428669787310030E-03  -->  sd:4,659258657646300E-03
P = 12;   s =  2;   porc = 10,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 2,650164808756100E-03  -->  sd:4,696322702383070E-03
P =  4;   s = 10;   porc =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 2,863130069539230E-03  -->  sd:4,623223458843590E-03
P =  4;   s = 10;   porc =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 3,860900393987280E-03  -->  sd:5,059913980678820E-03
P =  4;   s = 10;   porc =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 3,988362732380060E-03  -->  sd:5,962197155288600E-03
P =  4;   s = 10;   porc =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 4,295535886899100E-03  -->  sd:8,061182404471850E-03
P = 12;   s =  2;   porc = 10,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 4,641303482656640E-03  -->  sd:4,310739674786830E-03
P = 12;   s =  2;   porc =  1,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 6,426991341171360E-03  -->  sd:8,811642415417340E-03
P = 12;   s =  2;   porc = 10,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 7,211933011281270E-03  -->  sd:1,066761740739150E-02
P = 12;   s = 10;   porc = 50,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 8,068055593039090E-03  -->  sd:8,126629108157630E-03
P = 12;   s = 10;   porc = 10,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 9,339129736225520E-03  -->  sd:8,940272207701200E-03
P = 12;   s = 10;   porc = 50,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 1,198282339294050E-02  -->  sd:1,420840614172970E-02
P =  4;   s = 10;   porc =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,287139145137930E-02  -->  sd:8,246483789957170E-03
P = 12;   s = 10;   porc = 10,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 1,302216068577810E-02  -->  sd:1,221915504257680E-02
P = 12;   s =  2;   porc =  1,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 1,306597546987940E-02  -->  sd:1,539992291444380E-02
P = 12;   s =  2;   porc = 50,00;   tau =  4,00  -->  NFE:  100068  -->  fx: 1,575141252242210E-02  -->  sd:9,186018920279510E-03
P = 12;   s =  2;   porc = 50,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 1,782298548632850E-02  -->  sd:6,308667862124130E-03
P = 12;   s =  2;   porc = 10,00;   tau =  4,00  -->  NFE:  100068  -->  fx: 2,003115708936010E-02  -->  sd:2,736096201269740E-02
P = 12;   s = 10;   porc = 50,00;   tau =  3,50  -->  NFE:   99354  -->  fx: 2,044454295715630E-02  -->  sd:2,108977984202770E-02
P = 12;   s =  2;   porc = 50,00;   tau =  4,50  -->  NFE:  100068  -->  fx: 2,092740358744530E-02  -->  sd:1,305433410583600E-02
P = 12;   s =  2;   porc =  1,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 2,108875337981600E-02  -->  sd:2,152333014379020E-02
P = 12;   s = 10;   porc =  1,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 2,150233161305420E-02  -->  sd:1,465061812821050E-02
P = 12;   s = 10;   porc = 50,00;   tau =  4,00  -->  NFE:   91965  -->  fx: 2,266667495203040E-02  -->  sd:2,363324982671990E-02
P = 12;   s = 10;   porc =  1,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 2,304206270625350E-02  -->  sd:1,536801763672690E-02
P = 12;   s =  2;   porc = 10,00;   tau =  4,50  -->  NFE:  100068  -->  fx: 2,319728667145460E-02  -->  sd:2,862582319149350E-02
P =  4;   s = 10;   porc = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 2,361060108400730E-02  -->  sd:8,260479070873430E-03
P = 12;   s =  2;   porc = 50,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 2,375809018915270E-02  -->  sd:1,067632805375780E-02
P = 12;   s = 10;   porc = 10,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 2,446572446987420E-02  -->  sd:1,323260142273170E-02
P = 12;   s =  2;   porc = 10,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 2,558755641407200E-02  -->  sd:1,457686257790160E-02
P = 12;   s =  2;   porc =  1,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 2,562606074627410E-02  -->  sd:1,203588852949060E-02
P = 12;   s =  2;   porc = 50,00;   tau =  5,00  -->  NFE:  100068  -->  fx: 2,674691688192660E-02  -->  sd:2,175715484307390E-02
P = 12;   s = 10;   porc =  1,00;   tau =  3,00  -->  NFE:   98464  -->  fx: 2,705904728580870E-02  -->  sd:1,774544399644490E-02
P = 12;   s = 10;   porc = 50,00;   tau =  5,00  -->  NFE:   84191  -->  fx: 2,925282959531350E-02  -->  sd:2,126204884908760E-02
P = 12;   s =  2;   porc =  1,00;   tau =  4,00  -->  NFE:  100068  -->  fx: 2,933783471514990E-02  -->  sd:2,660235457972990E-02
P = 12;   s = 10;   porc =  1,00;   tau =  3,50  -->  NFE:   90755  -->  fx: 2,940935562010420E-02  -->  sd:2,222935012514430E-02
P = 12;   s = 10;   porc =  1,00;   tau =  5,00  -->  NFE:   93145  -->  fx: 2,977549988153390E-02  -->  sd:2,082031408649840E-02
P = 12;   s = 10;   porc = 10,00;   tau =  4,00  -->  NFE:   84990  -->  fx: 3,099886559044580E-02  -->  sd:2,404184176108520E-02
P =  4;   s = 10;   porc = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 3,100220804707590E-02  -->  sd:1,083049391156220E-02
P = 12;   s = 10;   porc = 10,00;   tau =  3,50  -->  NFE:   97168  -->  fx: 3,259346982577720E-02  -->  sd:2,400750638894470E-02
P = 12;   s = 10;   porc = 10,00;   tau =  4,50  -->  NFE:   89683  -->  fx: 3,266917430760380E-02  -->  sd:2,163495067760520E-02
P = 12;   s = 10;   porc =  1,00;   tau =  4,50  -->  NFE:   84009  -->  fx: 3,346370338419690E-02  -->  sd:2,800741609554860E-02
P = 12;   s = 10;   porc = 10,00;   tau =  5,00  -->  NFE:   93642  -->  fx: 3,355300013854780E-02  -->  sd:2,521065103434680E-02
P = 12;   s = 10;   porc =  1,00;   tau =  4,00  -->  NFE:   90392  -->  fx: 3,373223077719850E-02  -->  sd:2,240162796158750E-02
P = 12;   s =  2;   porc =  1,00;   tau =  4,50  -->  NFE:  100068  -->  fx: 3,469888415501840E-02  -->  sd:2,363233334613960E-02
