============================================================================
Função: Paviani
============================================================================

1...2...3...4...5...6...7...8...9...10...11...12...13...14...15...16...17...18...19...20...21...22...23...24...25...26...27...28...29...30...
==========================================================
parameter;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
meanNFE;100068;100068;100068;
meanFX;-4,293427015032296;-42,45574390613854;-16,903177530672544;
sdFX;8,050597168334702;1,5925923336111476;4,203035951249596;

==========================================================
===> Médias para cada NFOB:
NFOB;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
500;1,0937035457001925;-10,291808130012216;-0,15192666702350324;
1000;0,6186643525616076;-15,237520772908816;-1,2758123482027741;
1500;0,10055689965811432;-16,62372293665924;-1,9464908168117057;
2000;0,10055689965811432;-19,802334554586327;-2,049936884275993;
2500;0,10055689965811432;-22,475349374066692;-2,049936884275993;
3000;0,10055689965811432;-24,66522137099631;-2,848142005689715;
3500;0,10055689965811432;-25,09549588719379;-3,610843953557195;
4000;0,10055689965811432;-27,36234121670683;-4,612039170162081;
4500;-0,05809696586397936;-29,352811788467037;-5,307012385038942;
5000;-0,05809696586397936;-30,215167605395838;-5,725659201176318;
6000;-0,05809696586397936;-31,03030013648784;-6,659769341951033;
7000;-0,05809696586397936;-31,92756568661672;-6,9742861712913715;
8000;-0,05809696586397936;-32,72624861943178;-7,625836336382136;
9000;-0,05809696586397936;-34,25671519803698;-7,733353632655016;
10000;-0,05809696586397936;-34,93869415781291;-7,733353632655016;
12000;-0,05809696586397936;-35,96315238768459;-7,907303977968142;
14000;-0,05809696586397936;-36,319352197573565;-8,198866900816018;
16000;-0,05809696586397936;-36,32568217755959;-8,340132066739587;
18000;-0,3853723210453441;-36,93842184268308;-8,857613750238416;
20000;-0,3853723210453441;-37,006105057103674;-8,857613750238416;
25000;-1,0504811290605374;-37,88164381115022;-9,676084634702976;
30000;-1,3492785807669951;-38,45316407511577;-10,362279502455124;
35000;-1,6303247192549422;-38,92445538026953;-11,963239249725373;
40000;-2,949064375691651;-39,27421306788086;-12,517690494328788;
45000;-2,949064375691651;-39,893873061577516;-12,703580438632283;
50000;-2,9973351057989843;-40,33021503987984;-13,032519718669047;
55000;-3,3596137270425657;-40,81940633938459;-13,935896169012638;
60000;-3,932208573829928;-40,935182216330205;-14,317730983283004;
65000;-3,932208573829928;-41,34968476519103;-14,5663655225819;
70000;-3,932208573829928;-41,63128889726075;-14,850965832319709;
75000;-3,932208573829928;-41,63128889726075;-15,793321026837464;
80000;-3,932208573829928;-41,905843582274905;-15,940380987761978;
85000;-4,0609504487227115;-41,96508468472516;-16,04731666417315;
90000;-4,293427015032296;-42,127280567724526;-16,04731666417315;
95000;-4,293427015032296;-42,13292724658889;-16,66060773937596;
100000;-4,293427015032296;-42,45574390613854;-16,903177530672544;

==========================================================
===> Melhores f(x) para cada execução:
execucao;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
1;-8,123479949762341;-43,768589533556565;-20,89743219438293;
2;2,60014894820592;-40,610321293511404;-16,2532324419397;
3;0,4166126979907716;-42,90107508978939;-10,954922695604587;
4;-0,39378266311683774;-43,278367969379524;-20,108650051041522;
5;-4,871624418487421;-42,989708878982896;-20,502470909611056;
6;4,439946856506452;-43,214288325980974;-27,827610731261352;
7;-23,97950422410129;-44,44676300215456;-23,117517256285723;
8;-3,408784265109624;-41,2414073976773;-13,346687235165703;
9;-4,219961095107465;-41,05364442751171;-18,097081203805466;
10;-10,244753217310503;-44,67472083803952;-14,967719797054926;
11;-11,725139270210079;-43,296328827227896;-18,59593947794483;
12;4,148529639138609;-42,77733895674122;-16,855305692935246;
13;-7,679720598113747;-40,707289900134484;-16,54903807305633;
14;-4,123172553286636;-44,60836557453206;-19,549096185252274;
15;-4,796487567901956;-42,26047166103876;-10,759467196928604;
16;-13,103443536397286;-41,92479188123307;-17,520754814560547;
17;-3,5410078104737153;-41,194977858751926;-17,65512819929677;
18;-4,128840313253939;-41,57130676998961;-13,63490466246816;
19;10,997346267573128;-44,02013727023279;-17,286075511324633;
20;2,2170967872720055;-38,318750920709945;-20,322599562698812;
21;-1,9052900040723344;-42,91854006813907;-16,29337848396181;
22;-19,145585260962278;-43,68401498434023;-16,45592873064927;
23;6,605969812367093;-39,98906482335847;-9,563783220014052;
24;-13,239706379293999;-42,1255264814008;-20,256750000814186;
25;-1,1421014469655333;-43,508164214893036;-23,33426217268282;
26;-4,222280958497862;-43,88859862457823;-14,556366942839695;
27;-8,340383901521164;-39,31660042938727;-13,112559793593185;
28;10,264221357897497;-43,71277029459826;-12,63967860084275;
29;-2,841701502740939;-42,200018275435085;-10,266926404367034;
30;-15,315931881233396;-43,47037261085002;-15,814057677792455;

============================================================================
Função: Salomon
============================================================================

1...2...3...4...5...6...7...8...9...10...11...12...13...14...15...16...17...18...19...20...21...22...23...24...25...26...27...28...29...30...
==========================================================
parameter;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
meanNFE;100068;100068;100068;
meanFX;1,163492418228264;1,2711584908644324;1,3184318234512502;
sdFX;0,21503334381549882;0,19473881359605472;0,20556717114896675;

==========================================================
===> Médias para cada NFOB:
NFOB;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
500;10,642723960605712;10,212162619881811;11,637315378305415;
1000;6,2911023459669915;5,988495514249124;6,981215772150369;
1500;4,771925103635804;4,538560663423812;5,253468492036961;
2000;3,8816734504897856;3,6042281141345702;4,432627840505788;
2500;3,5217013843501204;3,2482570424186856;3,7386289235042662;
3000;3,293273337953566;2,932739584762055;3,4980306890905086;
3500;3,1760380800663603;2,8387155360920513;3,0966387850906516;
4000;2,865918354791631;2,678290288756231;2,7747858017776674;
4500;2,724751342202286;2,5600727111628894;2,545659279725707;
5000;2,5476338872254956;2,484564090608053;2,4365712722693478;
6000;2,3885171040934314;2,3000276253306593;2,2942123703997575;
7000;2,28097195522255;2,2507182151486274;2,2472979378799365;
8000;2,168983465179799;2,153906795023528;2,162643804385142;
9000;2,1192475182302233;2,080060551431201;2,0471666845647176;
10000;2,055590955144527;2,028252780097876;1,990711858885723;
12000;1,943109190245243;1,9132946206388455;1,9587388281342981;
14000;1,9110214142180992;1,7903241997014474;1,858146457032621;
16000;1,7760509279943086;1,7451850598921201;1,8283318157681676;
18000;1,7306886915168627;1,6877956910053036;1,7942287208466003;
20000;1,6962711204020489;1,6805082041178125;1,7689798964959602;
25000;1,6200115132881896;1,5842531055479916;1,690831672517876;
30000;1,5262481633896963;1,5106744257409301;1,6177494104243304;
35000;1,496245244504395;1,4908463809537158;1,5851089477007785;
40000;1,4374724664533587;1,471041543263744;1,5401812065092622;
45000;1,3584517416168183;1,4360543915753963;1,4990606479359172;
50000;1,3018217278476683;1,396381785632552;1,4650605053271566;
55000;1,2830367269306957;1,3962095847704254;1,4420304411144322;
60000;1,279615108681978;1,3767502598455479;1,4181193042530416;
65000;1,260102713205847;1,359499465778729;1,4013938954687541;
70000;1,2332099711065208;1,343776154080367;1,393582650805804;
75000;1,2191619527874777;1,3218308040510207;1,372787759439634;
80000;1,1962398215756493;1,306060897327023;1,372502091683087;
85000;1,195191602072161;1,3021142189422619;1,372502091683087;
90000;1,1935899210942003;1,2842375734903155;1,3595486468726015;
95000;1,1737172326539935;1,2711584908644324;1,3279054247879725;
100000;1,163492418228264;1,2711584908644324;1,3184318234512502;

==========================================================
===> Melhores f(x) para cada execução:
execucao;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
1;0,8038177931499124;1,1005750424477374;1,5041441256023675;
2;1,1028748069314531;1,2015980782726476;1,3121345292585054;
3;0,9765266357217509;1,2305175835571034;1,29987617561956;
4;1,1261723007663367;1,2097962782126506;1,334642795523985;
5;1,2320080302996972;1,4030711074009128;0,7999920162278603;
6;1,6047146238352499;1,32471234801506;1,2238444004011066;
7;1,3999670804649924;1,101215403991859;1,4005293511020644;
8;0,7098762482760255;1,4228120378151052;1,6012901602151106;
9;1,4004788005243918;1,4630552175764842;1,102357686291177;
10;1,1999806073424253;1,4000031065246223;1,3012470783209311;
11;1,3066791060808018;1,6032291289910243;1,6009745292398583;
