============================================================================
Função: Paviani
============================================================================

1...2...3...4...5...6...7...8...9...10...11...12...13...14...15...16...17...18...19...20...21...22...23...24...25...26...27...28...29...30...
==========================================================
parameter;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
meanNFE;100068;100068;100068;
meanFX;-4,3362905328509465;-42,52918536586292;-17,307071633986634;
sdFX;7,334062377042941;1,9362626298079242;4,315165135794541;

==========================================================
===> Médias para cada NFOB:
NFOB;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
500;1,295254388536798;-13,947613099188969;1,0287573244230606;
1000;1,0938402135969945;-19,723127317772587;0,3796920265337645;
1500;1,0938402135969945;-21,732882750347347;0,04963023324254756;
2000;1,0938402135969945;-23,760925168566008;-0,3038664584332433;
2500;1,0938402135969945;-24,517016909383894;-0,5336453380688183;
3000;1,0938402135969945;-25,186343275830257;-1,034648390989494;
3500;0,7809768599680396;-26,283950943649266;-2,3769061830569327;
4000;0,29361140206710157;-27,18274791654746;-2,3769061830569327;
4500;-0,22771431134585854;-28,112363844013466;-2,84835505903734;
5000;-0,22771431134585854;-28,685213886084107;-3,322258217183348;
6000;-0,6294540765528307;-31,16637747470124;-4,297289309326215;
7000;-0,6294540765528307;-32,19033985073091;-5,288945365242569;
8000;-0,6294540765528307;-32,39958019113301;-6,304072530239717;
9000;-0,6294540765528307;-32,996130398612905;-6,737002763863965;
10000;-0,6294540765528307;-34,08352939554443;-7,4082549226113885;
12000;-0,6294540765528307;-35,2035462663933;-8,836535476889484;
14000;-1,612030617658901;-36,438054225426896;-10,03506829149333;
16000;-1,612030617658901;-37,176287314007396;-10,578009222472105;
18000;-1,612030617658901;-37,91225320933227;-11,20213621599347;
20000;-1,612030617658901;-38,50243448560082;-11,85990050195852;
25000;-1,6725202506952928;-39,04964071177385;-12,581331571439126;
30000;-2,1190537862149466;-40,33121216437825;-12,622448239370941;
