







=======================================================
Tuning: 0
=======================================================





============================================================================
Função: Griewangk
============================================================================
P = 12;   s =  1;   porc =  1,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 4,633236196631250E-03  -->  sd:5,955668417994460E-03
P = 12;   s =  1;   porc =  1,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 5,910673137094820E-03  -->  sd:8,633699626834350E-03
P = 12;   s =  2;   porc =  1,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 6,293666442261000E-03  -->  sd:1,161372138726370E-02
P = 12;   s =  1;   porc = 50,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 6,402049915913890E-03  -->  sd:5,880101258648220E-03
P = 12;   s =  1;   porc = 10,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 6,969201386113170E-03  -->  sd:8,079749995908390E-03
P = 12;   s =  1;   porc =  1,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 7,691032053321430E-03  -->  sd:6,779443317221770E-03
P = 12;   s =  2;   porc = 10,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 7,916016422941740E-03  -->  sd:6,967867776499660E-03
P = 12;   s =  1;   porc = 10,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 7,932238697603710E-03  -->  sd:8,705249251726990E-03
P = 12;   s =  2;   porc = 50,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 7,950803919038580E-03  -->  sd:7,596155710397780E-03
P = 12;   s =  1;   porc = 50,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 8,587766218356310E-03  -->  sd:8,976470258342540E-03
P = 12;   s =  2;   porc = 10,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 9,172681971461450E-03  -->  sd:8,468738746129830E-03
P = 12;   s =  2;   porc = 50,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 9,944068342099140E-03  -->  sd:1,153006052829240E-02
P = 12;   s =  2;   porc =  1,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 1,132842226207940E-02  -->  sd:9,864387546032110E-03
P = 12;   s =  2;   porc = 50,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 1,144063187585000E-02  -->  sd:9,070080393052660E-03
P = 12;   s =  1;   porc = 10,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 1,212133048776790E-02  -->  sd:1,324530835741960E-02
P = 12;   s =  1;   porc = 10,00;   tau =  4,00  -->  NFE:  100068  -->  fx: 1,222195496470650E-02  -->  sd:1,388302476487390E-02
P = 12;   s =  1;   porc = 50,00;   tau =  4,00  -->  NFE:  100068  -->  fx: 1,318718591073260E-02  -->  sd:1,613485658385180E-02
