
P = 8 | s = 1 | std1 = 1 | tau = 1
P = 8 | s = 1 | std1 = 1 | tau = 1.5
P = 8 | s = 1 | std1 = 1 | tau = 2
P = 8 | s = 1 | std1 = 2 | tau = 1
P = 8 | s = 1 | std1 = 2 | tau = 1.5
P = 8 | s = 1 | std1 = 2 | tau = 2
P = 8 | s = 1 | std1 = 2 | tau = 2.5
P = 8 | s = 1 | std1 = 4 | tau = 1.5
P = 8 | s = 1 | std1 = 4 | tau = 2
P = 8 | s = 1 | std1 = 4 | tau = 2.5
P = 8 | s = 1 | std1 = 8 | tau = 2
P = 8 | s = 1 | std1 = 8 | tau = 2.5
P = 8 | s = 1 | std1 = 8 | tau = 3
P = 8 | s = 2 | std1 = 1 | tau = 1
P = 8 | s = 2 | std1 = 1 | tau = 1.5
P = 8 | s = 2 | std1 = 2 | tau = 1
P = 8 | s = 2 | std1 = 2 | tau = 1.5
P = 8 | s = 2 | std1 = 2 | tau = 2
P = 8 | s = 2 | std1 = 4 | tau = 1.5
P = 8 | s = 2 | std1 = 4 | tau = 2
P = 8 | s = 2 | std1 = 8 | tau = 2
P = 16 | s = 1 | std1 = 1 | tau = 1
